unitid,institution_name_raw,institution_name_normalized,institution_state_raw,institution_state_normalized,tracker_name,tracker_state,match_method,accreditor,action_type,action_label_raw,action_status,action_date,action_year,accreditation_warning,accreditation_warning_or_notice,source_url,source_title,notes,source_page_url,source_page_modified,last_seen_at,institution_name,year,control_label,sector,level,urbanization,category,state,city,enrollment_pct_change_5yr,revenue_pct_change_5yr,revenue_decreased_5yr,enrollment_decreased_5yr,revenue_10pct_drop_last_3_of_5,enrollment_decline_last_3_of_5,ended_2024_at_loss,losses_last_3_of_5,loss_years_last_10,net_tuition_per_fte_change_5yr,tuition_dependence_pct,state_funding_pct_core_revenue,federal_grants_contracts_pell_adjusted_pct_core_revenue,pct_international_all,staff_total_headcount_pct_change_5yr,discount_pct_change_5yr,endowment_pct_change_5yr,liquidity,leverage
211477,Central Penn College,central penn college,,,Central Penn College,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/8lw1e1ed1h8uhiyw5o3x1c8e3l071xd8.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Central Penn College,2024,Private for-profit,"Private for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Pennsylvania,Summerdale,-19.07250163291966,-15.1142576763709,Yes,Yes,No,Yes,Yes,Yes,6,-7.105252468192943,73.57532574030459,,,0.03228410008071025,-24.571428571428573,,,,0.36043641989847097
213367,La Salle University,la salle university,,,La Salle University,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/y49fd8vsunjnwikp8rwkte4ecic981ma.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,La Salle University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Pennsylvania,Philadelphia,-34.70982142857143,-21.901766323529905,Yes,Yes,No,Yes,No,No,0,-5.775923065887965,52.84438323230658,0,0.00279685556964926,0.0344017094017094,-29.310344827586203,15.374690619303411,-19.463432122802455,0.02095639970511696,0.6747018933158382
,Rowan College at Burlington County,rowan college at burlington county,,,,,unmatched,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/dghqr4lm2fpqtz0n5avie8k12bts8zv5.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186283,Rider University,rider university,,,Rider University,New Jersey,normalized_name_only,MSCHE,probation,Non-Compliance Probation,active,,,TRUE,TRUE,https://msche.box.com/shared/static/kjv0qwxl7sesejv0328yc1iglpgfkpdl.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Probation,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Rider University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",New Jersey,Lawrenceville,-9.03725562523054,-20.1090984747019,Yes,Yes,No,Yes,No,No,0,-12.52427106592638,55.39523263100499,0.01608848136567227,0.01685962984872813,0.040551500405515,-34.55149501661129,6.847708718824657,0.3515992555358037,-0.1013289670706308,0.7164332950154191
190114,Metropolitan College of New York,metropolitan college of new york,,,Metropolitan College of New York,New York,normalized_name_only,MSCHE,show_cause,Non-Compliance Show Cause,active,,,TRUE,TRUE,https://msche.box.com/shared/static/m5rjci30fg9c01mzw7d4bfn8n756qb7d.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Show Cause,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Metropolitan College of New York,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",New York,New York,-35.5067785668173,-35.35047049132082,Yes,Yes,No,Yes,No,No,0,24.14954033277868,82.89294095427259,0.00359688814412735,0.03333959140251665,0.06106106106106106,-42.333333333333336,-19.895621700392542,28.43996481707177,0.1896240709373545,0.7575562581532618
,Centro de Estudios Avanzados de Puerto Rico y El Caribe,centro de estudios avanzados de puerto rico y el caribe,,,,,unmatched,MSCHE,show_cause,Non-Compliance Show Cause,active,,,TRUE,TRUE,https://msche.box.com/shared/static/djzg27yhrtounh50ghx71fv78b5r6txm.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Show Cause,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155140,Haskell Indian Nations University,haskell indian nations university,Kansas,Kansas,Haskell Indian Nations University,Kansas,normalized_name_plus_state,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1778/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Haskell Indian Nations University,2024,Public,"Public, 4-year or above",Four or more years,City: Small,"Degree-granting, not primarily baccalaureate or above",Kansas,Lawrence,31.66259168704156,30.11978457455559,No,No,No,No,Yes,Yes,4,-70.84843706281471,0.28745618085288405,0,0,0,27.27272727272727,21.651639834146017,,,
,Leech Lake Tribal College,leech lake tribal college,Minnesota,Minnesota,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/2834/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maricopa Community Colleges – South Mountain Community College,maricopa community colleges south mountain community college,Arizona,Arizona,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1943/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierpont Community and Technical College,pierpont community and technical college,West Virginia,West Virginia,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/2855/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152381,Saint Mary-of-the-Woods College,st mary of the woods college,Indiana,Indiana,Saint Mary-of-the-Woods College,Indiana,normalized_name_plus_state,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1211/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Saint Mary-of-the-Woods College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Indiana,Saint Mary of the Woods,15.806715806715808,46.35560330388927,No,No,No,No,No,No,0,-8.503962047887647,50.58211500459727,0,0.00577643244373757,0.01626591230551626,18.0327868852459,50.335025784820395,-11.842070982003422,-0.2674521423825273,0.8125592687076679
,Missouri State University-West Plains,missouri state university west plains,Missouri,Missouri,,,unmatched,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2095/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127714,Nazarene Bible College,nazarene bible college,Colorado,Colorado,Nazarene Bible College,Colorado,normalized_name_plus_state,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2866/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Nazarene Bible College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Colorado,Colorado Springs,-22.388059701492537,-28.96471827582036,Yes,Yes,No,Yes,No,No,0,-35.25581168802785,26.89381167951448,0,0,0,-26.973684210526315,-100,-1.5947147462517766,-0.3295387739706506,0.6643156530335624
,Southeast Arkansas College,southeast arkansas college,Arkansas,Arkansas,,,unmatched,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2090/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
