unitid,tracker_name,tracker_state,accreditors,action_types,action_labels,active_actions,has_active_warning,has_active_warning_or_notice,has_active_adverse_action,action_count,latest_action_date,latest_action_year,institution_name,year,control_label,sector,level,urbanization,category,state,city,enrollment_pct_change_5yr,revenue_pct_change_5yr,revenue_decreased_5yr,enrollment_decreased_5yr,revenue_10pct_drop_last_3_of_5,enrollment_decline_last_3_of_5,ended_2024_at_loss,losses_last_3_of_5,loss_years_last_10,net_tuition_per_fte_change_5yr,tuition_dependence_pct,state_funding_pct_core_revenue,federal_grants_contracts_pell_adjusted_pct_core_revenue,pct_international_all,staff_total_headcount_pct_change_5yr,discount_pct_change_5yr,endowment_pct_change_5yr,liquidity,leverage
102298,Talladega College,Alabama,SACSCOC,other,Talladega College is accredited by the Southern Association of Colleges and Schools Commission on Colleges,other,FALSE,FALSE,FALSE,1,2025-06-26,2025,Talladega College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Town: Distant,"Degree-granting, primarily baccalaureate or above",Alabama,Talladega,-1.051840721262209,-10.0253989483126,Yes,Yes,No,No,Yes,No,1,24.792525882173972,40.30899953523842,0.0451365698406344,0.2795902626168979,0.0888382687927107,2.7649769585253456,-60.55664065150498,-17.571283522318843,0.6582779194818987,0.31894320150132094
105589,Prescott College,Arizona,HLC,adverse_action,"Approved the institution’s Teach-Out Agreement with Goddard College, wherein Prescott College will serve as a teach-out receiving institution for certain Goddard College programs. (Approved April 19, 2024)",adverse_action,FALSE,FALSE,TRUE,1,2024-04-01,2024,Prescott College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Arizona,Prescott,9.313264346190028,4.105574729372828,No,No,No,No,No,No,1,-13.254842296167032,67.11543424951456,0,0.1043639413911998,0.00258175559380378,-28.448275862068968,-21.156552468712228,2.188435759899206,0.5769300102656487,0.3125204152501219
105899,Arizona Christian University,Arizona,HLC,adverse_action,"Approved the institution’s provisional plan to teach out students enrolled in the Bachelor of Arts in Biblical and Theological Studies, Bachelor of Arts in Child Development, Bachelor of Science in Secondary Education, and Master of Arts in Education, including the teach-out agreement with Houston Christian University.",adverse_action,FALSE,FALSE,TRUE,1,2024-10-01,2024,Arizona Christian University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Arizona,Glendale,59.62660443407235,-24.9649636688181,Yes,No,No,No,No,Yes,5,-5.660969652552997,48.95894406377437,0,0.00224164848017263,0.02558479532163742,-2.515723270440252,3.380305948372311,-40.656839115690005,0.21280203604646283,0.6759087017580264
106458,Arkansas State University,Arkansas,HLC,adverse_action,"Approved the institution’s Provisional Plan to teach out students enrolled in the Certificate and Associate of Applied Science in Emergency Management Services, including the teach-out agreement with New York Institute of Technology College of Osteopathic Medicine.",adverse_action,FALSE,FALSE,TRUE,1,2024-08-01,2024,Arkansas State University,2024,Public,"Public, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Arkansas,Jonesboro,7.040101175106709,-10.215108329930391,Yes,No,No,Yes,Yes,No,2,-22.894859989464027,21.994464993112096,0.3463899023840007,0.0596604952667425,0.07354895879486044,-7.45041122399613,3.386821735773065,16.55245163821775,0.14764647562957584,0.32784076198305184
107044,Harding University,Arkansas,HLC,adverse_action,"Approved the institution’s teach-out plan to move the Harding School of Theology from the branch campus in Memphis, Tennessee, to the main campus in Searcy, Arkansas.",adverse_action,FALSE,FALSE,TRUE,1,2024-04-01,2024,Harding University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Town: Distant,"Degree-granting, primarily baccalaureate or above",Arkansas,Searcy,0.6297008920762638,-21.82556451899218,Yes,No,No,No,Yes,No,2,-22.339314117249536,47.84689531659309,0,0.02029707920462415,0.0396314966104641,-2.321083172147002,47.41565346097765,15.955417801101046,0.378777410688331,0.15952041643911621
107080,Hendrix College,Arkansas,HLC,adverse_action,"Approved the institution’s Teach-Out Agreement with Birmingham-Southern College, wherein Hendrix College will serve as a teach-out receiving institution for certain Birmingham-Southern College programs. (Approved April 19, ,2024)",adverse_action,FALSE,FALSE,TRUE,1,2024-04-01,2024,Hendrix College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Arkansas,Conway,-8.809135399673735,63.21227911212638,No,Yes,No,Yes,No,Yes,5,-21.734934096814257,15.946042917186356,0,0.01098892714385477,0.02057245080500894,-17.29490022172949,-11.52520238471418,-9.175262708791536,0.17223768547091944,0.2744216934386279
108232,Academy of Art University,California,WASC Senior College and University Commission,notice; removed,Following a Special Visit – Issue a Formal Notice of Concern; Following a Special Visit – Remove Notice of Concern/Issue a Warning,notice,FALSE,TRUE,FALSE,2,2026-02-01,2026,Academy of Art University,2024,Private for-profit,"Private for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",California,San Francisco,-37.840616966580974,-46.17039444164476,Yes,Yes,Yes,Yes,No,No,1,1.0771190442620269,95.4807230871318,,,0.17428807751388398,-36.17354939884997,,,,0.7521338121550494
109785,Azusa Pacific University,California,WASC Senior College and University Commission,warning,"Following a Special Visit – Remove the Warning, Issue a Formal Notice of Concern, Reaffirm Accreditation for 6 Years",warning,TRUE,TRUE,FALSE,1,2024-06-01,2024,Azusa Pacific University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Azusa,-33.2432660643418,-41.14624940580137,Yes,Yes,No,Yes,Yes,Yes,6,-25.15544619913014,71.09900010494259,0,0.0466415085125541,0.03933721224386542,-32.16007714561234,-1.2191231026127871,-0.8001119114896241,0.3104507060666176,0.468659186230615
110574,California State University-East Bay,California,WASC Senior College and University Commission,notice,Reaffirm Accreditation for 6 Years/Issue a Notice of Concern,notice,FALSE,TRUE,FALSE,1,2025-06-01,2025,California State University-East Bay,2024,Public,"Public, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Hayward,-18.57782090678743,-3.9514532941418032,Yes,Yes,No,Yes,No,No,4,-13.386653507833309,20.076011031970957,0.4487245760554619,6.401059020666834e-4,0.07779911275905449,-14.977220956719815,6.5409503118096985,33.85615050036675,-1.427975794877533,1.95649403594452
112084,San Diego Christian College,California,WASC Senior College and University Commission,show_cause; warning,"Following a Special Visit – Remove an Order to Show Cause, Issue a Warning, Issue a Good Cause Extension; Following an Interim Report Review – Remove a Warning, Issue a Notice of Concern",show_cause; warning,TRUE,TRUE,FALSE,2,2025-05-01,2025,San Diego Christian College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Santee,-80.54474708171206,-74.81651028661874,Yes,Yes,Yes,Yes,Yes,No,3,-27.35306234172181,41.9495398164386,0,0.0189261316706772,0.03333333333333333,-78.81773399014779,-19.090414634314016,-17.045780227746793,-0.44194979763192055,1.3220033808541831
