accreditor,action_type,action_status,n
HLC,adverse_action,active,57
WASC Senior College and University Commission,notice,active,17
HLC,notice,active,13
HLC,probation,active,10
NECHE,adverse_action,active,9
SACSCOC,other,active,9
SACSCOC,warning,active,8
HLC,removed,resolved,7
WASC Senior College and University Commission,warning,active,7
HLC,monitoring,active,6
SACSCOC,removed,resolved,6
WASC Senior College and University Commission,probation,active,4
WASC Senior College and University Commission,removed,resolved,4
MSCHE,warning,active,3
SACSCOC,probation,active,3
NWCCU,removed,resolved,2
NWCCU,warning,active,2
HLC,other,active,1
MSCHE,probation,active,1
NECHE,show_cause,active,1
NWCCU,probation,active,1
SACSCOC,adverse_action,active,1
WASC Senior College and University Commission,show_cause,active,1
