School Name,State,Program Length,School Type,Year of Closure,
Wells College,New York,Bachelor's degree,"Private,nonprofit",2024,
Northwestern College,Illinois,Bachelor's degree,"Private,for profit",2024,154101
Magdalen College,New Hampshire,Bachelor's degree,"Private,nonprofit",2024,
Pittsburgh Technical College,Pennsylvania,Bachelor's degree,"Private,nonprofit",2024,
American Academy of Art College,Illinois,Bachelor's degree,"Private,for profit",2024,
"North Coast College, The",Ohio,Bachelor's degree,"Private,for profit",2024,
Notre Dame College of Ohio,Ohio,Doctor's Degree,"Private,nonprofit",2024,
AOMA Graduate School of Integrative Medicine,Texas,Doctor's Degree,"Private,for profit",2024,
Geisinger Commonwealth School of Medicine,Pennsylvania,Doctor's Degree,"Private,nonprofit",2024,
Clarks Summit University,Pennsylvania,Doctor's Degree,"Private,nonprofit",2024,
Goddard College,Vermont,Doctor's Degree,"Private,nonprofit",2024,
University of the Arts (The),Pennsylvania,Doctor's Degree,"Private,nonprofit",2024,
College of Saint Rose,New York,Doctor's Degree,"Private,nonprofit",2024,
Multnomah University,Oregon,Doctor's Degree,"Private,nonprofit",2024,
Remington College,Tennessee,Doctor's Degree,"Private,nonprofit",2024,
Trinity International University,Florida,Doctor's Degree,"Private,nonprofit",2024,
Cabrini University,Pennsylvania,Doctor's Degree,"Private,nonprofit",2024,
Union Institute & University,California,Doctor's Degree,"Private,nonprofit",2024,
Oak Point University,Illinois,Doctor's Degree,"Private,nonprofit",2024,
Lincoln Christian University,Illinois,Doctor's Degree,"Private,nonprofit",2024,
University of Antelope Valley,California,Doctor's Degree,"Private,for profit",2024,
Acupuncture and Massage College,Florida,Doctor's Degree,"Private,for profit",2024,
University of Saint Katherine,California,Doctor's Degree,"Private,nonprofit",2024,
Compass College of Cinematic Arts,Michigan,Bachelor's degree,"Private,nonprofit",2023,
California Christian College,California,Bachelor's degree,"Private,nonprofit",2023,
Finlandia University,Michigan,Bachelor's degree,"Private,nonprofit",2023,
Institute of Production and Recording (The),Minnesota,Bachelor's degree,"Private,for profit",2023,
Lindenwood University,Missouri,Doctor's Degree,"Private,nonprofit",2023,
Huntington University of Health Sciences,Tennessee,Doctor's Degree,"Private,for profit",2023,
Holy Names University,California,Doctor's Degree,"Private,nonprofit",2023,
Alderson Broaddus University,West Virginia,Doctor's Degree,"Private,nonprofit",2023,
Iowa Wesleyan University,Iowa,Master's Degree,"Private,nonprofit",2023,
Hussian College,Multiple,Master's Degree,"Private,for profit",2023,
Medaille University,New York,Master's Degree,"Private,nonprofit",2023,
Cazenovia College,New York,Master's Degree,"Private,nonprofit",2023,
Alliance University,Multiple,Master's Degree or Doctor's Degree,"Private,nonprofit",2023,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
