unitid,institution_name,year,enrollment_headcount_total,enrollment_headcount_undergrad,enrollment_headcount_graduate,pct_international_all,pct_international_undergraduate,pct_international_graduate,staff_headcount_total,staff_headcount_instructional,revenue_total,expenses_total,loss_amount,net_tuition_per_fte,state_funding,federal_grants_contracts_pell_adjusted,endowment_value,discount_rate,liquidity,leverage,cut_records,cut_types,latest_cut_announcement_date,financial_warning_count
210571,Albright College,2014,2569,2511,58,0.02958349552355002,0.03026682596575069,0,566,213,64413361,64413361,0,15324.803754266211,0,442394,64423254,0.4511581772730799,0.28003419882019565,0.3399310499611142,1,staff_layoff,2024-06-03,4
210571,Albright College,2015,2568,2525,43,0.02570093457943925,0.02613861386138613,0,506,198,60876659,60876659,0,15200.844216816047,0,505636,65568547,0.4768102240194876,0.2987232552358244,0.3123999839439572,1,staff_layoff,2024-06-03,4
210571,Albright College,2016,2384,2349,35,0.024748322147651,0.02511707109408258,0,516,198,52718104,52718104,0,15037.388612742883,0,552248,62894902,0.5090212869488592,0.30728634176988906,0.30206510607844445,1,staff_layoff,2024-06-03,4
210571,Albright College,2017,2459,2433,26,0.02440016266775111,0.02466091245376079,0,452,174,61580848,61580848,0,14387.499137187231,0,654657,67742285,0.552036724375752,0.3100842268800631,0.28227544056871523,1,staff_layoff,2024-06-03,4
210571,Albright College,2018,2146,2111,35,0.01910531220876048,0.01942207484604452,0,421,160,51106557,51106557,0,14574.93524468611,0,582501,69325252,0.5658039563618745,0.2927453776111918,0.300909883626833,1,staff_layoff,2024-06-03,4
210571,Albright College,2019,2075,2038,37,0.01831325301204819,0.01864573110893032,0,419,151,50390292,50390292,0,13461.27931214174,0,1008229,69353651,0.615273353873274,0.2872994412524297,0.29923916201529044,1,staff_layoff,2024-06-03,4
210571,Albright College,2020,1996,1936,60,0.01953907815631262,0.02014462809917355,0,432,163,40373720,40373720,0,,0,1423100,66410648,0.3935340673564594,0.24344655844424537,0.32973994460924305,1,staff_layoff,2024-06-03,4
210571,Albright College,2021,1695,1626,69,0.00884955752212389,0.00922509225092251,0,433,160,64158402,64158402,0,12638.613823715916,0,7437461,82768938,0.386502709853027,0.17323101166922103,0.4240847548563367,1,staff_layoff,2024-06-03,4
210571,Albright College,2022,1863,1708,155,0.0085882984433709,0.00936768149882904,0,390,153,43306569,43306569,0,10424.876,0,10767413,63654096,0.47755111832298286,0.13950876348342472,0.44654323366483994,1,staff_layoff,2024-06-03,4
210571,Albright College,2023,1777,1458,319,0.00900393922341024,0.01097393689986282,0,407,147,35276389,35276389,0,9666.960517799353,0,2579316,53600000,0.4794713772849538,0.04154410645850629,0.5371155119612031,1,staff_layoff,2024-06-03,4
210571,Albright College,2024,1899,1466,433,0.01790416008425487,0.02319236016371077,0,310,134,44686000,44686000,0,10762.020693852708,0,255260,53032000,0.5298774436263761,-0.07783018867924528,0.6825712451403503,1,staff_layoff,2024-06-03,4
238193,Alverno College,2014,2795,2011,784,0.01753130590339892,0.02038786673296867,0.01020408163265306,526,269,55249422,55249422,0,19063.064412238324,0,155506,25317427,0.21613613626555236,0.2185391879866732,0.20876136056592295,1,department_closure,2024-06-17,2
238193,Alverno College,2015,2689,1932,757,0.02008181480104128,0.0238095238095238,0.01056803170409511,483,239,44122843,44122843,0,19217.8771331058,0,113358,25425125,0.2268880155558802,0.18689683813959673,0.2876977373895406,1,department_closure,2024-06-17,2
238193,Alverno College,2016,2427,1681,746,0.01895344046147507,0.0214158239143367,0.01340482573726541,446,218,39011127,39011127,0,19286.712847838957,0,121667,23854949,0.228185354000368,0.18474709477162785,0.2669760410499161,1,department_closure,2024-06-17,2
238193,Alverno College,2017,2238,1530,708,0.01653261840929401,0.02156862745098039,0.00564971751412429,428,211,43306586,43306586,0,19863.987046632123,0,55274,27709006,0.23333991981277136,0.2048420544555408,0.21676699638537883,1,department_closure,2024-06-17,2
238193,Alverno College,2018,2140,1405,735,0.01214953271028037,0.01423487544483985,0.00816326530612245,444,234,38397473,38397473,0,20239.90610006854,0,61103,29962845,0.25379898660189637,0.2117680178650221,0.2057223013903552,1,department_closure,2024-06-17,2
238193,Alverno College,2019,2003,1288,715,0.01447828257613579,0.01630434782608695,0.01118881118881118,438,238,38015043,38015043,0,20923.834834834834,0,228932,31658366,0.2528023174972553,0.5265085143843727,0.2070165199018988,1,department_closure,2024-06-17,2
238193,Alverno College,2020,1986,1237,749,0.0120845921450151,0.01535974130962004,0.00667556742323097,443,249,36286263,36286263,0,,0,1291768,31516800,0.2401881293334596,0.4877693001001881,0.2384176688177443,1,department_closure,2024-06-17,2
238193,Alverno College,2021,2158,1240,918,0.00695088044485634,0.00564516129032258,0.00871459694989106,426,228,51770855,51770855,0,16087.873389355742,0,2442045,41615758,0.2356315757662227,0.45183997375832025,0.23552545454454796,1,department_closure,2024-06-17,2
238193,Alverno College,2022,2154,1075,1079,0.01021355617455896,0.01302325581395348,0.00741427247451343,428,200,30989172,30989172,0,15498.649541284403,0,5194836,35474095,0.24920643194195463,0.4350073689730504,0.2632395494988454,1,department_closure,2024-06-17,2
238193,Alverno College,2023,2002,961,1041,0.01198801198801198,0.01352757544224765,0.01056676272814601,378,204,34457624,34457624,0,14244.408666666666,0,2220933,38632746,0.24781499067418725,0.3768175674441912,0.2768461459020935,1,department_closure,2024-06-17,2
238193,Alverno College,2024,2104,1031,1073,0.01948669201520912,0.011639185257032,0.02702702702702703,301,161,31648413,31648413,0,14005.311345646438,0,1363251,36216702,0.2848887433253453,0.3113359290551242,0.2753933818046454,1,department_closure,2024-06-17,2
131159,American University,2014,13778,7900,5878,0.11336913920743212,0.10075949367088607,0.13031643416127936,3419,1395,600518000,600518000,0,35864.7324054107,0,12743000,546000000,0.20071199776058327,0.5160565104457548,0.3533510544540296,1,staff_layoff,2025-05-01,2
131159,American University,2015,13973,8168,5805,0.12094754168754024,0.11079823702252692,0.13522825150732126,3345,1421,546746000,546746000,0,35897.5268404908,0,14821000,590000000,0.21242078060586173,0.492137305314079,0.3833990526845757,1,staff_layoff,2025-05-01,2
131159,American University,2016,14882,8666,6216,0.11295524795054428,0.10050773136395108,0.1303088803088803,3338,1435,503438000,503438000,0,35830.90136682674,0,14312000,558089000,0.21577357791730617,0.4950033511986623,0.3884485689570003,1,staff_layoff,2025-05-01,2
131159,American University,2017,14971,8606,6365,0.1166254759201122,0.11038810132465722,0.1250589159465829,3457,1475,673198000,673198000,0,35810.26805997274,0,12763000,622000000,0.23010169672352895,0.5275610562307972,0.35339839495402153,1,staff_layoff,2025-05-01,2
131159,American University,2018,15394,8721,6673,0.11497986228400676,0.11684439857814471,0.11254308407013336,3528,1522,674183000,674183000,0,35071.46601432815,0,15843000,676430000,0.25882675772912983,0.5216640302278333,0.3592648958794085,1,staff_layoff,2025-05-01,2
131159,American University,2019,16079,9034,7045,0.13240873188631133,0.13858755811379234,0.12448545067423704,3715,1572,670631000,670631000,0,35734.11078717201,0,18637000,705027000,0.2556256371157653,0.5028565968864069,0.3722048248213896,1,staff_layoff,2025-05-01,2
131159,American University,2020,16032,9206,6826,0.15144710578842316,0.16836845535520312,0.1286258423674187,3560,1531,642255000,642255000,0,,0,21214000,701308000,0.2566193911436096,0.5058738519554772,0.3664623806337814,1,staff_layoff,2025-05-01,2
131159,American University,2021,15586,8448,7138,0.12626716283844475,0.14666193181818182,0.10212944802465676,3528,1577,790714000,790714000,0,30450.82219148609,0,28673000,884305000,0.2746281295182681,0.5013960357391779,0.3652707414279925,1,staff_layoff,2025-05-01,2
131159,American University,2022,16934,9480,7454,0.104405338372505,0.11624472573839664,0.08934800107324926,3604,1588,596300000,596300000,0,33085.90055881932,0,43313000,908905000,0.27276258440414625,0.4982888654887589,0.37329142962638806,1,staff_layoff,2025-05-01,2
