matched_unitid,institution_name_collegecuts,institution_state_full,in_financial_tracker,match_method,institution_control,institution_city,institution_url,tracker_institution_name,tracker_control_label,cut_records,cut_types,latest_cut_announcement_date,first_cut_announcement_date,total_students_affected_known,total_faculty_affected_known,staff_layoff_records,program_suspension_records,department_closure_records,campus_closure_records,institution_closure_records,teach_out_records,financial_warning_count,tracker_enrollment_pct_change_5yr,tracker_enrollment_decline_last_3_of_5,tracker_revenue_pct_change_5yr,tracker_revenue_decreased_5yr,tracker_revenue_10pct_drop_last_3_of_5,tracker_ended_2024_at_loss,tracker_losses_last_3_of_5,tracker_loss_years_last_10,tracker_net_tuition_per_fte_change_5yr,tracker_staff_total_headcount_pct_change_5yr,tracker_pct_international_all,tracker_international_enrollment_pct_change_5yr,tracker_federal_grants_contracts_pell_adjusted_pct_core_revenue,tracker_state_funding_pct_core_revenue,tracker_tuition_dependence_pct,tracker_endowment_value,tracker_endowment_pct_change_5yr,tracker_discount_pct_change_5yr,tracker_liquidity_percentile_private_nfp,tracker_leverage_percentile_private_nfp
210571,Albright College,Pennsylvania,TRUE,collegecuts_institutions.unitid,Private non-profit,Reading,https://www.albright.edu,Albright College,Private not-for-profit,1,staff_layoff,2024-06-03,2024-06-03,,53,1,0,0,0,0,0,6,-8.481927710843372,Yes,-27.725847985291978,Yes,Yes,Yes,Yes,7,-33.50221404583444,-26.014319809069217,0.01790416008425487,-10.526315789473683,0.0081524065025071,0,39.56944009309403,53032000,-37.68005290375971,,,
235024,Cornish College of the Arts,Washington,TRUE,normalized_name_state_fallback,Private non-profit,Seattle,https://www.cornish.edu,Cornish College of the Arts,Private not-for-profit,1,institution_closure,2025-03-27,2025-03-27,,354,0,0,0,0,1,0,6,-20.642201834862387,Yes,-65.76858299711682,Yes,Yes,Yes,Yes,6,-20.965614205964577,1.310043668122271,0.01926782273603082,0,0.03064550157076829,0,72.1826900572555,12824898,17.863859801598743,,,
165644,Eastern Nazarene College,Massachusetts,TRUE,collegecuts_institutions.unitid,Private non-profit,Quincy,https://www.enc.edu,Eastern Nazarene College,Private not-for-profit,1,institution_closure,2024-06-25,2024-06-25,,125,0,0,0,0,1,0,6,-44.81283422459893,Yes,-2.8087786238309644,Yes,Yes,Yes,Yes,6,-18.37283839343499,-32.28346456692913,0.13565891472868216,37.25490196078432,0.14677767727126423,0,20.233406627237287,19534943,-18.54478881915588,,,
213303,Keystone College,Pennsylvania,TRUE,collegecuts_institutions.unitid,Private non-profit,La Plume,https://www.keystone.edu,Keystone College,Private not-for-profit,1,program_suspension,2024-06-25,2024-06-25,,,0,1,0,0,0,0,6,-3.2196059586737142,Yes,-34.680163402826146,Yes,Yes,Yes,Yes,7,-28.16447808245274,-31.626506024096383,0.00595829195630585,500,0.01909337037701436,0,53.80124542295404,6153853,-24.69559220924907,,,
206525,Wittenberg University,Ohio,TRUE,collegecuts_institutions.unitid,Private non-profit,Springfield,https://www.wittenberg.edu,Wittenberg University,Private not-for-profit,1,department_closure,2024-09-10,2024-09-10,,40,0,0,1,0,0,0,6,-30.319959370238696,Yes,-36.864923561214965,Yes,Yes,Yes,Yes,4,-25.527924219998315,-20.698254364089777,0.00801749271137026,-50,0.01293319517969569,0,39.65140870856854,96621956,-33.91065170458757,,,
196130,Buffalo State University,New York,TRUE,collegecuts_institutions.unitid,Public,Buffalo,https://suny.buffalostate.edu,SUNY Buffalo State University,Public,2,department_closure,2025-05-25,2024-05-23,,63,0,0,2,0,0,0,5,-22.776344702398013,Yes,-21.01050437208567,Yes,No,Yes,Yes,9,-19.578293433909295,-25.438100621820237,0.01620685389088209,-26.81564245810056,0.01520200284470314,0.00678068331491549,10.649916662965314,96391605,48.62283329033447,,,
144281,Columbia College Chicago,Illinois,TRUE,collegecuts_institutions.unitid,Private non-profit,Chicago,https://www.colum.edu,Columbia College Chicago,Private not-for-profit,2,department_closure; staff_layoff,2025-06-18,2024-12-18,,45,1,0,1,0,0,0,5,-8.221185876082611,Yes,-22.934596269732054,Yes,No,Yes,Yes,5,-35.77229212997857,-30.8411214953271,0.04965156794425087,-18.181818181818183,0.00770020355999243,0,60.94236372402315,191973543,-18.072705062609735,,,
217235,Johnson & Wales University,Rhode Island,TRUE,collegecuts_institutions.unitid,Private non-profit,Providence,https://www.jwu.edu,Johnson & Wales University-Providence,Private not-for-profit,1,staff_layoff,2025-05-08,2025-05-08,,91,1,0,0,0,0,0,5,-42.57931202139297,Yes,-22.974595754662825,Yes,No,Yes,Yes,5,13.301817590074076,-6.693227091633466,0.04741744284504657,-73.30154946364719,0.01668703275992123,0,56.928232869879935,346091630,21.343986124398903,,,
183062,Keene State College,New Hampshire,TRUE,normalized_name_state_fallback,Public,Keene,https://www.keene.edu,Keene State College,Public,1,staff_layoff,2025-11-07,2025-11-07,,15,1,0,0,0,0,0,5,-19.840862422997947,Yes,-16.705432391770998,Yes,No,Yes,Yes,6,-28.893626911019123,-25.806451612903224,0.00608389369196285,72.72727272727273,0.02524750672972686,0.11712615716317612,26.59758648412229,61452755,26.849093655370027,,,
218238,Limestone University,South Carolina,TRUE,collegecuts_institutions.unitid,Private non-profit,Gaffney,https://www.limestone.edu,Limestone University,Private not-for-profit,1,institution_closure,2025-04-29,2025-04-29,1600,,0,0,0,0,1,0,5,-22.044960116026104,Yes,-19.138100623916408,Yes,No,Yes,Yes,3,-21.68490245970888,44.44444444444444,0.0641860465116279,58.620689655172406,0.16213339032394114,0,52.87099520515321,9158633,-69.89781730671989,,,
