cut_id,program_name,cut_type,announcement_date,institution_name_collegecuts,institution_city,institution_state_abbr,institution_state_full,institution_control,institution_unitid,matched_unitid,match_method,source_url,source_publication
d67c87dc-a7dd-44a8-9c70-33456a57efb5,Institution closure,institution_closure,2025-05-15,Bacone College,Muskogee,OK,Oklahoma,Private non-profit,,,unmatched,https://www.highereddive.com/news/bacone-college-shut-down-after-145-years-what-went-wrong/752742/,Higher Ed Dive
620dc47d-47ab-40ff-a2bf-120f9a502fa7,Institution closure,institution_closure,2024-11-01,Bard College at Simon's Rock,Great Barrington,MA,Massachusetts,Private non-profit,167792,167792,collegecuts_institutions.unitid,https://theberkshireedge.com/bard-college-at-simons-rock-to-lay-off-116-employees/,The Berkshire Edge
60b59850-0a33-4bec-bec9-9fa5877fbb66,Institution closure,institution_closure,2024-05-09,Birmingham-Southern College,Birmingham,AL,Alabama,Private non-profit,,,unmatched,https://www.al.com/news/2024/04/the-long-slow-death-of-birmingham-southern-what-killed-an-alabama-college-with-168-year-old-roots.html,AL.com
b3eaab9f-3711-4c74-ab20-03845acb3123,World Language Education (BSED),program_suspension,2025-08-15,Bowling Green State University,Bowling Green,OH,Ohio,Public,,,unmatched,https://www.threads.com/@13abc/post/DNZQKFwK_vm/bowling-green-state-university-will-no-longer-offer-the-world-language-education,13abc Action News
58765247-c47f-48c8-b1e5-6207f9d81a0e,Institution closure,institution_closure,2024-03-23,Cabrini University,Radnor,PA,Pennsylvania,Private non-profit,,,unmatched,https://templeupdate.com/cabrini-university-closing-students-transfer/,Temple Update
99ca38ea-837c-4ed5-90e5-c90503f029cd,Program suspension and Staff layoff,program_suspension,2025-12-09,College of Idaho,Caldwell,ID,Idaho,Private non-profit,,,unmatched,https://www.kivitv.com/canyon-county/college-of-idaho-cuts-three-majors-lays-off-10-employees-in-academic-restructuring,Idaho6 News
87dd54e8-2af3-4d57-8ced-c5ba2758a17c,30 associate degree programs,program_suspension,2025-09-04,Cuyahoga Community College,Cleveland,OH,Ohio,Public,,,unmatched,https://signalcleveland.org/tri-c-cut-30-programs-comply-senate-bill-1/,Signal Cleveland
fb70100e-9359-4707-821d-1820d59b4382,Institution closure,institution_closure,2024-05-23,Delaware College of Art and Design,Wilmington,DE,Delaware,Private non-profit,,,unmatched,https://delawarebusinesstimes.com/news/dcad-to-close-in-upcoming-weeks/,Delaware Business Times
caadd5d1-f610-4d9c-ac36-14b329f389d5,All Registration and Enrollment,institution_closure,2024-05-15,Eastern Gateway Community College,Steubenville,OH,Ohio,Public,203331,203331,collegecuts_institutions.unitid,https://www.highereddive.com/news/eastern-gateway-community-college-to-close-october-31/716507/,Higher Ed Dive
2192e8d8-a0b8-4eac-93bd-20955a9018f9,Institution closure,institution_closure,2024-04-09,Goddard College,Plainfield,VT,Vermont,Private non-profit,,,unmatched,https://www.insidehighered.com/news/business/financial-health/2024/04/10/goddard-college-announces-closure,Inside Higher Ed
