unitid,institution_name_raw,institution_name_normalized,institution_state_raw,institution_state_normalized,tracker_name,tracker_state,match_method,accreditor,action_type,action_label_raw,action_status,action_date,action_year,action_scope,accreditation_warning,accreditation_warning_or_notice,source_url,source_title,notes,source_page_url,source_page_modified,last_seen_at,institution_name,year,control_label,sector,level,urbanization,category,state,city,enrollment_pct_change_5yr,revenue_pct_change_5yr,revenue_decreased_5yr,enrollment_decreased_5yr,revenue_10pct_drop_last_3_of_5,enrollment_decline_last_3_of_5,ended_2024_at_loss,losses_last_3_of_5,loss_years_last_10,net_tuition_per_fte_change_5yr,tuition_dependence_pct,state_funding_pct_core_revenue,federal_grants_contracts_pell_adjusted_pct_core_revenue,pct_international_all,staff_total_headcount_pct_change_5yr,discount_pct_change_5yr,endowment_pct_change_5yr,liquidity,leverage
214157,Moravian University,moravian university,,,Moravian University,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/fur8osk7e17lzueess2xs4iljy96xms4.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Moravian University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Pennsylvania,Bethlehem,8.114725428471493,8.196494491992526,No,No,No,No,No,No,4,-12.47389457341676,58.202327820451515,0,0.01312392573503956,0.00841151730831446,16.716417910447763,-2.565165731969916,15.713786898958482,0.22734124140182457,0.32542866543055277
,University of Puerto Rico at Cayey,university of puerto rico at cayey,,,,,unmatched,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/ou8h4es0dilm2yqhvde6mdapabasddqf.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rowan College at Burlington County,rowan college at burlington county,,,,,unmatched,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/yd5pg9v4gp70i6im5zlqpm87o3lpqgxo.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190114,Metropolitan College of New York,metropolitan college of new york,,,Metropolitan College of New York,New York,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/w6ujdy96h23fqoo08dal7lt4ipi1ces5.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Metropolitan College of New York,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",New York,New York,-35.5067785668173,-47.310537616555266,Yes,Yes,Yes,Yes,Yes,No,3,1.1820594055169305,82.89294095427259,0.00359688814412735,0.03333959140251665,0.06106106106106106,-42.333333333333336,-19.895621700392542,4.67876172016908,0.1896240709373545,0.7575562581532618
163578,Notre Dame of Maryland University,notre dame of maryland university,,,Notre Dame of Maryland University,Maryland,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/xaw39ju2vhyqyc0c4pqnhc0qy7un3nop.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Notre Dame of Maryland University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Maryland,Baltimore,-13.24229914258495,20.303545139599727,No,Yes,No,Yes,No,No,5,-43.2332439289285,34.08887757014835,0.05392719968700314,0.0373060597469699,0.037701317715959,3.75,,16.371080695500034,0.42657251283657355,0.19921098427754627
,Thaddeus Stevens College of Technology,thaddeus stevens college of technology,,,,,unmatched,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/c5ptuewqzwmse1puxf86gtc2a5ndzjr4.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193353,Mount Saint Mary College,mount st mary college,,,Mount Saint Mary College,New York,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/quhk651ixkk0dukw2g11ni6vf4jktugx.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Mount Saint Mary College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",New York,Newburgh,-1.872659176029963,-25.096849382299908,Yes,Yes,No,Yes,Yes,Yes,6,-17.704396246982917,52.83653877620418,0,0.1868906590982163,0.0049618320610687,-27.706422018348626,17.579101562741016,50.923083148723705,0.620390677403074,0.27444354677141874
190761,Dominican University New York,dominican university new york,,,Dominican University New York,New York,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/bdnmebjsins5ct2s2944j9ur0chv5e11.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Dominican University New York,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",New York,Orangeburg,-17.218543046357617,-12.755371670718327,Yes,Yes,No,Yes,No,No,2,-26.49230330737537,57.01147714345392,0.00356267891850354,0.15346854564381995,0.0288,-11.922141119221411,9.72020279265192,-36.449843816381936,0.41969694422056875,0.5240790540147716
211556,Chatham University,chatham university,,,Chatham University,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/28zetyxsbzbp8ikhh9bffzjd6yc0rns1.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Chatham University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Pennsylvania,Pittsburgh,-6.832740213523132,-18.253323107784674,Yes,Yes,No,Yes,Yes,Yes,7,-26.66887878720986,64.01544993356345,0,0.00923102538379525,0.03055767761650114,12.420382165605096,35.021335411354535,-19.790096851440055,0.07656597460383618,0.36624897160913783
210571,Albright College,albright college,,,Albright College,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,,TRUE,TRUE,https://msche.box.com/shared/static/tnszwiqlai16s5p8qe8elyc6ob74igkt.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-07-01,2026-07-01 13:10:03.056753,Albright College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Pennsylvania,Reading,-8.481927710843372,-27.725847985291978,Yes,Yes,Yes,Yes,Yes,Yes,7,-34.84227898928761,39.56944009309403,0,0.0081524065025071,0.01790416008425487,-26.014319809069217,-13.879344800049084,-37.68005290375971,-0.07783018867924528,0.6825712451403503
