unitid,institution_name_raw,institution_state_raw,accreditor,action_type,action_label_raw,action_status,action_date,action_year,action_scope,source_url,source_title,notes,last_seen_at,source_page_url,source_page_modified,dapip_id,opeid,agency_id,program_id,sequential_id,action_id,action_code,justification_code,file_id,label_source,review_required,mapped_action_family,keep_reason,file_cache_path,file_text_path,parsed_reason_text,parsed_reason_source,parsed_reason_snippet,source_selection_specificity_score,source_selection_substantive_text_length
100654,Alabama A & M University,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due April 1, 2021, addressing the standards of the Principles identified below.",active,2020-09-02,2020,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:56.039725,https://ope.ed.gov/dapip/#/institution-profile/100025,,100025,,7,1,1,12,HM,6,30482,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100025_action-12_file-30482.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100025_action-12_file-30482.txt,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due April 1, 2021, addressing the standards of the Principles identified below.",pdf_body,Requested to submit a Referral Report documenting compliance with accreditation standards,0,176
100663,University of Alabama at Birmingham,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees reaffirmed accreditation and requested a Monitoring Report due in six (6) months.",active,2025-12-07,2025,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:56.614494,https://ope.ed.gov/dapip/#/institution-profile/100034,,100034,,7,1,1,5,HM,6,28998,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100034_action-5_file-28998.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100034_action-5_file-28998.txt,"January 6, 2026 Dr. Ray L. Watts President The University of Alabama at Birmingham 1720 2nd Avenue South Birmingham, AL 35294-0103 Dear Dr. Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees reaffirmed accreditation and requested a Monitoring Report due in six (6) months. We appreciate your continued support of SACSCOC's activities and work. If you have questions, please contact your assigned SACSCOC Vice President and refer to case RC019857 or Action ACT-29857. Sincerely, Stephen L. Pruitt, Ph.D. President cc: Dr. Nuria M. Cuevas, Vice President, SACSCOC",pdf_body,Requested to Submit a Monitoring Report due in six (6) months.,0,760
100663,University of Alabama at Birmingham,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 16, 2022: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2023, addressing the following referenced standard of the Principles of Accreditation: Standard 8.2.",active,2022-06-16,2022,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:56.717942,https://ope.ed.gov/dapip/#/institution-profile/100034,,100034,,7,1,1,2,HM,6,27497,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100034_action-2_file-27497.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100034_action-2_file-27497.txt,"SOUTHERN ASSOCiATIONOF COLLEGESAND SCHOOLS COMMISSIONON COLLEGES June 30, 2022 Dr. Ray Watts President The University of Alabama at Birmingham 1720 2nd Avenue South Birmingham, AL 35294-0103 Dear Dr. Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 16, 2022: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2023, addressing the following referenced standard of the Principles of accreditation: Standard 8.2. a (Student outcomes: educational programs) This standard expects an institution to identify expected student learning outcomes, assess the extent to which it achieves these outcomes, and provide evidence of seeking improvement based on analysis of the results for each of its educational programs. The institution did not provide sufficient evidence to demonstrate that it seeks improvement based on analysis of the assessment results. With the exception of nursing, education, and optometry programs, in several instances, actions identified for seeking improvement were stated as 'no action needed' or 'continuing to monitor. ' The institution should provide evidence that it seeks improvement based on analysis of the results for its educational programs. Guidelines for the Monitoring Report are enclosed. Since it is essential that institutions follow these guidelines, please make certain that those responsible for preparing the report receive the document. If there are any questions about the format, contact the Commission staff member assigned to your institution. When submitting your report, please send three (3) copies to your SACSCOC staff member. Please note that Federal regulations and SACSCOC's policy stipulate that an institution must demonstrate compliance with all requirements and standards of the Principles of accreditation (Principles) within two years following the SACSCOC Board of Trustees' initial action on the institution. At the end of that two-year period, if the institution does not comply with all standards and requirements of the Principles, representatives from the institution may be required to appear before the Board, or one of its standing committees, to answer questions as to why the institution should not be removed from membership. If the Board of Trustees determines Good Cause at that time and the institution has not been on Probation for both 1 866 Southern Lane ' Decatur, Georgia 30033-4097 . Telephone 404/679-4500 . Fax404/679-4558 www. sacscoc. org Dr. Ray Watts June 30, 2022 Page Two years during the two-year monitoring period, the Board may extend the period for coming into compliance for a minimum of six months and a maximum of two years and must place the institution on Probation. An institution may be on Probation for a maximum of two years. If the Board does not determine Good Cause or if the institution does not come into compliance within the specified period of time while on Probation, the institution must be removed from membership. fSee enclosed SACSCOC's policy, ""Sanctions, Denial of Reaffirmation, and Removal from Membership"", which includes the provision for a determination of Good Cause.) We appreciate your continued support of SACSCOC's work and activities. If you have questions, please contact the SACSCOC staff member assigned to your institution. Sincerely, /2./4' LK('k'^ ielle S. Wheelan, Ph. D. President BSW:lbw Enclosures ec: Dr. Nuria M. Cuevas, Vice President, SACSCOC",pdf_body,Requested to Submit a Monitoring Report on Student Outcomes: Educational Programs,0,3608
100663,University of Alabama at Birmingham,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,Heightened Monitoring or Focused Review,active,2021-06-15,2021,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:56.797825,https://ope.ed.gov/dapip/#/institution-profile/100034,,100034,,7,1,1,4,HM,6,28259,dapip_action_description,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100034_action-4_file-28259.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100034_action-4_file-28259.txt,Heightened Monitoring or Focused Review,raw_title,Heightened monitoring or focused review,0,39
100706,University of Alabama in Huntsville,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 13, 2024: The SACSCOC Board of Trustees reviewed the institution’s First Monitoring Report following submission of a Referral Report in June 2023.",active,2024-06-13,2024,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:57.114263,https://ope.ed.gov/dapip/#/institution-profile/100052,,100052,,7,1,1,9,HM,6,27507,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100052_action-9_file-27507.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100052_action-9_file-27507.txt,"SACS ?COCTM SOUTHERN ASSOCIATION OF COLLEGES AND SCHOOLS COMMISSION ON COLLEGES July 1,2024 Dr. Charles L. Karr President The University of Alabama in Huntsville 301 Sparkman Drive Huntsville, AL 35899 Dear Dr. Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 13, 2024: The SACSCOC Board of Trustees reviewed the institution’s First Monitoring Report following submission of a Referral Report in June 2023. Because of significant deficiencies, the institution is strongly advised to take immediate steps to come into compliance with the following standard of the Principles of accreditation: Standard 8.2.a (Student outcomes: educational programs). Failure to do so could result in your institution being placed on sanction at the time of its next review. The institution is requested to submit a Second Monitoring Report due April 1, 2025, addressing the following referenced standard of the Principles of accreditation: Standard 8.2.a (Student outcomes: educational programs) This standard expects an institution to identify expected student learning outcomes, assess the extent to which it achieves these outcomes, and provide evidence of seeking improvement based on analysis of the results for each of its educational programs. The institution examined its institutional effectiveness process and identified eight compliance deficiencies which contributed to all phases of the assessment process being incomplete. Corrective action was taken to improve its assessment process in preparation for the 2023-2024 assessment cycle. While corrective action was reported, the evidence submitted does not support compliance with all components of the standard because programs are in various phases of the student learning outcomes assessment process and reporting is not projected to be complete until Fall 2024. As part of its report, the institution should demonstrate that it identifies expected student learning outcomes, assesses the extent to which the outcomes are achieved, and provides evidence of seeking improvement based on analysis of the results. SACS(?COCTM Dr. Charles L. Karr July 1,2024 Page Two make a compelling case as to why the sampling and assessment findings are an appropriate representation of the institution’s programs. Guidelines for the Monitoring Report are enclosed. Since it is essential that institutions follow these guidelines, please make certain that those responsible for preparing the report receive the document. If there are any questions about the format, contact the SACSCOC staff member assigned to your institution. Please submit your report via the Institutional Portal by the deadline date. Please note that with submission of this report, your institution will have submitted monitoring reports for a period of two years, concluding in June 2025. Federal regulations and SACSCOC’s policy stipulate that if an institution does not demonstrate compliance with all the standards and requirements of the Principles of accreditation within two years following initial action on the institution, representatives from the institution may be required to appear for a meeting on the record before the SACSCOC Board of Trustees, or one of its standing committees, to answer questions as to why the institution should not be removed from membership. If the Board of Trustees determines Good Cause at that time and the institution has not been on Probation during the two-year monitoring period, the Board may extend the period for coming into compliance for a minimum of six months and a maximum of two years and must place the institution on Probation for Good Cause. If the Board of Trustees does not determine Good Cause, removal from accreditation is mandatory. (See enclosed SACSCOC policy, ‘Sanctions, Denial of Reaffirmation, and Removal from Membership,’ which includes the provisions for a determination of Good Cause.) Please note that an institution at the end of its two-year monitoring period also should include a report providing evidence to support the conditions for Good Cause as described in the above-referenced policy statement. The institution bears the burden of proof to provide evidence why the SACSCOC Board of Trustees should not remove it from membership. We appreciate your continued support of SACSCOC’s work and activities. If you have questions, please contact the SACSCOC staff member assigned to your institution. Sincerely, Belle S. Wheelan, Ph.D.",pdf_body,Requested to Submit a Monitoring Report on Student Outcomes: Educational Programs,0,4576
100706,University of Alabama in Huntsville,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 15, 2023: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2024, addressingthe following referenced standard of the Principles of Accreditation: Standard 8.",active,2023-06-15,2023,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:57.196195,https://ope.ed.gov/dapip/#/institution-profile/100052,,100052,,7,1,1,8,HM,6,27506,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100052_action-8_file-27506.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100052_action-8_file-27506.txt,"SACSf^COC SOUTHERN ASSOCIATION OF COLLEGES AND SCHOOLS COMMISSION ON COLLEGES June 29, 2023 Dr. Charles Karr President The University of Alabama in Huntsville 301 Sparkman Drive Huntsville, AL 35899 Dear Dr. Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 15, 2023: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2024, addressingthe following referenced standard of the Principles of accreditation: Standard 8. 2. a (Student outcomes: educational programs) 777/s standard expects an institution to identify expected student learning outcomes, assess the extent to which it achieves these outcomes, and provide evidence of seeking improvement based on analysis of the results for each of its educational programs. The institution has implemented changes to improve its assessment process. However, the evidence presented does not support that the process is adequately followed across all units. Some of the non-engineering assessment reports provided information regarding use of results with limited detail. Other reports indicated that the target was met without or with limited evidence of analysis. Assessment reports for business programs repeatedly included the general response: 'The curriculum committee will evaluate the assessment results, cooperate with the faculty members who were responsible for the assessments, conduct some adjustments as needed and enhance the teaching & learning process. ' The institution should provide evidence that it has implemented all assessment process phases, including analysis of results and implementation of proposed changes. Guidelines for the Monitoring Report are enclosed. Since it is essential that institutions follow these guidelines, please make certain that those responsible for preparing the report receive the document. If there are any questions about the format, contact the SACSCOC staff member assigned to your institution. Please submit your report via the Institutional Portal by the deadline date. Please note that Federal regulations and SACSCOC's policy stipulate that an institution must demonstrate compliance with all requirements and standards of the Principles of accreditation (Principles) within two years following the SACSCOC Board of Trustees' initial action on the 1866 Southern Lane . Decatur, Georgia 30033-4097 . Telephone 404/679-4500 . Fax404/679-4558 www. sacscoc. org SACSC Dr. Charles Karr June 29, 2023 Page Two institution. At the end of that two-year period, if the institution does not comply with all standards and requirements of the Principles, representatives from the institution may be required to appear before the Board, or one of its standing committees, to answer questions as to why the institution should not be removed from membership. If the Board of Trustees determines Good Cause at that time and the institution has not been on Probation for both years during the two-year monitoring period, the Board may extend the period for coming into compliance for a minimum of six months and a maximum of two years and must place the institution on Probation. An institution may be on Probation for a maximum of two years. If the Board does not determine Good Cause or if the institution does not come into compliance within the specified period of time while on Probation, the institution must be removed from membership, fSee enclosed SACSCOC'spolicy, ""Sanctions, Denial of Reaffirmation, and Removal from Membership"", which includes the provision for a determination of Good Cause.^ We appreciate your continued support of SACSCOC's work and activities. If you have questions, please contact the SACSCOCstaff member assigned to your institution. Sincerely, . ^. ^^ Belle S. Wheelan, Ph. D. President BSW:ktf Enclosures ec: Dr. Crystal A. Baird, Vice President, SACSCOC",pdf_body,Requested to Submit a Monitoring Report on Student Outcomes: Educational Programs,0,4002
100706,University of Alabama in Huntsville,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Based only on those reviewed standards, the institution should submit a Referral Report due April 3, 2023, addressing the standards of the Principles identified below.",active,2022-06-16,2022,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:10:57.529766,https://ope.ed.gov/dapip/#/institution-profile/100052,,100052,,7,1,1,3,HM,6,27499,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100052_action-3_file-27499.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100052_action-3_file-27499.txt,"Based only on those reviewed standards, the institution should submit a Referral Report due April 3, 2023, addressing the standards of the Principles identified below.",pdf_body,Requested to submit a Referral Report documenting compliance with accreditation standards,0,167
100830,Auburn University at Montgomery,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Based only on those reviewed standards, the institution should submit a Referral Report due April 1, 2025, addressing the standards of the Principles identified below.",active,2024-04-24,2024,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:11:00.184018,https://ope.ed.gov/dapip/#/institution-profile/100113,,100113,,7,1,1,8,HM,8,23503,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100113_action-8_file-23503.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100113_action-8_file-23503.txt,"Based only on those reviewed standards, the institution should submit a Referral Report due April 1, 2025, addressing the standards of the Principles identified below.",pdf_body,Requested to submit a Referral Report documenting compliance with accreditation standards,0,167
101189,Faulkner University,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due September 8, 2025, addressing the following referenced standard(s) of the Principles: Standard 6.2.c (Program coordination) For each of its educational programs, this standard expects an institution to assign appropriate responsibility for program coordination.",active,2025-04-25,2025,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:11:01.16332,https://ope.ed.gov/dapip/#/institution-profile/100238,,100238,,7,1,1,4,HM,6,24374,dapip_file_text,FALSE,monitoring_or_notice,public_action_code,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/pdfs/100238_action-4_file-24374.pdf,/home/runner/work/financial-health-tracker/financial-health-tracker/data_pipelines/accreditation/cache/dapip/text/100238_action-4_file-24374.txt,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due September 8, 2025, addressing the following referenced standard(s) of the Principles: Standard 6.2.c (Program coordination) For each of its educational programs, this standard expects an institution to assign appropriate responsibility for program coordination.",pdf_body,Requested Referral Report on Program coordination,0,362
101587,University of West Alabama,Alabama,"Southern Association of Colleges and Schools, Commission on Colleges",notice,Heightened Monitoring or Focused Review,active,2023-12-03,2023,,,DAPIP Institutional Accreditation Action,Heightened Monitoring or Focused Review,2026-07-08 13:11:03.885621,https://ope.ed.gov/dapip/#/institution-profile/100441,,100441,,7,1,1,3,HM,6,0,dapip_action_description,FALSE,monitoring_or_notice,public_action_code,,,Heightened Monitoring or Focused Review,raw_title,Heightened monitoring or focused review,0,39
