unitid,institution_name,accreditor,scraper_action_type,scraper_action_label,scraper_action_date,dapip_action_type,dapip_action_label,dapip_action_date,audit_result,date_delta_days,scraper_source_url,dapip_source_page_url,dapip_file_id,scraper_source_key,dapip_source_key,notes,scraper_public_keep,scraper_public_reason,dapip_public_keep,dapip_public_reason,public_table_strategy,hybrid_candidate,hybrid_reason,public_action_family,scraper_display_reason_source,dapip_display_reason_source,public_display_reason_source
100654,Alabama A & M University,SACSCOC,,,,notice,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due April 1, 2021, addressing the standards of the Principles identified below.",2020-09-02,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100025,30482,,"100654||alabama a & m university||SACSCOC||notice||based only on those reviewed standards, the institution is requested to submit a referral report due april 1, 2021, addressing the standards of the principles identified below.||2020-09-02||https://ope.ed.gov/dapip/#/institution-profile/100025||30482",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
100663,University of Alabama at Birmingham,SACSCOC,,,,notice,"Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees reaffirmed accreditation and requested a Monitoring Report due in six (6) months.",2025-12-07,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100034,28998,,"100663||university of alabama at birmingham||SACSCOC||notice||watts: the following action regarding your institution was taken by the board of trustees of the southern association of colleges and schools commission on colleges (sacscoc) during its meeting held on december 7, 2025: the sacscoc board of trustees reaffirmed accreditation and requested a monitoring report due in six (6) months.||2025-12-07||https://ope.ed.gov/dapip/#/institution-profile/100034||28998",public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_reaffirmation_with_monitoring_only,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,pdf_body,
100663,University of Alabama at Birmingham,SACSCOC,,,,notice,"Watts: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 16, 2022: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2023, addressing the following referenced standard of the Principles of Accreditation: Standard 8.2.",2022-06-16,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100034,27497,,"100663||university of alabama at birmingham||SACSCOC||notice||watts: the following action regarding your institution was taken by the board of trustees of the southern association of colleges and schools commission on colleges (sacscoc) during its meeting held on june 16, 2022: the sacscoc board of trustees reviewed the institution's referral report and requested a monitoring report due april 1, 2023, addressing the following referenced standard of the principles of accreditation: standard 8.2.||2022-06-16||https://ope.ed.gov/dapip/#/institution-profile/100034||27497",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
100663,University of Alabama at Birmingham,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2021-06-15,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100034,28259,,100663||university of alabama at birmingham||SACSCOC||notice||heightened monitoring or focused review||2021-06-15||https://ope.ed.gov/dapip/#/institution-profile/100034||28259,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
100706,University of Alabama in Huntsville,SACSCOC,,,,notice,"Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 13, 2024: The SACSCOC Board of Trustees reviewed the institution’s First Monitoring Report following submission of a Referral Report in June 2023.",2024-06-13,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100052,27507,,"100706||university of alabama in huntsville||SACSCOC||notice||karr: the following action regarding your institution was taken by the board of trustees of the southern association of colleges and schools commission on colleges (sacscoc) during its meeting held on june 13, 2024: the sacscoc board of trustees reviewed the institution’s first monitoring report following submission of a referral report in june 2023.||2024-06-13||https://ope.ed.gov/dapip/#/institution-profile/100052||27507",public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_monitoring_review_only,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,pdf_body,
100706,University of Alabama in Huntsville,SACSCOC,,,,notice,"Karr: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 15, 2023: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2024, addressingthe following referenced standard of the Principles of Accreditation: Standard 8.",2023-06-15,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100052,27506,,"100706||university of alabama in huntsville||SACSCOC||notice||karr: the following action regarding your institution was taken by the board of trustees of the southern association of colleges and schools commission on colleges (sacscoc) during its meeting held on june 15, 2023: the sacscoc board of trustees reviewed the institution's referral report and requested a monitoring report due april 1, 2024, addressingthe following referenced standard of the principles of accreditation: standard 8.||2023-06-15||https://ope.ed.gov/dapip/#/institution-profile/100052||27506",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
100706,University of Alabama in Huntsville,SACSCOC,,,,notice,"Based only on those reviewed standards, the institution should submit a Referral Report due April 3, 2023, addressing the standards of the Principles identified below.",2022-06-16,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100052,27499,,"100706||university of alabama in huntsville||SACSCOC||notice||based only on those reviewed standards, the institution should submit a referral report due april 3, 2023, addressing the standards of the principles identified below.||2022-06-16||https://ope.ed.gov/dapip/#/institution-profile/100052||27499",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
100830,Auburn University at Montgomery,SACSCOC,,,,notice,"Based only on those reviewed standards, the institution should submit a Referral Report due April 1, 2025, addressing the standards of the Principles identified below.",2024-04-24,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100113,23503,,"100830||auburn university at montgomery||SACSCOC||notice||based only on those reviewed standards, the institution should submit a referral report due april 1, 2025, addressing the standards of the principles identified below.||2024-04-24||https://ope.ed.gov/dapip/#/institution-profile/100113||23503",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
101189,Faulkner University,SACSCOC,,,,notice,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due September 8, 2025, addressing the following referenced standard(s) of the Principles: Standard 6.2.c (Program coordination) For each of its educational programs, this standard expects an institution to assign appropriate responsibility for program coordination.",2025-04-25,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100238,24374,,"101189||faulkner university||SACSCOC||notice||based only on those reviewed standards, the institution is requested to submit a referral report due september 8, 2025, addressing the following referenced standard(s) of the principles: standard 6.2.c (program coordination) for each of its educational programs, this standard expects an institution to assign appropriate responsibility for program coordination.||2025-04-25||https://ope.ed.gov/dapip/#/institution-profile/100238||24374",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
101587,University of West Alabama,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2023-12-03,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100441,0,,101587||university of west alabama||SACSCOC||notice||heightened monitoring or focused review||2023-12-03||https://ope.ed.gov/dapip/#/institution-profile/100441||0,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
