action_id,source_unitid,source_institution_name,source_accreditor,source_action_date,source_action_type,source_action_label_raw,source_generated_statement,source_source_url,source_source_title,source_row_origin,override_unitid,override_institution_name,override_accreditor,override_action_date,override_action_type,override_action_label_raw,override_generated_statement,override_source_url,override_source_title,first_seen,review_status,reviewer,reviewer_notes,reviewed_at,grandfathered
8d84be0a115a,102298,Talladega College,SACSCOC,2025-06-12,warning,"Kimbrough: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 12, 2025: The SACSCOC Board of Trustees reviewed the institution’s Special Report following receipt of unsolicited information addressing the institution’s ongoing compliance with Core Requirement 13.1 (Financial resources), Core Requirement 13.2 (Financial documents), and Standard 13.3 (Financial responsibility) of the Principles of Accreditation, and placed the institution on Warning for twelve months for failure to comply with Core Requirement 13.1 (Financial resources), Core Requirement 13.2 (Financial documents), Standard 13.3 (Financial responsibility), and Standard 13.5 (Control of sponsored research/external funds). A Special Committee was not authorized to visit the institution.","Placed on warning for twelve months for failure to comply with standards concerning financial resources, financial documents, financial responsibility, and sponsored research/external funds",https://ope.ed.gov/dapip/#/institution-profile/100681,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
b8a5cbca4744,104179,University of Arizona,HLC,2023-08-01,adverse_action,"Public Disclosure: University of Arizona Voluntary Resignation of Accreditation Effective: August 1, 2023 University of Arizona in Tucson, Arizona, voluntarily resigned its accreditation with the Higher Learning Commission, effective August 1, 2023.",Voluntarily Surrendered Accreditation,https://ope.ed.gov/dapip/#/institution-profile/101037,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,reject,MV,,2026-05-15,TRUE
be0f5d260ad7,106306,Arkansas Baptist College,HLC,2019-02-28,probation,Summary of the Action: The Institution has been placed on Probation because it is out of compliance with the Criteria for Accreditation.,Placed on Probation because the institution does not meet standards concerning financial resources and planning.,https://ope.ed.gov/dapip/#/institution-profile/101657,DAPIP Institutional Accreditation Action,scraper,,,,,,,Placed on Probation because the institution does not meet Core Components 5.C and 5.A.,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
1b930bd369e6,106306,Arkansas Baptist College,HLC,2021-02-25,probation,Summary of the Action: The Board extended Probation because the Institution remains out of compliance with the Criteria for Accreditation and meets the conditions for the extension of Probation set forth in HLC policy.,Placed on Probation because the institution remains out of compliance with standards concerning financial resources and planning and meets the conditions for extension of Probation set forth in HLC policy.,https://ope.ed.gov/dapip/#/institution-profile/101657,DAPIP Institutional Accreditation Action,scraper,,,,,,,Placed on Probation because the institution remains out of compliance with Core Components 5.B and 5.C and meets the conditions for extension of Probation set forth in HLC policy.,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
372609427ebd,106306,Arkansas Baptist College,HLC,2022-02-25,removed,"Summary of the Action: The Board determined that the Institution is no longer out of compliance with the Criteria for Accreditation, removed the Institution from Probation, reaffirmed the Institution’s accreditation, and assigned interim monitoring.",Probation removed,https://ope.ed.gov/dapip/#/institution-profile/101657,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
19b4c0b6e062,108232,Academy of Art University,WSCUC,2024-06-28,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/102368,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,reject,MV,,2026-05-15,TRUE
40f3e99d9774,108232,Academy of Art University,WSCUC,2026-02-01,warning,Following a Special Visit – Remove Notice of Concern/Issue a Warning,Removed Notice of Concern and issued a Warning because it is out of compliance with standards concerning student completion and resource planning,https://www.wscuc.org/post/february-2026-commission-actions/,February 2026 Commission Actions - WSCUC,scraper,,,,,,,,,,2026-05-15,approved,MV,,2026-06-05,TRUE
fbe3eff8ef26,109785,Azusa Pacific University,WSCUC,2024-06-01,notice,"Following a Special Visit – Remove the Warning, Issue a Formal Notice of Concern, Reaffirm Accreditation for 6 Years","Remove the warning, issue a formal notice of concern, reaffirm accreditation for 6 years",https://www.wscuc.org/post/june-2024-commission-actions/,June 2024 Commission Actions - WSCUC,scraper,,,,,,,"Removed the warning, issued a formal notice of concern, and reaffirmed accreditation for 6 years",,,2026-05-15,approved,MV,,2026-06-05,TRUE
8eecc5b6a42d,110316,California Institute of Integral Studies,WSCUC,2020-06-26,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/102739,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
a54e3e50c1c3,110413,California Lutheran University,WSCUC,2023-02-24,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/102809,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
