cut_id,unitid,institution_name,announcement_date,evidence_text,flag_confirmed,notes,first_seen
772b6502-6c03-4ba8-a141-b285433d6093,149505,Trinity Christian College,2025-11-06,The college announced it will close after the 2025–26 academic year due to financial challenges leaving 107 staff out of work and hundreds of students to…,true,,2026-07-14
7ed928be-cea6-49e5-bf0d-21ed03f01aee,151810,Martin University,2025-12-09,Institution closing,true,,2026-07-14
701fb2fc-1071-4753-b37b-e5beb9bcee14,164492,Anna Maria College,2026-04-24,Governing board voted to permanently close at end of spring 2026 term.,true,,2026-07-14
e35d0ad7-036f-409d-8420-f7f96b37be90,165644,Eastern Nazarene College,2024-06-25,"Closure due to financial deficits and enrollment declines, with phased cessation of academic activities through May 2025.",true,,2026-07-14
7fd5cebe-0d57-43e9-8e77-5cf572afa8fd,166018,Hampshire College,2026-03-14,"Board of Trustees voted to permanently close the college at the end of Fall 2026. Announced by President Jennifer Chrisler on March 14, 2026. Driven by $20M+…",true,,2026-07-14
79602a45-bd21-4aac-95d6-5644f5aae297,172264,Siena Heights University,2025-06-30,Closure due to financial instability from declining enrollment (33% drop over a decade) and rising operational costs.,true,,2026-07-14
5d923f9f-6443-4d1c-898c-e8b0f936fc6f,177418,Fontbonne University,2024-03-11,Institution closure,true,,2026-07-14
42787cd6-75a7-4f81-96f4-fbb1fd985836,195234,The College of Saint Rose,2024-06-21,"103-year-old Catholic college closed due to financial difficulties and declining enrollment, with $11.3M projected deficit",true,,2026-07-14
83c258a4-d765-4b4f-94e3-9f0fa744fc5a,199698,St. Andrews University,2025-04-25,"Financial crisis led to permanent closure of Presbyterian university founded in 1958, merged with Webber International University in 2011 but could not sustain…",true,,2026-07-14
7f372b93-9079-432c-bbfd-3b264318e655,203757,Lourdes University,2026-02-11,"387 total employees losing jobs via WARN filing: 26 assistant professors, 106 adjuncts, 14 head coaches, ~31 federal work-study students, ~49 student…",true,,2026-07-14
7afa740b-587a-4628-b510-4e717d04db73,218238,Limestone University,2025-04-29,"Board of Trustees voted April 29, 2025 to close after nearly 180 years, citing an unresolvable $6M budget shortfall.",true,,2026-07-14
f2b49142-2bd8-4964-a339-f4c9dd13fc47,231095,Sterling College,2025-11-12,100% environmentally-focused work college closing after 65+ years due to enrollment declines (38% drop 2021-2023) and persistent financial challenges.,true,,2026-07-14
2e89eb78-9eab-4870-9de4-5fd6eea4738a,235024,Cornish College of the Arts,2025-03-27,Cornish College absorbed by Seattle University; all 354 employees laid off with potential rehiring by Seattle U,true,,2026-07-14
c6078a58-57b7-4aa5-94a5-10216d4ba0f1,239512,Northland College,2025-02-19,Board unanimously voted to close due to insurmountable financial challenges and declining enrollment.,true,,2026-07-14
8693231e-a88f-4fb0-b9ef-82f032c33952,455770,Providence Christian College,2026-02-07,"Board of Trustees voted February 7, 2026 to cease academic operations at end of 2025-2026 academic year.",true,,2026-07-14
