cut_id,unitid,institution_name,state,announcement_date,announcement_year,cut_type,program_name,generated_cut_label,generated_cut_summary,source_url,source_title,source_publication,row_origin
a9abb040-aff9-49ee-b486-b9f13824efab,216339,Temple University,Pennsylvania,2026-07-08,2026,staff_layoff,40 employees laid off — first confirmed round toward $60M in cuts to address $85M deficit,40 employees laid off — first confirmed round toward $60M in cuts to address $85M deficit,"40 employees laid off July 8 across multiple schools and administrative units — specific areas not disclosed. Separate from 77 faculty who took voluntary retirement incentive departing end of June 2026 saving $15M annually. Running total: 77 voluntary retirements + 40 layoffs = 117 positions eliminated so far. Additional layoffs expected — President Fry said in June ""some reduction in force is inevitable"" since ~70% of budget is compensation/benefits.",https://www.highereddive.com/news/temple-university-lays-off-40-employees-as-it-tackles-deficit/824888/,,Higher Ed Dive,scraper
84caa1d0-5873-4221-a8b8-f020a4b4e605,159382,Louisiana State University-Alexandria,Louisiana,2026-07-02,2026,staff_layoff,25 positions eliminated including CFO and VP-level admins to redirect $3.7M to faculty and research,25 positions eliminated including CFO and VP-level admins to redirect $3.7M to faculty and research,"25 employees terminated week of July 2: CFO Tommy Smith ($390K/year, 1-year tenure; duties moving to LSU System CFO Brandi Roberts); VP of Engagement/Civil Rights/Title IX Todd Manuel ($329K/year; hired 2022 by former President Tate); 16 marketing/communications staff (writers, video producers, photographers); 7 additional Office of Engagement positions (director of institutional engagement, director of learning and development, others). Saves ~$3.7M annually redirected to faculty hiring and research funding. Goal: become top-50 research university (currently ranked 83rd per NSF 2024). Part of broader LSU restructuring: Board split previously combined president/chancellor role into two — President Rousse (public-facing) and Chancellor Dalton (academics/research).",https://lailluminator.com/2026/07/08/lsu-axes-finance-leader-former-dei-staff/,,Louisiana Illuminator,scraper
d3ef03e4-55bd-4d89-af75-f4d4a652dd6c,179159,Saint Louis University,Missouri,2026-07-01,2026,staff_layoff,80 vacant positions eliminated and filled faculty and staff cuts announced — FY2027 raises suspended,80 vacant positions eliminated and filled faculty and staff cuts announced — FY2027 raises suspended,"80 vacant positions eliminated (35 open faculty + 45 open staff) plus unspecified cuts to filled faculty and staff positions. FY2027 merit salary increases suspended entirely. President Edward Feser announced July 1. Enrollment fell more than 2,000 students (15%) YoY — 13,307 undergraduate/post-baccalaureate students for year ending May 2026. S&P Global revised bond outlook to ""negative"" June 23 citing inability to maintain enrollment and revenue. Third consecutive round of SLU cuts: Round 1 (October 2024) — 23 layoffs + 130 vacancies frozen under Pestello; Round 2 — balanced budget FY2025 (no major new layoffs); Round 3 (this action).",https://www.ksdk.com/article/news/local/business-journal/slu-cuts-faculty-and-staff-positions-forgoes-raises-structural-deficit/63-f5e9b675-1607-48e8-a44b-3ca4a2dc54b3,,KSDK / St. Louis Business Journal,scraper
735963d7-031f-4b69-9a5a-a5c26c978614,498571,Pennsylvania Western University,Pennsylvania,2026-06-30,2026,program_suspension,43 academic majors and minors eliminated — replaced by dozens of workforce-focused certificates,43 academic majors and minors eliminated — replaced by dozens of workforce-focused certificates,"43 academic majors and minors eliminated as part of academic redesign at Pennsylvania Western University (formed from merger of Edinboro, California, and Clarion universities of Pennsylvania in 2022). Simultaneously adding dozens of new workforce-focused certificates. PennWest California campus arts programs specifically named in article headline. Part of broader restructuring of the system created by the 2022 merger of three PASSHE universities.",https://www.post-gazette.com/news/education/2026/06/30/pennwest-program-cuts-california-arts-certificates/stories/202606290046,,Pittsburgh Post-Gazette,scraper
0d08446c-b4b7-48be-9572-f0dc4e86d947,110662,University of California-Los Angeles,California,2026-06-30,2026,staff_layoff,27 digital and technology services staff laid off amid $220M deficit — union alleges contract violation,27 digital and technology services staff laid off amid $220M deficit — union alleges contract violation,"27 employees in Digital and Technology Services (DTS) department laid off late June as part of larger technology reorganization. UCLA faces $220M projected deficit for 2025-26 fiscal year. UPTE-CWA 9119 union alleging contract violation — union contract requires alternative process before layoffs including offering open positions to qualified employees; union demanding UCLA rescind layoffs. ""We call on UCLA to quickly rescind these layoffs. Thousands of IT employees recently joined our tech union because our contract requires alternatives to layoffs, providing them the security to do their best work"" — Max Belasco, UPTE-CWA 9119 co-chair.",https://dailybruin.com/2026/07/08/ucla-cuts-27-dts-jobs-amid-budget-deficit-upte-cwa-9119-alleges-contract-violation,,Daily Bruin,scraper
c247a423-aa5a-4750-a461-9cb7cb52a0ac,174066,University of Minnesota-Twin Cities,Minnesota,2026-06-27,2026,staff_layoff,230 jobs eliminated through layoffs and attrition to close $44M structural deficit,230 jobs eliminated through layoffs and attrition to close $44M structural deficit,"230 jobs cut (some through layoffs, others through attrition) as part of $5.4B system operating budget approved 9-1 by Board of Regents June 27. 3.8% tuition increase for most students — 6th consecutive year of tuition hikes. $44M structural deficit addressed through combination of job cuts, tuition increase, and unit-level reductions. College of Liberal Arts already running $12M deficit; 25 of 31 liberal arts departments reported reducing course offerings in spring 2026 survey. Teaching assistant budget cut 20% in fall — TAs supervising more sections. Faculty given 3% raise; adjunct professor budget increased $5M.",https://www.startribune.com/u-budget-cuts-tuition-increase/601861732,,Minneapolis Star Tribune,scraper
70d86d1b-2f99-49d9-8885-cfbc0fa8730d,235097,Eastern Washington University,Washington,2026-06-25,2026,program_suspension,"9 degree programs discontinued unanimously including Gender Studies, Urban Planning and Applied Math",Board of Trustees voted unanimously June 25 (two separate motions) to discontinue all 9 programs identified by Provost Lorenzo Smith.,"Board of Trustees voted unanimously June 25 (two separate motions) to discontinue all 9 programs identified by Provost Lorenzo Smith. Programs discontinued: BA Gender, Women's and Sexuality Studies (CIP 05.0207); BA Urban and Regional Planning (CIP 4.0201); BA International Affairs (CIP 45.0901); BA Applied Technology; BA Data Science (CIP 11.0401); BA English as a Second Language (CIP 13.1401); BA Early Childhood and Special Education (CIP 13.1001); MA Interdisciplinary Studies; MS Applied Mathematics (CIP 27.0301). Faculty Senate recommended saving GWSS, Urban Planning, International Affairs, and Applied Technology — overruled by provost and president. Provost Smith recommended all 9 discontinued June 18; President McMahan passed to board same day.",https://www.inlander.com/news/eastern-washington-university-discontinues-nine-degree-programs-a-little-more-than-a-year-after-its/article_be95bad4-f092-4997-ac5e-c86495b938b0.html,,The Inlander,scraper
898540a1-2393-4d00-823a-d65799a6e9b3,162928,Johns Hopkins University,Maryland,2026-06-25,2026,staff_layoff,110 administrative staff laid off as federal research portfolio continues to shrink,110 administrative staff laid off as federal research portfolio continues to shrink,"110 employees primarily in administrative functions laid off across Bloomberg School of Public Health, Carey Business School, and central administration. ""As our federal research portfolio shrinks the infrastructure around it must change in parallel"" — spokesperson Doug Donovan. Prior cost-management: hiring freeze, pausing raises for employees earning $80K+, reducing discretionary spending, eliminating vacant positions, 20% reduction in 5-year capital project spending — all proved insufficient. JHU simultaneously increasing in-house research awards by $50M and nearly doubled lobbying spending since 2024. Hiring freeze continues. Second distinct layoff round — separate from March 2025 USAID-driven 2,200 cuts also in database.",https://www.usnews.com/news/politics/articles/2026-06-25/johns-hopkins-university-lays-off-over-100-employees-cites-federal-funding-cuts,,U.S. News & World Report,scraper
2a7393fb-c793-4fa9-ba6c-d5115a559593,132903,University of Central Florida,Florida,2026-06-25,2026,department_closure,"Downtown Library, LibTech lending desk and Curriculum Materials Center closed with no notice","Downtown Library, LibTech lending desk and Curriculum Materials Center closed with no notice","Three library units closed simultaneously June 25 with zero advance notice: Addition Financial Downtown Campus Library (served 20+ downtown-exclusive majors including Legal Studies and Health Informatics); LibTech desk at John C. Hitt Library (laptops, DSLR cameras, tablets, microphones, lighting kits, calculators — free equipment loans for students); Curriculum Materials Center on main campus (PreK-12 materials for education majors and local teachers). Staff informed by HR in person or by phone day-of — some mid-shift; told not to return. UCF HR explicitly planned to give no advance warning to ""limit the upset."" UCF cited ""comprehensive review of library usage, academic priorities, and available resources."" Actual reason per Florida Rep. Anna Eskamani: UCF did not receive expected preeminence status funding from Tallahassee ($10M+ annually for faculty raises and services).",https://www.orlandosentinel.com/2026/06/26/ucf-abruptly-shuts-down-some-campus-libraries-and-technology-resources/,,Orlando Sentinel,scraper
7058231e-2108-4419-9210-575c11fada82,179557,Southeast Missouri State University,Missouri,2026-06-23,2026,staff_layoff,20 positions eliminated to close $6.5M FY2027 budget deficit,20 positions eliminated to close $6.5M FY2027 budget deficit,"Board approved FY2027 budget June 23 eliminating 20 currently occupied positions out of ~900 full-time employees (~2.2% of workforce). Budget gap: $4M projected revenue increase vs $10.5M expense increase = $6.5M deficit. Working group of faculty, staff and administrators found $12.9M in total cuts (exceeding deficit). Missouri facing $1.5-2B state general revenue shortfall; higher ed leadership advised to prepare for at least 10% state appropriations cut for FY2028 — equal to ~$5M for SEMO.",https://www.kfvs12.com/2026/06/23/semo-board-approves-budget-plan-cuts-20-jobs/,,KFVS12,scraper
88943067-8061-4b5d-861e-89230e630c64,104179,University of Arizona,Arizona,2026-06-23,2026,department_closure,Health Sciences Division dissolved — 28 positions eliminated in final integration phase,Health Sciences Division dissolved — 28 positions eliminated in final integration phase,"Health Sciences Division administrative structure permanently dissolved effective August 7, 2026 — final phase of year-long realignment. ~28 positions eliminated. All programs folded directly into existing university units: Interprofessional Clinical and Professional Skills Center + Center for Transformative Interprofessional Healthcare + Arizona Area Health Education Centers + Indigenous health programs → under new provost-selected supervisors. Clinical and Translational Science Institute + Arizona Center for Accelerated Biomedical Innovation → Office of Research and Partnerships. Clinical Placements and Partnerships → Mel and Enid Zuckerman College of Public Health.",https://www.tucsonspotlight.org/ua-cuts-28-jobs-in-health-sciences-restructuring-plan/,,Tucson Spotlight,scraper
7021b552-50ce-4ecf-9c0c-e468dd0da3e8,140252,Life University,Georgia,2026-06-16,2026,staff_layoff,30+ positions eliminated including 14 faculty — 401(k) matching discontinued to save $4.4M,30+ positions eliminated including 14 faculty — 401(k) matching discontinued to save $4.4M,"30+ total employees severed including 14 of ~200 faculty members. 401(k) matching program also discontinued. Saves $4.4M against $5M projected budget shortfall. President Brian McAulay announced June 16 via email calling decisions ""difficult but necessary."" Root cause: chiropractic flagship program placed on CCE probation in 2024 for 77% licensing exam pass rate (below 80% threshold) — probation lifted January 2026 after 100% winter pass rate. But enrollment disruption persists: 2,289 students fall 2025 (lowest in 10+ years), down 11% YoY; chiropractic college enrollment down 16%. 90%+ of revenue comes from tuition; chiropractic program provides 75% of operating revenue — making university extremely sensitive to enrollment shifts.",https://www.ajc.com/education/2026/06/life-university-makes-difficult-but-necessary-cuts-amid-financial-challenges/,,Atlanta Journal-Constitution,scraper
f129c289-7035-4c95-ab53-c4df71b51c83,240444,University of Wisconsin-Madison,Wisconsin,2026-06-11,2026,staff_layoff,31 positions eliminated across multiple units as part of budget reductions,31 positions eliminated across multiple units as part of budget reductions,"Internal emails obtained by Cap Times confirm 31 positions being eliminated across multiple UW-Madison units. Cuts include: Division of Information Technology (DoIT) — layoffs and position eliminations; University Communications — staff reductions; Office of Sustainability — significant cuts; Wisconsin Public Media (WPM) — positions eliminated including programming staff. Additional measures: travel restrictions, hiring freezes, reduced discretionary spending. Driven by flat state funding, federal research grant reductions, and rising operational costs.",https://captimes.com/news/education/emails-show-uw-madison-to-lay-off-31-employees-among-other-cuts/article_e4f4c9b6-78e3-4f29-828c-f92fd002caec.html,,The Cap Times,scraper
9549037a-ad72-4d54-a30e-67247a566987,237525,Marshall University,West Virginia,2026-06-10,2026,program_suspension,7 degree and certificate programs discontinued as part of regular program review,"Board of Governors approved discontinuation of 7 programs June 10: BS Computer and Information Security, MS Cyber Forensics and Security, MA Journalism,…","Board of Governors approved discontinuation of 7 programs June 10: BS Computer and Information Security, MS Cyber Forensics and Security, MA Journalism, Graduate Certificates in Digital Communications, Digital Forensics, Integrated Strategic Communications, and Media Management. 4 of the 7 (Journalism MA, Digital Communications, Media Management, Integrated Strategic Communications certificates) had enrollment suspended since 2022 and were already in teach-out. Part of routine program review process. Budget deficit reduced from $28M to $10M; projected to fall below $3M over next year with help of Huron consulting firm assessing organizational alignment, revenue opportunities, and inefficiencies. Metro Tuition rate expanded to all border states by 2028 to attract out-of-state students.",https://wvpublic.org/story/education/marshall-university-cuts-seven-programs-as-it-eyes-growth/,,West Virginia Public Broadcasting,scraper
dc961b10-ca85-4ba2-88e9-e7ef359a91f0,181020,Doane University,Nebraska,2026-06-08,2026,program_suspension,5 majors and 4 minors sunsetted plus 15 voluntary separations under Doane Forward plan,"Majors sunsetted fall 2027: New Media, Strategic Communication, Policy and Values, Ethics and Interfaith Studies, Human Relations.","Majors sunsetted fall 2027: New Media, Strategic Communication, Policy and Values, Ethics and Interfaith Studies, Human Relations. Minors sunsetted: Film, Journalism, Communicating Quantitative Information, Communication/Environmental Communication. ~80 students affected on Crete campus and online — all may finish current pathways. 15 faculty/staff took voluntary separation packages; teaching faculty retained through 2026-27 to complete teach-out. Savings amount not disclosed; departments asked to prepare 13-20% budget reduction drafts (April 2026). Part of ""Doane Forward"" 6-month strategic plan developed with stakeholder input.",https://nebraskapublicmedia.org/en/news/news-articles/doane-ending-five-majors-four-minors-in-fall-2027-current-students-able-to-finish-programs/,,Nebraska Public Media,scraper
a0c4f5a8-90b4-47d3-b51c-4b7c578ca3e7,177339,Evangel University,Missouri,2026-06-08,2026,staff_layoff,40 positions eliminated and athletic scholarships reduced to cut $10M in spending,40 positions eliminated and athletic scholarships reduced to cut $10M in spending,"40 total positions eliminated as part of $10M spending reduction target. No major academic programs eliminated; biblical languages major discontinued; College of Online Learning restructured to integrate with main degree programs (May 2026). Athletic scholarships reduced — average scholarships for student athletes to near $16K starting 2026-27. University remains on federal watch list for shaky financial stability. Assemblies of God-affiliated institution; ~2,000 students; Springfield MO.","https://sbj.net/stories/evangel-cuts-40-positions-part-of-effort-to-reduce-spending-by-10m,104510",,Springfield Business Journal,scraper
