lead_id,first_seen,tier,query_or_feed,url,publisher,headline,published_date,snippet,status,status_reason
5ac6594e80cd85fe,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/university-of-nebraska-system-braces-for-unexpected-36m-state-funding-cut/825099/,Higher Ed Dive - Latest News,University of Nebraska System braces for unexpected $36M state funding cut,2026-07-13,"<figure><div><img src=""https://imgproxy.divecdn.com/8dGXePlS60msOyn1R2m240O_XBvHOmR6ONjirzKxywQ/g:nowe:0:8/c:4250:2401/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0xNzY1MjA1MDMuanBn.webp""/></div></figure><p>&ldquo;There are limits to what can be achieved through continued reductions,&rdquo; the system&rsquo;s president said as ever-deepening austerity measures loom.</p>",filtered_out,no_include_keyword
fa595510e7e84196,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/week-in-review-classroom-speech-has-its-day-in-court/825006/,Higher Ed Dive - Latest News,Week in review: Classroom speech has its day in court,2026-07-13,"<figure><div><img src=""https://imgproxy.divecdn.com/6Nh093bMaIDXLV3MgSxnAz3J9dq4YzJhocKaR1EgClE/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy01MjAyNTk5ODEuanBn.webp""/></div></figure><p>We&rsquo;re rounding up last week&rsquo;s stories, from Moody&rsquo;s gloomier outlook for Brown University to workforce cuts at multiple institutions.</p>",filtered_out,no_include_keyword
5fa99996a1e36948,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/transferring-may-not-pay-off-for-some-students-study-suggests/824954/,Higher Ed Dive - Latest News,"Transferring may not pay off for some students, study suggests",2026-07-13,"<figure><div><img src=""https://imgproxy.divecdn.com/niLC1UeCAtPxh7gXKZ3Sd8NgT1xENVmz6gXYjsZdc64/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjgyNTMwOTY0LmpwZw==.webp""/></div></figure><p>Students just above admissions cutoffs could see lower earnings after moving colleges than those who were rejected, a working paper found.</p>",filtered_out,no_include_keyword
962c24632319e7f7,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/what-does-the-supreme-courts-transgender-athlete-ruling-mean-for-higher-ed/824973/,Higher Ed Dive - Latest News,What does the Supreme Court’s transgender athlete ruling mean for higher ed?,2026-07-13,"<figure><div><img src=""https://imgproxy.divecdn.com/JTNQAZHvbLChp4mlAMNCmL6emo6XpQCu6lgf2LMO148/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TdXByZW1lX0NvdXJ0X0V4dGVybmFsXy5qcGc=.webp""/></div></figure><p>The landmark decision has big implications for transgender students&nbsp;&mdash; and the Title IX and litigation landscape for colleges.</p>",filtered_out,no_include_keyword
e3a26c95982a2e1f,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/10-bills-introduced-to-codify-outsourcing-of-federal-education-programs/825012/,Higher Ed Dive - Latest News,10 bills introduced to codify outsourcing of federal education programs,2026-07-13,"<figure><div><img src=""https://imgproxy.divecdn.com/on_m6qtE0yRmv4wW3ZL3yciG_XE25gfeoi13bpH-izc/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjc2MjQzNjkzLmpwZw==.webp""/></div></figure><p>Supporters say the Republican-led proposals would help &ldquo;right-size&rdquo; the U.S. Department of Education, while opponents predict inefficiencies.</p>",filtered_out,no_include_keyword
4f56b225271c236f,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/temple-university-lays-off-40-employees-as-it-tackles-deficit/824888/,Higher Ed Dive - Latest News,Temple University lays off 40 employees as it tackles deficit,2026-07-10,"<figure><div><img src=""https://imgproxy.divecdn.com/TfbTGkfjFTH0wAxXwyoVhlB0tRppEQha60WBh0o8aIQ/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNDIyNjY0LmpwZw==.webp""/></div></figure><p>The public Philadelphia institution is reducing its workforce for the second year in a row but has seen promising enrollment gains of late.</p>",filtered_out,no_include_keyword
3844f8cbcb936953,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/california-community-college-settles-with-professor-who-sued-over-dei-polic/824885/,Higher Ed Dive - Latest News,California community college settles with professor who sued over DEI policy,2026-07-09,"<p>Bakersfield College agreed to not require Daymon Johnson to use diversity, equity, inclusion and accessibility principles in his teaching or scholarship.</p>",filtered_out,no_include_keyword
dced4b9a9fc04999,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/faculty-groups-question-dojs-yale-admissions-claims-balk-at-potential-dea/824755/,Higher Ed Dive - Latest News,"Faculty groups question DOJ’s Yale admissions claims, balk at potential deal",2026-07-08,"<figure><div><img src=""https://imgproxy.divecdn.com/-k5WqDU7odU5fMMxgWZBjQNPJA2XuO0xe1kZ2vXs3T4/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy00NzUzMTUwODYuanBn.webp""/></div></figure><p>&ldquo;Yale has the resources, stature, and responsibility to stand firm,&rdquo; the American Association of University Professors and other groups said.&nbsp;</p>",filtered_out,no_include_keyword
f51aa72f566c59e6,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/aaup-sues-over-texas-tech-classroom-instruction-limits/824691/,Higher Ed Dive - Latest News,AAUP sues over Texas Tech classroom instruction limits,2026-07-08,"<p>The national faculty group, alongside a local affiliate, asked a judge to block the directives and rule them unconstitutional.</p>",filtered_out,no_include_keyword
eee1158fd7d6a34d,2026-07-13,trade_feed,higher_ed_dive,https://www.highereddive.com/news/education-department-regulations-2026-unified-agenda/824645/,Higher Ed Dive - Latest News,Another wave of Education Department regulations is coming,2026-07-08,"<figure><div><img src=""https://imgproxy.divecdn.com/HIKLSz4Yup-Z-X6T_OlTzQ8I2o2nSfbTTOZxWOyYu1s/g:ce/rs:fill:1600:900:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9SZXNpemVHZXR0eUltYWdlcy0yMjU2MDg5NDg4LmpwZw==.webp""/></div></figure><p>The Trump administration unveiled its timeline for a host of regulatory changes, including those related to accreditation, diversity initiatives and Title VI.&nbsp;</p>",filtered_out,no_include_keyword
d6e4987d87ffb88c,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/opinion/columns/debatable-ideas/2026/07/13/uses-and-abuses-campus-freedom-information-act,Inside Higher Ed,The Uses and Abuses on Campus of the Freedom of Information Act,2026-07-13,"<span>The Uses and Abuses on Campus of the Freedom of Information Act</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2025-07/Debatable-Issue.jpg"" width=""651"" height=""433"" alt=""Debatable Ideas column logo"">

</div>
      
<span><span>Sara Brady</span></span>

<span><time datetime=""2026-07-13T03:00:00-04:00"" title=""Monday, July 13, 2026",filtered_out,no_include_keyword
1bd26e971ad9131b,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/opinion/columns/confessions-community-college-dean/2026/07/13/employer-needs-and-student,Inside Higher Ed,Employer Needs and Student Preferences,2026-07-13,"<span>Employer Needs and Student Preferences</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2023-04/Blog-Logo-Confessions%20of%20a%20Community%20College%20Dean.png"" width=""650"" height=""432"" alt=""Logo of Confessions of a Community College Dean"">

</div>
      
<span><span>Sara Brady</span></span>

<span><time datetime=""2026-07-13T03:00",filtered_out,no_include_keyword
c5829b2cdf2a846b,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/news/global/international-students-us/2026/07/13/5-takeaways-international-education-survey,Inside Higher Ed,5 Takeaways From New Data on International Student Enrollment,2026-07-13,"<span>5 Takeaways From New Data on International Student Enrollment</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2025-07/International_Student_Decline.jpg"" width=""1200"" height=""800"" alt=""An arrow points down over a map of the world merged with a diverse group of students."">

</div>
      
<span><span>Johanna Alonso</span></span>

<s",filtered_out,no_include_keyword
c3e11c4f8fbc56d7,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/news/student-success/academic-life/2026/07/13/can-mandatory-support-keep-students-enrolled,Inside Higher Ed,Can Mandatory Support Keep Students Enrolled?,2026-07-13,"<span>Can Mandatory Support Keep Students Enrolled?</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2026-07/IMG_2586%20%281%29.jpeg"" width=""640"" height=""480"" alt=""John DeVault, associate vice president of student success at Ferrum College, joins students in the STAR program during an impromptu gathering celebrating those who achieved p",filtered_out,no_include_keyword
00734fd4e196c3c8,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/news/governance/executive-leadership/2026/07/13/ursuline-fights-expulsion-athletic-conf-after,Inside Higher Ed,Ursuline Fights Expulsion From Athletic Conference After Merger,2026-07-13,"<span>Ursuline Fights Expulsion From Athletic Conference After Merger</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2026-07/Ursuline_Basketball.jpg"" width=""900"" height=""602"" alt=""Women's basketball team poses for a group shot"">

</div>
      
<span><span>kathryn.palmer…</span></span>

<span><time datetime=""2026-07-13T03:00:00-04:00"" ",filtered_out,no_include_keyword
a3282c2ddd816565,2026-07-13,trade_feed,inside_higher_ed,https://www.insidehighered.com/news/quick-takes/2026/07/13/bakersfield-settles-professor-suing-over-dei-principles,Inside Higher Ed,Bakersfield College Settles With Professor Suing Over DEI Principles,2026-07-13,"<span>Bakersfield College Settles With Professor Suing Over DEI Principles</span>

            <div class=""field field--name-field-featured-image field--type-entity-reference field--label-hidden field__item"">  <img loading=""lazy"" src=""https://www.insidehighered.com/sites/default/files/2023-10/DaymonJohnson23%20%28002%29_edit.jpg"" width=""674"" height=""451"" alt=""Daymon Johnson, a light-skinned man with dark hair wearing sunglasses and a long-sleeved green button-down shirt, sits on a bench looking ",filtered_out,no_include_keyword
