norm_name,state_full,unitid_candidate,fallback_tracker_institution_name
texas a and m university,Texas,228723,Texas A&M University-College Station
university of texas hsch,Texas,229300,The University of Texas Health Science Center at Houston
university of texas health science center at houston,Texas,229300,The University of Texas Health Science Center at Houston
columbia university,New York,190150,Columbia University in the City of New York
indiana university,Indiana,151351,Indiana University-Bloomington
rutgers university,New Jersey,186380,Rutgers University-New Brunswick
johnson and wales university,Rhode Island,217235,Johnson & Wales University-Providence
california polytechnic saint university,California,110422,California Polytechnic State University-San Luis Obispo
california polytechnic state university,California,110422,California Polytechnic State University-San Luis Obispo
washington state university,Washington,236939,Washington State University
vanderbilt university,Tennessee,221999,Vanderbilt University
university of minnesota,Minnesota,174066,University of Minnesota-Twin Cities
university of oklahoma,Oklahoma,207500,University of Oklahoma-Norman Campus
