institution_name_api,unitid,state_full,tracker_institution_name,match_source
Purdue University,243780,Indiana,Purdue University,supabase
St. Catherine University,175005,Minnesota,St. Catherine University,supabase
St. Cloud State University,174783,Minnesota,St. Cloud State University,supabase
St. Norbert College,239716,Wisconsin,St. Norbert College,supabase
University of Akron,200800,Ohio,University of Akron,supabase
"University of California, Los Angeles",110662,California,"University of California, Los Angeles",supabase
"University of California, Santa Cruz",110714,California,"University of California, Santa Cruz",supabase
University of Arizona,104179,Arizona,University of Arizona,supabase
Sonoma State University,123572,California,Sonoma State University,supabase
Buffalo State University,196130,New York,Buffalo State University,supabase
University of Minnesota,174066,Minnesota,University of Minnesota,supabase
University of Minnesota System,174066,Minnesota,University of Minnesota System,supabase
University of New Hampshire,183044,New Hampshire,University of New Hampshire,supabase
University of Southern California,123961,California,University of Southern California,supabase
Indiana University Bloomington,151351,Indiana,Indiana University Bloomington,supabase
Johnson & Wales University,217235,Rhode Island,Johnson & Wales University,supabase
Kent State University,203517,Ohio,Kent State University,supabase
California Polytechnic State University,110422,California,California Polytechnic State University,supabase
University of Wisconsin,240453,Wisconsin,University of Wisconsin,supabase
Pennsylvania State University,214777,Pennsylvania,Pennsylvania State University,supabase
Texas A&M University,483036,Texas,Texas A&M University,supabase
Vanderbilt University Medical Center,221999,Tennessee,Vanderbilt University Medical Center,supabase
American University,131159,District of Columbia,American University,supabase
Jacksonville University,134945,Florida,Jacksonville University,supabase
Columbia College Chicago,144281,Illinois,Columbia College Chicago,supabase
Western Illinois University,149772,Illinois,Western Illinois University,supabase
Ball State University,150136,Indiana,Ball State University,supabase
Ivy Tech Community College,150987,Indiana,Ivy Tech Community College,supabase
Valparaiso University,152600,Indiana,Valparaiso University,supabase
Drake University,153269,Iowa,Drake University,supabase
Johns Hopkins University,162928,Maryland,Johns Hopkins University,supabase
Boston University,164988,Massachusetts,Boston University,supabase
Clark University,165334,Massachusetts,Clark University,supabase
Eastern Nazarene College,165644,Massachusetts,Eastern Nazarene College,supabase
Emerson College,165662,Massachusetts,Emerson College,supabase
Bard College at Simon's Rock,167792,Massachusetts,Bard College at Simon's Rock,supabase
Concordia University Ann Arbor,169363,Michigan,Concordia University Ann Arbor,supabase
Siena Heights University,172264,Michigan,Siena Heights University,supabase
