api_name,state_full,unitid,in_canonical,notes
University of Illinois UC,Illinois,145637,true,Univ. of Illinois Urbana-Champaign — API short name
University of Oklahoma,Oklahoma,207500,true,Univ. of Oklahoma-Norman Campus (main campus)
Rutgers University,New Jersey,186380,true,Rutgers Univ.-New Brunswick (main campus)
Indiana University,Indiana,151351,true,Indiana Univ.-Bloomington (main campus)
University of Wisconsin-Platteville Baraboo Sauk County,Wisconsin,240462,true,Univ. of Wisconsin-Platteville (main campus); branch-campus entry
University of Texas HSCH,Texas,229300,true,UT Health Science Center at Houston — API abbreviation
Johnson University Florida,Florida,132879,false,Johnson Univ. Florida campus; parent unitid in canonical
Birmingham-Southern College,Alabama,100937,false,Closed May 2023
Hodges University,Florida,367884,false,Closed 2023
Cabrini University,Pennsylvania,211352,false,Closed May 2024
Goddard College,Vermont,230889,false,Suspended/closed 2023-24
Wells College,New York,197230,false,Closed December 2024
Notre Dame College,Ohio,204468,false,Closed May 2024
Delaware College of Art and Design,Delaware,432524,false,Closed 2020
The King's College,New York,454184,false,Closed August 2023
Sullivan University,Kentucky,157793,false,Primarily associate/certificate programs
Magdalen College of the Liberal Arts,New Hampshire,182917,false,Very small liberal-arts college
Bacone College,Oklahoma,206817,false,Tribal college; 2-year and 4-year programs
Pittsburgh Technical College,Pennsylvania,215415,false,Technical/for-profit college
University of Saint Katherine,California,488785,false,Small Catholic institution
Oak Point University,Illinois,149763,false,Health-sciences institution (BSN/MSN)
