event_year,event_date,classification,record_kind,school_name_source,institution_name_ipeds,unitid,unitid_match_method,opeid8,opeid6,state,sector,institutional_category,tracker_category,student_headcount,student_headcount_year,ipeds_first_seen_year,ipeds_last_seen_year,ipeds_last_act,ipeds_last_closedat,institution_status,is_active,source_group,source_file,source_section,event_label,source_title,source_url,classification_basis,sch_type,closed_count,pgm_length,notes
2017,01/01/17,branch_campus,closure,Clemson University - Lander University,Clemson University,217882,opeid6,00342510,3425,South Carolina,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",24758,2017,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2021,05/14/21,branch_campus,closure,"Valdosta State University - Camden Center - Kingsland, GA",Valdosta State University,141264,opeid6,00159903,1599,Georgia,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",14548,2021,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2021,07/31/21,branch_campus,closure,Valdosta State University - Moody Air Force Base,Valdosta State University,141264,opeid6,00159904,1599,Georgia,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",14548,2021,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2021,12/14/21,branch_campus,closure,Hood College - Montgomery County Public Schools,Hood College,162760,opeid6,00207602,2076,Maryland,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",2341,2021,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2022,02/24/22,branch_campus,closure,University of Saint Joseph - Middletown Campus,University of Saint Joseph,130314,opeid6,00140901,1409,Connecticut,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",2502,2022,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2023,01/10/23,branch_campus,closure,Onondaga Community College - Community Health,Onondaga Community College,194222,opeid6,00287502,2875,NY,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,10038,2022,2008,2024,A,-2,,A,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2023,10/13/23,branch_campus,closure,Ponce Health Sciences University - EAST,Ponce Health Sciences University-East,494807,opeid8,02482403,24824,PR,Private for-profit,4-year or above,4-year or above,669,2022,2019,2024,A,-2,,A,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2023,12/18/23,branch_campus,closure,Hannibal - LaGrange University - Three Rivers Community College,Hannibal-LaGrange University,177542,opeid6,00908910,9089,Missouri,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",598,2023,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2023,12/31/23,branch_campus,closure,Southwest Texas College - Reuben M Torres Prison,Southwest Texas Junior College,228316,opeid6,00361411,3614,TX,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,7511,2022,2008,2024,A,-2,,A,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,05/31/24,branch_campus,closure,University of North Georgia - Cumming City Hall,University of North Georgia,482680,opeid6,00158505,1585,Georgia,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",21448,2024,2013,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
