opeid6,institution_name,state,closure_year,sample_type,broad_sector,level,ever_broad_sectors,overall_level,metrics_year_two_years_prior,student_headcount_two_years_prior,student_fte_two_years_prior,staff_headcount_two_years_prior,staff_fte_two_years_prior,matched_headcount_year,matched_student_headcount,last_seen_year,last_seen_acts,last_seen_newids,source_note,closure_rule,headcount_note,metrics_note
030808,Academy (The),FL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
031303,Academy of Radio Broadcasting (The),CA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
030038,Anderson County Beauty College,TX,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
033543,Beta Training Services,PA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
026190,Boardwalk & Marina Casino Dealer School of Atlantic City,NJ,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
025585,Boca Raton Institute,FL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
025155,California Business Institute,CA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
022048,Caribbean Beauty & Technical Institute,PR,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
025948,Caribbean Beauty & Technical Institute,PR,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
009455,Coiffure School of Cosmetology Arts and Sciences,IL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023193,Computer Learning Center,PA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023194,Computer Learning Center,MA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023200,Computer Learning Center,NJ,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
030630,Computer Learning Center,PA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
009572,Computer Learning Center of Alexandria,VA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
030642,Computer Learning Center of Anaheim,CA,2001,Unknown,Unknown,Unknown,For-profit,2-year,1999,,,,,,,2003,Q,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
009591,"Computer Learning Centers, Inc. Los Angeles",CA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023220,"Computer Learning Centers, Inc. San Francisco",CA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023190,"Computer Learning Centers,Inc. Chicago",IL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2000,M,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
021344,Connecticut Institute of Art,CT,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
009432,ESS College Of Business,TX,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
012603,Empire Beauty School,PA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
034454,Expert Solutions Technical College,TX,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
010246,Fleet Business School,MD,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
031484,Gem State College,ID,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
026018,Hialeah Technical Institute,FL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
021438,Huntington Institute,CT,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
022698,International Beauty School,MD,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,C,157942,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
025525,Kenneth Shuler School of Cosmetology & Hair Design,SC,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
007366,Lincoln Technical Institute,NJ,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2002,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
023619,Lincoln Technical Institute,IL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,C,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
009809,Mansfield General Hospital School of Nursing,OH,2001,Nonprofit 2-year,Nonprofit,2-year,Nonprofit,2-year,1999,,,,,,,2000,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
025263,Marshall College Of Beauty,TX,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
022965,Masters Institute,CA,2001,For-profit 4-year,For-profit,4-year,For-profit,4-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
021547,Miami Technical Institute,FL,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
014591,Montefiore Medical Center School of Radiology Therapy Technology,NY,2001,Nonprofit 2-year,Nonprofit,2-year,Nonprofit,2-year,1999,,,,,,,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
030245,Nationwide Beauty College,CA,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
031197,Nevada Institute of Technology,NV,2001,For-profit 2-year,For-profit,2-year,For-profit,2-year,1999,,,,,,,2001,D,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date,No matched EFFY headcount available.,No matched student/staff metrics available two years before closure.
