opeid6,institution_name,state,closure_year,sample_type,broad_sector,level,ever_broad_sectors,overall_level,last_seen_year,last_seen_acts,last_seen_newids,source_note,closure_rule
006640,Columbia Hospital School of Nursing,WI,1986,Nonprofit 4-year,Nonprofit,4-year,Nonprofit,4-year,1999,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
003232,Alliance College,PA,1987,For-profit 2-year,For-profit,2-year,For-profit,2-year,2010,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
004283,Grantham College of Engineering,CA,1990,For-profit 4-year,For-profit,4-year,For-profit,4-year,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
021382,Hendrick Memorial Hospital School Radiologic Technology,TX,1990,Nonprofit 2-year,Nonprofit,2-year,Nonprofit,2-year,2002,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
020579,Hollywood Institute of Beauty Careers,FL,1990,For-profit 2-year,For-profit,2-year,For-profit,2-year,2010,R,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
012157,Midwest Beauty College,OK,1990,For-profit 2-year,For-profit,2-year,For-profit,2-year,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
021461,Chauffeurs Training School,NY,1991,For-profit 2-year,For-profit,2-year,For-profit,2-year,2002,N,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
001408,Saint Basil College,CT,1991,Nonprofit 4-year,Nonprofit,4-year,Nonprofit,4-year,2010,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
001248,Northrop University,CA,1992,For-profit 2-year,For-profit,2-year,For-profit,2-year,2010,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
011512,State College of Beauty,MI,1993,For-profit 2-year,For-profit,2-year,For-profit,2-year,1997,,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
025417,Coastal College,LA,1994,Nonprofit 2-year,Nonprofit,2-year,Nonprofit,2-year,2001,A,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
011740,Peninsula Hospital Center School of Radiologic Tech,NY,1994,Nonprofit 2-year,Nonprofit,2-year,Nonprofit,2-year,1997,,,Federal schfile rectype-01 main-campus 00 close date proxy.,schfile_main00_close_date
