opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
000105,UNIVERSITY OF ALABAMA SYSTEM OFFICE,University of Alabama System Office,AL,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000106,UNIVERSITY OF ALASKA SYSTEM OF HIGHER EDUCATION,University of Alaska System of Higher Education,AK,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000108,ARIZONA STATE UNIVERSITY-EAST,Arizona Board of Regents,AZ,1996,2010,2011,1; 2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000110,UNIVERSITY OF ARKANSAS SYSTEM OFFICE,University of Arkansas System Office,AR,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000112,NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,CA,1996,1999,2000,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000116,CHAPMAN UNIVERSITY-ACADEMIC CENTERS,"Brandman University, Part of the Chapman University System",CA,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000118,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT OFFICE,San Mateo County Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000119,CONTRA COSTA COMMUNITY COLLEGE DISTRICT OFFICE,Contra Costa Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000120,GOLDEN GATE UNIVERSITY-MONTEREY,Grossmont-Cuyamaca Community College District,CA,1996,2010,2011,2; 3,yes,no,Public,2-year; 4-year,Public 2-year,other_exit,A,,
000123,LOS RIOS COMMUNITY COLLEGE DISTRICT OFFICE,Los Rios Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000124,YOSEMITE COMMUNITY COLLEGE DISTRICT OFFICE,Yosemite Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000127,SAN BERNARDINO COMMUNITY COLLEGE DISTRICT,San Bernardino Community College District,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000133,VENTURA COUNTY COMMUNITY COLLEGE SYSTEM OFFICE,West Valley Mission Community College District Office,CA,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000157,GEORGIA MILITARY COLLEGE-FT BENNING CENTER,GEORGIA MILITARY COLLEGE-FT BENNING CENTER,GA,1996,2001,2002,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000161,UNIVERSITY OF HAWAII SYSTEM OFFICE,University of Hawaii System Office,HI,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000175,SOUTHERN ILLINOIS UNIVERSITY-SYSTEMS OFFICE,Southern Illinois University-Systems Office,IL,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000199,UNIVERSITY OF KENTUCKY-COMMUNITY COLLEGE SYST OFF,Kentucky Community and Technical College System,KY,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000201,LOUISIANA STATE UNIVERSITY-SYSTEM OFFICE,Louisiana State University-System Office,LA,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000202,SOUTHERN UNIVERSITY-BOARD AND SYSTEM,Southern University-Board and System,LA,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000210,UMBC DIAGNOSTIC MEDICAL SONOGRAPHY PROGRAM,University System of Maryland Research Centers,MD,1996,2010,2011,2; 6,yes,yes,Public,4-year,Public 4-year,other_exit,A,,
000217,MASSASOIT COMMUNITY COLLEGE,MASSASOIT COMMUNITY COLLEGE,MA,1996,1997,1998,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000226,GRAND RAPIDS BAPTIST SEMINARY,GRAND RAPIDS BAPTIST SEMINARY,MI,1996,1999,2000,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000240,STATE BOARD FOR COMMUNITY AND JUNIOR COLLEGES,State Board for Community and Junior Colleges,MS,1996,2010,2011,1; 2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000243,PEARL RIVER COMMUNITY COLLEGE-FORREST COUNTY CTR,PEARL RIVER COMMUNITY COLLEGE-FORREST COUNTY CTR,MS,1996,1996,1997,,no,no,Public,2-year,Public 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000244,BOARD OF TRUSTEES-STATE INSTS OF HIGHER LEARNING,Board of Trustees-Mississippi State Institutions of Higher Learning,MS,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000248,METROPOLITAN COMMUNITY COLLEGES ADMIN SYSTEM OFF,Metropolitan Community College-Kansas City,MO,1996,2010,2011,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000253,MONTANA UNIVERSITY SYSTEM-SYSTEM OFFICE,Montana University System-System Office,MT,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,apparent_main_campus_closure,D,,
000255,MID PLAINS COMMUNITY COLLEGE AREA OFFICE,MID PLAINS COMMUNITY COLLEGE AREA OFFICE,NE,1996,1998,1999,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000256,UNIVERSITY AND COMMUNITY COLLEGE SYS OF NV-SYS OFF,Nevada System of Higher Education-System Office,NV,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000258,UNIVERSITY SYSTEM OF NEW HAMPSHIRE SYSTEM OFFICE,University System of New Hampshire System Office,NH,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000265,EASTERN NEW MEXICO UNIVERSITY-CENTRAL OFFICE,EASTERN NEW MEXICO UNIVERSITY-RUIDOSO,NM,1996,2001,2002,2,yes,no,Public,2-year; 4-year,Public 2-year,other_exit,A,,
000266,UNIVERSITY OF NEW MEXICO-TAOS EDUCATION CENTER,ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1996,2003,2004,2,yes,no,Public,2-year; 4-year,Public 4-year,likely_combination_or_successor,C,188641,
000269,CUNY SCHOOL OF LAW AT QUEENS COLLEGE,CUNY SCHOOL OF LAW AT QUEENS COLLEGE,NY,1996,1996,1997,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000271,CORNELL UNIVERSITY-ENDOWED COLLEGES,CORNELL UNIVERSITY-NY STATE STATUTORY COLLEGES,NY,1996,2003,2004,2,yes,no,Nonprofit; Public,4-year,Public 4-year,likely_combination_or_successor,C,190415,
000275,LONG ISLAND UNIVERSITY-CENTRAL OFFICE,Long Island University-University Center Campus,NY,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000277,MERCY COLLEGE-WHITE PLAINS BRANCH CAMPUS,MERCY COLLEGE-WHITE PLAINS BRANCH CAMPUS,NY,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000279,PACE UNIVERSITY-CENTRAL OFFICE,PACE UNIVERSITY-CENTRAL OFFICE,NY,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000282,SAINT JOSEPHS COLLEGE-CENTRAL OFFICE,Saint Josephs College-Central Office,NY,1996,2005,2006,1; 2,yes,no,Nonprofit,4-year,Nonprofit 4-year,apparent_main_campus_closure,D,,
000283,SUNY-SYSTEM OFFICE,SUNY-SPECIAL F UNIT,NY,1996,2003,2004,2,yes,no,Public,4-year,Public 4-year,apparent_main_campus_closure,D,,
000286,ERIE COMMUNITY COLLEGE-CENTRAL REPORT,ERIE COMMUNITY COLLEGE-CENTRAL REPORT,NY,1996,2000,2001,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000287,SUFFOLK COUNTY COMMUNITY COLLEGE-CENTRAL REPORT,SUFFOLK COUNTY COMMUNITY COLLEGE-CENTRAL REPORT,NY,1996,2000,2001,2,yes,no,Public,2-year,Public 2-year,other_exit,A,,
000294,MOUNT OLIVE COLLEGE-NEW BERN CENTER,MOUNT OLIVE COLLEGE-NEW BERN CENTER,NC,1996,1996,1997,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000297,UNIVERSITY OF NORTH CAROLINA GENERAL ADMIN OFF,University of North Carolina System Office,NC,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000301,BOWLING GREEN STATE UNIVERSITY-FIRELANDS,Antioch University-System Administration,OH,1996,2010,2011,1,yes,no,Nonprofit; Public,4-year,Nonprofit 4-year,other_exit,A,,
000302,CAPITAL UNIVERSITY-CLEVELAND CENTER,CAPITAL UNIVERSITY-CLEVELAND CENTER,OH,1996,1997,1998,,no,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000312,UNIVERSITY OF AKRON-WAYNE COLLEGE,UNIVERSITY OF AKRON-WAYNE COLLEGE,OH,1996,1997,1998,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000321,OREGON STATE SYSTEM OF EDUCATION,Oregon University System,OR,1996,2010,2011,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
000332,PENNSYLVANIA STATE SYSTEM OF HIGHER ED-CENTRAL OFF,PENNSYLVANIA STATE UNIVERSITY-CENTRAL OFFICE,PA,1996,1997,1998,,no,no,Public,4-year,Public 4-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
000336,SAINT VINCENT SEMINARY,Saint Vincent Seminary,PA,1996,2010,2011,2,yes,no,Nonprofit,4-year,Nonprofit 4-year,other_exit,A,,
000337,UNIVERSITY OF PITTSBURGH-CENTRAL OFFICE,PENNSYLVANIA STATE SYSTEM OF HIGHER ED-CENTRAL OFF,PA,1996,2002,2003,2,yes,no,Public,4-year,Public 4-year,other_exit,A,,
