year,all_opeid_exits,main_campus_closures,likely_combinations_or_successors,coverage_note
1996,0,4,0,Closure-status fields are incomplete in recovered 1996-1997 IPEDS files.
1997,0,56,0,Closure-status fields are incomplete in recovered 1996-1997 IPEDS files.
1998,156,80,0,Closure-status fields are incomplete in recovered 1996-1997 IPEDS files.
1999,178,73,1,
2000,90,62,0,
2001,82,58,0,
2002,360,62,7,
2003,246,33,14,
2004,106,33,9,
2005,72,30,5,
2006,88,39,3,
2007,83,57,4,
2008,118,42,0,
2009,68,36,0,
2010,111,23,4,
2011,188,35,2,
2012,78,40,1,
2013,179,52,1,
2014,118,69,7,
2015,94,87,2,
2016,163,155,10,
2017,196,99,5,
2018,188,132,5,
2019,145,85,8,
2020,124,64,4,
2021,78,58,13,
2022,95,52,2,
2023,124,47,3,
2024,66,70,0,
2025,0,49,0,IPEDS panel exits stop after 2024 because newer IPEDS directory files are not yet available locally.
2026,0,3,0,IPEDS panel exits stop after 2024 because newer IPEDS directory files are not yet available locally.
