year,sample_type,main_campus_closures,coverage_note
1996,Public 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1996,Public 2-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1996,For-profit 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1996,For-profit 2-year,2,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1996,Nonprofit 4-year,1,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1996,Nonprofit 2-year,1,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,Public 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,Public 2-year,1,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,For-profit 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,For-profit 2-year,45,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,Nonprofit 4-year,4,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1997,Nonprofit 2-year,6,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,Public 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,Public 2-year,3,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,For-profit 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,For-profit 2-year,58,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,Nonprofit 4-year,3,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1998,Nonprofit 2-year,16,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
1999,Public 4-year,0,
1999,Public 2-year,3,
1999,For-profit 4-year,0,
1999,For-profit 2-year,52,
1999,Nonprofit 4-year,4,
1999,Nonprofit 2-year,14,
2000,Public 4-year,0,
2000,Public 2-year,1,
2000,For-profit 4-year,0,
2000,For-profit 2-year,49,
2000,Nonprofit 4-year,1,
2000,Nonprofit 2-year,11,
2001,Public 4-year,0,
2001,Public 2-year,2,
2001,For-profit 4-year,2,
2001,For-profit 2-year,49,
2001,Nonprofit 4-year,1,
2001,Nonprofit 2-year,4,
2002,Public 4-year,0,
2002,Public 2-year,3,
2002,For-profit 4-year,2,
2002,For-profit 2-year,48,
2002,Nonprofit 4-year,4,
2002,Nonprofit 2-year,8,
2003,Public 4-year,0,
2003,Public 2-year,1,
2003,For-profit 4-year,0,
2003,For-profit 2-year,25,
2003,Nonprofit 4-year,4,
2003,Nonprofit 2-year,3,
2004,Public 4-year,0,
2004,Public 2-year,2,
2004,For-profit 4-year,1,
2004,For-profit 2-year,25,
2004,Nonprofit 4-year,2,
2004,Nonprofit 2-year,9,
2005,Public 4-year,1,
2005,Public 2-year,3,
2005,For-profit 4-year,0,
2005,For-profit 2-year,22,
2005,Nonprofit 4-year,3,
2005,Nonprofit 2-year,4,
2006,Public 4-year,0,
2006,Public 2-year,0,
2006,For-profit 4-year,6,
2006,For-profit 2-year,21,
2006,Nonprofit 4-year,6,
2006,Nonprofit 2-year,7,
2007,Public 4-year,0,
2007,Public 2-year,3,
2007,For-profit 4-year,2,
2007,For-profit 2-year,40,
2007,Nonprofit 4-year,5,
2007,Nonprofit 2-year,8,
2008,Public 4-year,0,
2008,Public 2-year,1,
2008,For-profit 4-year,1,
2008,For-profit 2-year,34,
2008,Nonprofit 4-year,3,
2008,Nonprofit 2-year,2,
2009,Public 4-year,0,
2009,Public 2-year,2,
2009,For-profit 4-year,0,
2009,For-profit 2-year,26,
2009,Nonprofit 4-year,5,
2009,Nonprofit 2-year,4,
2010,Public 4-year,0,
2010,Public 2-year,2,
2010,For-profit 4-year,2,
2010,For-profit 2-year,13,
2010,Nonprofit 4-year,4,
2010,Nonprofit 2-year,4,
2011,Public 4-year,0,
2011,Public 2-year,1,
2011,For-profit 4-year,1,
2011,For-profit 2-year,24,
2011,Nonprofit 4-year,4,
2011,Nonprofit 2-year,5,
2012,Public 4-year,0,
2012,Public 2-year,1,
2012,For-profit 4-year,1,
2012,For-profit 2-year,33,
2012,Nonprofit 4-year,2,
2012,Nonprofit 2-year,4,
2013,Public 4-year,0,
2013,Public 2-year,1,
2013,For-profit 4-year,2,
2013,For-profit 2-year,40,
2013,Nonprofit 4-year,6,
2013,Nonprofit 2-year,6,
2014,Public 4-year,0,
2014,Public 2-year,3,
2014,For-profit 4-year,4,
2014,For-profit 2-year,47,
2014,Nonprofit 4-year,8,
2014,Nonprofit 2-year,10,
2015,Public 4-year,2,
2015,Public 2-year,1,
2015,For-profit 4-year,12,
2015,For-profit 2-year,63,
2015,Nonprofit 4-year,8,
2015,Nonprofit 2-year,7,
2016,Public 4-year,0,
2016,Public 2-year,4,
2016,For-profit 4-year,21,
2016,For-profit 2-year,116,
2016,Nonprofit 4-year,12,
2016,Nonprofit 2-year,11,
2017,Public 4-year,0,
2017,Public 2-year,1,
2017,For-profit 4-year,13,
2017,For-profit 2-year,74,
2017,Nonprofit 4-year,8,
2017,Nonprofit 2-year,7,
2018,Public 4-year,0,
2018,Public 2-year,1,
2018,For-profit 4-year,28,
2018,For-profit 2-year,89,
2018,Nonprofit 4-year,14,
2018,Nonprofit 2-year,12,
2019,Public 4-year,0,
2019,Public 2-year,1,
2019,For-profit 4-year,8,
2019,For-profit 2-year,63,
2019,Nonprofit 4-year,13,
2019,Nonprofit 2-year,5,
2020,Public 4-year,0,
2020,Public 2-year,2,
2020,For-profit 4-year,6,
2020,For-profit 2-year,44,
2020,Nonprofit 4-year,13,
2020,Nonprofit 2-year,1,
2021,Public 4-year,0,
2021,Public 2-year,0,
2021,For-profit 4-year,9,
2021,For-profit 2-year,41,
2021,Nonprofit 4-year,8,
2021,Nonprofit 2-year,3,
2022,Public 4-year,0,
2022,Public 2-year,2,
2022,For-profit 4-year,4,
2022,For-profit 2-year,34,
2022,Nonprofit 4-year,10,
2022,Nonprofit 2-year,2,
2023,Public 4-year,0,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2023,Public 2-year,1,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2023,For-profit 4-year,11,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2023,For-profit 2-year,19,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2023,Nonprofit 4-year,16,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2023,Nonprofit 2-year,2,"1996-1998 are less reliable, and 2023 may exceed the paper because the current schfile can include later backfilled 2023 closures."
2024,Public 4-year,0,
2024,Public 2-year,3,
2024,For-profit 4-year,10,
2024,For-profit 2-year,39,
2024,Nonprofit 4-year,20,
2024,Nonprofit 2-year,2,
2025,Public 4-year,0,
2025,Public 2-year,3,
2025,For-profit 4-year,4,
2025,For-profit 2-year,29,
2025,Nonprofit 4-year,9,
2025,Nonprofit 2-year,4,
2026,Public 4-year,0,
2026,Public 2-year,0,
2026,For-profit 4-year,0,
2026,For-profit 2-year,3,
2026,Nonprofit 4-year,0,
2026,Nonprofit 2-year,0,
