year,universe,closures,coverage_note
1996,6080,4,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
1997,6392,56,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
1998,6302,80,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
1999,6143,73,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2000,6197,62,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2001,6268,58,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2002,5973,62,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2003,5776,33,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2004,5762,33,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2005,5829,30,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2006,5847,39,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2007,5837,57,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2008,5801,42,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2009,5874,36,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2010,5956,23,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2011,5961,35,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2012,5987,40,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2013,5894,52,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2014,5874,69,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2015,5868,87,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2016,5786,155,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2017,5658,99,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2018,5547,132,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2019,5471,85,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2020,5392,64,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2021,5345,58,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2022,5283,52,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2023,5189,47,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2024,5124,70,Universe comes from the selected OPEID6 IPEDS panel. Closures come from the current federal schfile main-campus close-date signal.
2025,,49,"Closures are extended from the current federal schfile, but comparable IPEDS universe counts are not yet available locally."
2026,,3,"Closures are extended from the current federal schfile, but comparable IPEDS universe counts are not yet available locally."
