unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
112233,CITY UNIVERSITY-LOS ANGELES,CA,Los Angeles,2004,2004,2005,2004-05,no,D,09/02/04,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,-2,,,apparent_closure,IPEDS ACT=D marks the institution out of business/delete; treated here as an apparent closure unless there is a successor.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
372505,COOPER CAREER INSTITUTE,FL,WEST PALM BEACH,2004,2004,2005,2004-05,no,D,06/04,-2,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,03032700,,,apparent_closure,IPEDS ACT=D marks the institution out of business/delete; treated here as an apparent closure unless there is a successor.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
440192,CORONA INSTITUTE AND UNIVERSITY INC,AL,Montogmery,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-1,-2,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
113245,D-Q UNIVERSITY,CA,DAVIS,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Private not-for-profit, at least 2 but less than 4 years",Private not-for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,4,01022900,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
413875,ITT TECHNICAL INSTITUTE,CA,HAYWARD,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,3,02120901,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
414832,ITT TECHNICAL INSTITUTE,CA,SANTA CLARA,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,4,02321901,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
219134,SI TANKA UNIVERSITY-HURON CAMPUS,SD,HURON,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,2,03019201,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
133261,SUMMIT INSTITUTE,FL,WEST PALM BEACH,2004,2004,2005,2004-05,no,D,06/03/04,-2,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02614600,,,apparent_closure,IPEDS ACT=D marks the institution out of business/delete; treated here as an apparent closure unless there is a successor.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
172778,WILLIAM TYNDALE COLLEGE,MI,FARMINGTON HILLS,2004,2004,2005,2004-05,no,M,-2,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,2,00225200,,,apparent_closure,IPEDS ACT=M marks the institution as closed during the current year; treated here as an apparent closure.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
143163,Barat College,IL,Lake Forest,2004,2005,2006,2005-06,no,D,06/15/2005,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00163500,,,apparent_closure,IPEDS ACT=D marks the institution out of business/delete; treated here as an apparent closure unless there is a successor.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
