unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
441265,ADVANCED COLLEGE OF TECHNOLOGY,CA,SAN DIEGO,2004,2004,2005,2004-05,no,C,-2,112516,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,-2,03532300,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
375009,FEGS TRADES AND BUSINESS SCHOOL,NY,NEW YORK,2004,2004,2005,2004-05,no,C,-2,191153,no,"Private not-for-profit, less than 2 years",Private not-for-profit,Less than 2 years,Less than 2 years,,-2,02332300,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
101347,GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,AL,ANNISTON,2004,2004,2005,2004-05,no,C,2004,101240,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00101706,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
101523,H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTERSON CAMPUS,AL,MONTGOMERY,2004,2004,2005,2004-05,no,C,-2,102313,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00573401,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
238883,INSTITUTE OF PAPER SCIENCE AND TECHNOLOGY,GA,ATLANTA,2004,2004,2005,2004-05,no,C,-2,139755,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,001569A1,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
116235,INTERNATIONAL AIR ACADEMY,CA,ONTARIO,2004,2004,2005,2004-05,no,C,01/01/04,235501,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,-2,02222903,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
101107,LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMPUS,AL,OPP,2004,2004,2005,2004-05,no,C,-2,101602,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00898802,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
140438,MERCER UNIVERSITY IN ATLANTA,GA,ATLANTA,2004,2004,2005,2004-05,no,C,-2,140447,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00158001,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
144838,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,IL,North Chicago,2004,2004,2005,2004-05,no,C,-2,145558,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00169000,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
163116,SCHOOL OF ART AND DESIGN AT MONTGOMERY COLLEGE,MD,SILVER SPRING,2004,2004,2005,2004-05,no,M,-2,163426,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,4,006911A1,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
107886,SOUTHERN INSTITUTE OF COSMETOLOGY,TN,Memphis,2004,2004,2005,2004-05,no,C,-2,139506,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,-2,02339800,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
445036,WESTWOOD COLLEGE OF TECHNOLOGY-CHICAGO LOOP,IL,Chicago,2004,2004,2005,2004-05,no,W,-2,443687,no,Sector unknown,,,,,-2,007548A1,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
445975,Academy of the New Church,PA,Bryn Athyn,2005,2005,2006,2005-06,no,W,-2,210492,no,Sector unknown,,,,,-2,00322800,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
428347,American Institute of Medical-Dental Technology,UT,St George,2004,2005,2006,2005-06,no,C,-2,229957,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,-2,02270801,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
188924,Arnot-Ogden Medical Center-School of Radiologic Technology,NY,Elmira,2004,2005,2006,2005-06,no,C,-2,188915,no,"Private not-for-profit, at least 2 but less than 4 years",Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,-2,00643502,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
442277,Christ College of Florida,FL,Fellsmere,2004,2005,2006,2005-06,no,C,-2,442259,no,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,4-year or above,,-2,-2,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
407975,College of Micronesia-FSM Campus-Chuuk,FM,Chuuk,2004,2005,2006,2005-06,no,C,-2,243638,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01034302,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
407984,College of Micronesia-FSM Campus-Kosrae,FM,Kosrae,2004,2005,2006,2005-06,no,C,-2,243638,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01034304,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
408002,College of Micronesia-FSM Campus-Yap,FM,Yap,2004,2005,2006,2005-06,no,C,-2,243638,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01034301,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
146524,Danville Area Community College-Radiation Technology Program,IL,Danville,2004,2005,2006,2005-06,no,C,-2,144564,no,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,At least 2 but less than 4 years,,-2,001669A1,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
212124,Eastern Baptist Theological Seminary,PA,Wynnewood,2004,2005,2006,2005-06,no,C,-2,212133,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00325908,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2005.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
