unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
441265,ADVANCED COLLEGE OF TECHNOLOGY,CA,SAN DIEGO,2004,2004,2005,2004-05,no,C,-2,112516,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,-2,03532300,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
420112,ADVANCED TECHNICAL CENTERS,FL,PEMBROKE PINES,2004,2004,2005,2004-05,no,A,-2,-2,no,"Private not-for-profit, less than 2 years",Private not-for-profit,Less than 2 years,Less than 2 years,,6,02293601,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
443960,AKAMAI UNIVERSITY,HI,Hilo,2004,2004,2005,2004-05,no,A,-2,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-1,-2,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
196635,AMERICAN CENTER FOR CAREER TRAINING,NY,NEW YORK,2004,2004,2005,2004-05,no,A,-2,-2,no,"Private not-for-profit, less than 2 years",Private not-for-profit,Less than 2 years,Less than 2 years,,6,03031000,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
409689,AMERICAN CHRISTIAN COLLEGE AND SEMINARY,OK,OKLAHOMA CITY,2004,2004,2005,2004-05,no,A,-2,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-1,03075800,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
372985,AMERICAN COLLEGE HAWAII,HI,Honolulu,2004,2004,2005,2004-05,no,A,-2,-2,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,6,02359201,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
248031,ASHLAND SCHOOL OF BEAUTY CULTURE,KY,ASHLAND,2004,2004,2005,2004-05,no,D,-2,-2,no,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,-2,00757802,,,other_exit,IPEDS ACT=D marks the institution out of business/delete; treated here as an apparent closure unless there is a successor.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
231402,ATLANTIC UNIVERSITY,VA,VIRGINIA BEACH,2004,2004,2005,2004-05,no,A,-2,-2,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-1,-2,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
189246,BERKELEY COLLEGE,NY,WHITE PLAINS,2004,2004,2005,2004-05,no,A,-2,-2,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,2,00739402,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
425922,BOSTON BARTENDERS SCHOOL OF AMERICA,MA,NORTH DARTMOUTH,2004,2004,2005,2004-05,no,A,-2,-2,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,,6,-2,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
211185,BRADFORD REGIONAL MEDICAL CENTER-SCHOOL OF RADIOGRAPHY,PA,BRADFORD,2004,2004,2005,2004-05,no,A,-2,-2,no,"Private not-for-profit, at least 2 but less than 4 years",Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,6,02126400,,,other_exit,IPEDS does not give a clean closure or combination signal for this exit.,ipeds_annual_directory,HD2004.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
