event_year,event_date,classification,record_kind,school_name_source,institution_name_ipeds,unitid,unitid_match_method,opeid8,opeid6,state,sector,institutional_category,tracker_category,student_headcount,student_headcount_year,ipeds_first_seen_year,ipeds_last_seen_year,ipeds_last_act,ipeds_last_closedat,institution_status,is_active,source_group,source_file,source_section,event_label,source_title,source_url,classification_basis,sch_type,closed_count,pgm_length,notes
2008,04/01/2008,main_campus,closure,Hollywood Beauty College,Hollywood Beauty College,141671,,00777500,7775,HI,Private for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,04/01/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,05/09/2008,main_campus,closure,Scot Lewis Schools-Plymouth,Scot Lewis Schools-Plymouth,175148,,00972200,9722,MN,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,05/09/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,05/19/2008,main_campus,closure,Madison Cosmetology College,Madison Cosmetology College,239725,,01290600,12906,WI,Private for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,05/19/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,06/01/2008,main_campus,closure,Glendale Career College-Oceanside,Glendale Career College-Oceanside,445805,,02338510,23385,CA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,06/01/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,07/31/2008,main_campus,closure,Everest Institute-Atlanta Downtown,Everest Institute-Atlanta Downtown,139898,,02318600,23186,GA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,07/31/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,07/31/2008,main_campus,closure,Weston Jesuit School of Theology,Weston Jesuit School of Theology,168272,,02161300,21613,MA,Private not-for-profit,4-year or above,4-year or above,,2008,2008,2008,D,07/31/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,11/14/2008,main_campus,closure,Gemological Institute of America-Los Angeles,Gemological Institute of America-Los Angeles,443863,,02231902,22319,CA,Private not-for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,11/14/2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,2008,main_campus,closure,Colonial Heights Beauty Academy,Colonial Heights Beauty Academy,377403,,02340000,23400,VA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,2008,main_campus,closure,Ray's Faith Academy of Beauty Education,Ray's Faith Academy of Beauty Education,449621,,03858300,38583,LA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,2008,,D,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories; last status marked the institution closed.,,,,Last annual IPEDS status was ACT=D in HD2008.
2008,,main_campus,closure,Advocate Illinois Masonic School of Radiologic Technology,Advocate Illinois Masonic School of Radiologic Technology,421939,opeid6,,10737,IL,Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,08/31/2008,,D,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,2,4,11,
