event_year,event_date,classification,record_kind,school_name_source,institution_name_ipeds,unitid,unitid_match_method,opeid8,opeid6,state,sector,institutional_category,tracker_category,student_headcount,student_headcount_year,ipeds_first_seen_year,ipeds_last_seen_year,ipeds_last_act,ipeds_last_closedat,institution_status,is_active,source_group,source_file,source_section,event_label,source_title,source_url,classification_basis,sch_type,closed_count,pgm_length,notes
2009,,merger_consolidation,merger_or_consolidation,Alliant International University-System Office,Alliant International University-System Office,110431,,011117A1,11117,CA,Private not-for-profit,4-year or above,4-year or above,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2009,,merger_consolidation,merger_or_consolidation,Marymount College of Fordham University,Marymount College of Fordham University,192855,,00272206,2722,NY,Private not-for-profit,4-year or above,4-year or above,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2009,,merger_consolidation,merger_or_consolidation,Middle Georgia College-Eastman,Middle Georgia College-Eastman,440615,,00158102,1581,GA,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2009,,merger_consolidation,merger_or_consolidation,Orleans Technical Institute-Court Reporting Program,Orleans Technical Institute-Court Reporting Program,249779,,021830A1,21830,PA,Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2009,,merger_consolidation,merger_or_consolidation,Sebring Career Schools,Sebring Career Schools,377236,,02530705,25307,TX,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2009,,merger_consolidation,merger_or_consolidation,The University of Toledo-Health Science Campus,The University of Toledo-Health Science Campus,203951,,00313101,3131,OH,Public,4-year or above,4-year or above,,2008,2008,2008,C,-2,,C,ipeds_annual_directory,HD2008.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2008.
2011,,merger_consolidation,merger_or_consolidation,Acadiana Technical College-Gulf Area Campus,Acadiana Technical College-Gulf Area Campus,159018,,00548813,5488,LA,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,756,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
2011,,merger_consolidation,merger_or_consolidation,Acadiana Technical College-Teche Area Campus,Acadiana Technical College-Teche Area Campus,160694,,00548839,5488,LA,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,1007,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
2011,,merger_consolidation,merger_or_consolidation,Capital Area Technical College-Folkes Campus,Capital Area Technical College-Folkes Campus,158945,,00548812,5488,LA,Public,Less than 2 years,Less than 2 years,1412,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
2011,,merger_consolidation,merger_or_consolidation,Capital Area Technical College-Jumonville Memorial Campus,Capital Area Technical College-Jumonville Memorial Campus,160214,,00548817,5488,LA,Public,Less than 2 years,Less than 2 years,332,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
2011,,merger_consolidation,merger_or_consolidation,Capital Area Technical College-Westside Campus,Capital Area Technical College-Westside Campus,160870,,00548842,5488,LA,Public,Less than 2 years,Less than 2 years,132,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
2011,,merger_consolidation,merger_or_consolidation,Central Louisiana Technical College-Morgan Smith Campus,Central Louisiana Technical College-Morgan Smith Campus,159249,,00548823,5488,LA,Public,Less than 2 years,Less than 2 years,294,2009,2008,2010,C,-2,,C,ipeds_annual_directory,HD2010.zip,Annual HD directory,IPEDS annual status exit,,,IPEDS annual directory status plus disappearance from later directories.,,,,Last annual IPEDS status was ACT=C in HD2010.
