event_year,event_date,classification,record_kind,school_name_source,institution_name_ipeds,unitid,unitid_match_method,opeid8,opeid6,state,sector,institutional_category,tracker_category,student_headcount,student_headcount_year,ipeds_first_seen_year,ipeds_last_seen_year,ipeds_last_act,ipeds_last_closedat,institution_status,is_active,source_group,source_file,source_section,event_label,source_title,source_url,classification_basis,sch_type,closed_count,pgm_length,notes
2008,,main_campus,closure,Advocate Illinois Masonic School of Radiologic Technology,Advocate Illinois Masonic School of Radiologic Technology,421939,opeid6,,10737,IL,Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,08/31/2008,,D,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,2,4,11,
2008,,main_campus,closure,Alexandria Academy Of Beauty Culture Inc.,Alexandria Academy of Beauty Culture,158079,opeid6,,24934,LA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,A,-2,,A,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,2,,
2008,,main_campus,closure,Allied Career Center,,,,,39843,TX,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,2,2,
2008,,main_campus,closure,Beatrice Academy of Beauty,,,,,21639,OH,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Benchmark Career Institute,,,,,41221,TX,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,0,
2008,,main_campus,closure,Benefis Healthcare School of Radiologic Technology,Benefis Healthcare School of Radiologic Technology,180142,opeid6,,4425,MT,Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,06/01/2008,,D,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,2,1,4,
2008,,main_campus,closure,Brooks College,Brooks College,110176,opeid6,,20655,CA,Private for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,395,2008,2008,2008,M,12/01/2008,,M,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,2,5,
2008,,main_campus,closure,Caliber Training Institute,Caliber Training Institute,189787,opeid6,,31724,NY,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,A,-2,,A,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,,
2008,,main_campus,closure,Career Academy,Career Academy Inc,364609,opeid6,,25721,TX,Private for-profit,Less than 2 years,Less than 2 years,48,2008,2008,2008,M,11/01/2008,,M,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Columbia Beauty School,,,,,23103,SC,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,,
2008,,main_campus,closure,Cortiva Institute - Brian Utting School of Massage,Cortiva Institute-Brian Utting School of Massage,443313,opeid6,,36315,WA,Private for-profit,Less than 2 years,Less than 2 years,,2008,2008,2008,D,2008,,D,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,DVS College,,,,,34794,CA,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,2,3,
2008,,main_campus,closure,DeVoe College of Beauty,,,,,21733,AZ,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Helma Institute of Massage Therapy,,,,,36293,NJ,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,,
2008,,main_campus,closure,Kaplan Career Institute,Kaplan Career Institute,428091,opeid6,,31282,NM,Private for-profit,Less than 2 years,Less than 2 years,290,2008,2008,2008,M,2008,,M,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,2,3,
2008,,main_campus,closure,Marinello Schools of Beauty,Marinello School of Beauty,118392,opeid6,,7456,CA,Private for-profit,Less than 2 years,Less than 2 years,60,2008,2008,2008,M,04/01/2008,,M,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Mason Academy of Cosmetology,,,,,40374,TN,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Metro Technical Institute,,,,,32493,MI,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
2008,,main_campus,closure,Mr. Johns School Of Cosmetology,Mr John's School of Cosmetology & Nails,407106,opeid6,,25381,IL,Private for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,,2008,2008,2008,D,08/30/2008,,D,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,4,
2008,,main_campus,closure,Nail Academy (The),,,,,36793,NY,Private for-profit,,,,,,,,,,,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,,
2008,,main_campus,closure,New York Technical Institute of Hawaii,New York Technical Institute of Hawaii,141857,opeid6,,30208,HI,Private for-profit,Less than 2 years,Less than 2 years,152,2008,2008,2008,M,2008,,M,baseline_closure_file,closure_file_20250403.xlsx,,Federal closure workbook baseline,,,Cumulative federal closure workbook row (full-system closure logic).,3,1,3,
