"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
Data Source:  eZ-Audit as of December 17, 2024",,,,,,,,
Item#,OPEID,Institution Name,City,State,Zip Code,Institution Fiscal Year End,Institution Type, Composite Score for Institution's  Fiscal Year Ending Between 07/01/2022 - 6/30/2023
1.0,00884300,Alaska Bible College,Palmer,AK,99645-6619,45077.0,Non Profit,2.2
2.0,04138600,Alaska Christian College,Soldotna,AK,99669-9755,45077.0,Non Profit,3.0
3.0,00106100,Alaska Pacific University,Anchorage,AK,99508-4672,45107.0,Non Profit,3.0
4.0,04226700,Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,44834.0,Non Profit,3.0
5.0,04255500,Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,44926.0,Proprietary,2.9
6.0,02503400,Amridge University,Montgomery,AL,36117-3553,45107.0,Non Profit,3.0
7.0,03783300,Blue Cliff Career College,Mobile,AL,36606-4749,44926.0,Proprietary,2.0
8.0,04267900,Brown Beauty Barber School,Bessemer,AL,35020-5016,44926.0,Proprietary,3.0
9.0,04066300,Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606-1411,45107.0,Proprietary,3.0
10.0,04121500,Columbia Southern University,Orange Beach,AL,36561-3815,44926.0,Proprietary,2.8
11.0,00100300,Faulkner University,Montgomery,AL,36109-3398,45077.0,Non Profit,2.7
12.0,02341000,Fortis College,Mobile,AL,36608-3712,45107.0,Proprietary,-0.5
13.0,03361400,Fortis College,Dothan,AL,36303-7859,45107.0,Proprietary,-0.5
14.0,02199700,Heritage Christian University,Florence,AL,35630-6245,45107.0,Non Profit,2.4
15.0,00101900,Huntingdon College,Montgomery,AL,36106-2148,45077.0,Non Profit,2.2
16.0,03894300,Huntsville Bible College,Huntsville,AL,35811-1632,44773.0,Non Profit,2.3
17.0,04229400,Midfield Institute of Cosmetology,Midfield,AL,35228-2233,44926.0,Non Profit,3.0
18.0,00102800,Miles College,Fairfield,AL,35064-2697,45107.0,Non Profit,3.0
19.0,04187200,New Beginning College of Cosmetology,Albertville,AL,35951-0000,44926.0,Proprietary,1.9
20.0,02285000,Paul Mitchell The School Huntsville,Madison,AL,35758-0000,44926.0,Proprietary,2.1
21.0,04211000,Salon Professional Academy (The),Huntsville,AL,35816-1849,45016.0,Proprietary,0.2
22.0,00103600,Samford University,Birmingham,AL,35229-7000,45107.0,Non Profit,2.5
