institution_name,sector,state,unitid,opeid,first_snapshot_label,latest_snapshot_label_present,first_snapshot_absent_after_last_presence,latest_reason_on_description,in_finance_tracker
American University of Antigua College of Medicine,Private for-profit,,,04240100,December 2024,December 2025,,Program Review,No
CETYS Universidad,Private not-for-profit,,,04183900,December 2024,December 2025,,Administrative Capability,No
University of Buckingham,Private not-for-profit,,,03012700,December 2024,December 2025,,Audit - Severe Findings,No
Northern Technical College,Private for-profit,AR,490744,04272400,December 2024,December 2025,,Severe Program Review Findings,No
California College of Music,Private for-profit,CA,488563,04293000,March 2025,December 2025,,Severe Program Review Findings,No
NewSchool of Architecture and Design,Private for-profit,CA,119775,03043900,December 2024,December 2025,,Administrative Capability,Yes
Premiere Career College,Private for-profit,CA,416458,03125800,December 2024,December 2025,,Adverse Action Taken by Accreditor/State Agency,No
Hobe Sound Bible College,Private not-for-profit,FL,134510,02188900,December 2024,December 2025,,Administrative Capability,Yes
Urshan University,Private not-for-profit,MO,494685,04282700,December 2024,December 2025,,Administrative Capability,Yes
Saint Augustine's University,Private not-for-profit,NC,199582,00296800,December 2024,December 2025,,Financial Responsibility,Yes
Sotheby's Institute of Art - NY,Private for-profit,NY,481094,04179800,December 2024,December 2025,,Financial Responsibility,No
Yeshiva of Nitra Rabbinical College,Private not-for-profit,NY,197674,01167000,December 2024,December 2025,,Administrative Capability,Yes
Gerber Akron Beauty School,Private for-profit,OH,202888,00953000,December 2024,December 2025,,Program Review,No
Toledo Public Schools Adult and Continuing Education,Public,OH,204459,00813200,March 2025,December 2025,,Administrative Capability,No
Randall University,Private not-for-profit,OK,207157,01026600,December 2024,December 2025,,Severe Program Review Findings,Yes
CEM College,Private for-profit,PR,,02189100,December 2024,December 2025,,Severe Program Review Findings,No
