snapshot_date,snapshot_label,hcm_level,opeid,unitid,institution_name,city,state,country,sector,institution_type_desc,reason_on_description,in_finance_tracker
2024-12-01,December 2024,HCM2,04240100,,American University of Antigua College of Medicine,Coolidge,,Antigua,Private for-profit,Foreign For-Profit,Program Review,No
2024-12-01,December 2024,HCM2,04183900,,CETYS Universidad,Mexicali,,Mexico,Private not-for-profit,Foreign Private Non-Profit,Administrative Capability,No
2024-12-01,December 2024,HCM2,01049300,,Cranfield University,Bedford,,England,Private not-for-profit,Foreign Private Non-Profit,Outstanding Liability and/or Offset Owed,No
2024-12-01,December 2024,HCM2,03012700,,University of Buckingham,Buckingham,,England,Private not-for-profit,Foreign Private Non-Profit,Audit - Severe Findings,No
2024-12-01,December 2024,HCM2,04272400,490744,Northern Technical College,Pine Bluff,AR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,04241900,485704,River Valley School of Massage,Russellville,AR,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM2,03043900,119775,NewSchool of Architecture and Design,San Diego,CA,United States,Private for-profit,Proprietary,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,03125800,416458,Premiere Career College,Irwindale,CA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,01203100,112084,San Diego Christian College,Santee,CA,United States,Private not-for-profit,Private Non-Profit,Adverse Action Taken by Accreditor/State Agency,Yes
2024-12-01,December 2024,HCM2,04224200,481571,Belle Academy of Cosmetology,Waterbury,CT,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,03429700,439394,East West College of Natural Medicine,Sarasota,FL,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,02188900,134510,Hobe Sound Bible College,Hobe Sound,FL,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,04256700,490230,Reformed University,Lawrenceville,GA,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,04224500,482167,Trenz Beauty Academy,Calumet City,IL,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,02168900,155308,Kansas Christian College,Overland Park,KS,United States,Private not-for-profit,Private Non-Profit,Audit - Severe Findings,Yes
2024-12-01,December 2024,HCM2,04038700,480161,Ideal Beauty Academy,Louisville,KY,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,03727500,444662,Moore Career College,Baton Rouge,LA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,03570500,217606,Northpoint Bible College,Haverhill,MA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM2,04174000,460932,Skin Institute,Saint Louis,MO,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM2,04282700,494685,Urshan University,Wentzville,MO,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,00296800,199582,Saint Augustine's University,Raleigh,NC,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM2,02553700,200086,Nueta Hidatsa Sahnish College,New Town,ND,United States,Public,Public,Administrative Capability,No
2024-12-01,December 2024,HCM2,01209000,186274,Robert Fiance Beauty Schools,Perth Amboy,NJ,United States,Private for-profit,Proprietary,Administrative Capability,No
2024-12-01,December 2024,HCM2,04179800,481094,Sotheby's Institute of Art - NY,New York,NY,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM2,04270400,491774,Transitions Career Institute School of Nursing,Flushing,NY,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,01167000,197674,Yeshiva of Nitra Rabbinical College,Chester,NY,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,00953000,202888,Gerber Akron Beauty School,Akron,OH,United States,Private for-profit,Proprietary,Program Review,No
2024-12-01,December 2024,HCM2,04293900,496706,Lakewood University,Cleveland Heights,OH,United States,Private not-for-profit,Private Non-Profit,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,01026600,207157,Randall University,Moore,OK,United States,Private not-for-profit,Private Non-Profit,Severe Program Review Findings,Yes
2024-12-01,December 2024,HCM2,01300800,209719,Summit Salon Academy - Portland,Tigard,OR,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,00331700,211608,Cheyney University of Pennsylvania,Cheyney,PA,United States,Public,Public,Administrative Capability,Yes
2024-12-01,December 2024,HCM2,02189100,,CEM College,San Juan,PR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,03785300,,Cambridge Technical Institute,Caguas,PR,United States,Private for-profit,Proprietary,Administrative Capability,No
2024-12-01,December 2024,HCM2,03638300,,Rosslyn Training Academy of Cosmetology,Aguada,PR,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,04253100,490151,Allied Health Careers Institute,Murfreesboro,TN,United States,Private for-profit,Proprietary,Audit - Severe Findings,No
2024-12-01,December 2024,HCM2,02275000,451918,Jenny Lea Academy of Cosmetology,Johnson City,TN,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM2,02275500,248660,Paul Mitchell the School Knoxville,Knoxville,TN,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,04229000,484048,Barber Institute of Texas,Longview,TX,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2024-12-01,December 2024,HCM2,03303300,369686,Northwest Educational Center,Houston,TX,United States,Private for-profit,Proprietary,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM2,04288900,495244,Pearlands Innovative School of Beauty,Pearland,TX,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM2,03612400,443322,Valley Grande Institute for Academic Studies,Weslaco,TX,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM2,00392900,240596,Eastern Wyoming College,Torrington,WY,United States,Public,Public,Administrative Capability,No
2025-03-01,March 2025,HCM2,04240100,,American University of Antigua College of Medicine,Coolidge,,Antigua,Private for-profit,Foreign For-Profit,Program Review,No
2025-03-01,March 2025,HCM2,04183900,,CETYS Universidad,Mexicali,,Mexico,Private not-for-profit,Foreign Private Non-Profit,Administrative Capability,No
2025-03-01,March 2025,HCM2,01049300,,Cranfield University,Bedford,,England,Private not-for-profit,Foreign Private Non-Profit,Outstanding Liability and/or Offset Owed,No
2025-03-01,March 2025,HCM2,03012700,,University of Buckingham,Buckingham,,England,Private not-for-profit,Foreign Private Non-Profit,Audit - Severe Findings,No
2025-03-01,March 2025,HCM2,04272400,490744,Northern Technical College,Pine Bluff,AR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-03-01,March 2025,HCM2,04241900,485704,River Valley School of Massage,Russellville,AR,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2025-03-01,March 2025,HCM2,00886400,103954,Arizona Academy of Beauty,Tucson,AZ,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-03-01,March 2025,HCM2,04293000,488563,California College of Music,Pasadena,CA,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-03-01,March 2025,HCM2,03043900,119775,NewSchool of Architecture and Design,San Diego,CA,United States,Private for-profit,Proprietary,Administrative Capability,Yes
2025-03-01,March 2025,HCM2,03125800,416458,Premiere Career College,Irwindale,CA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-03-01,March 2025,HCM2,04185000,461953,Colorado Academy of Veterinary Technology,Colorado Springs,CO,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-03-01,March 2025,HCM2,04224200,481571,Belle Academy of Cosmetology,Waterbury,CT,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-03-01,March 2025,HCM2,03104300,420370,Career Technical Institute,Washington,DC,United States,Private for-profit,Proprietary,Financial Responsibility,No
2025-03-01,March 2025,HCM2,03429700,439394,East West College of Natural Medicine,Sarasota,FL,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-03-01,March 2025,HCM2,02188900,134510,Hobe Sound Bible College,Hobe Sound,FL,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-03-01,March 2025,HCM2,04224500,482167,Trenz Beauty Academy,Calumet City,IL,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-03-01,March 2025,HCM2,02168900,155308,Kansas Christian College,Overland Park,KS,United States,Private not-for-profit,Private Non-Profit,Audit - Severe Findings,Yes
2025-03-01,March 2025,HCM2,04284500,493831,Midwest Barber College,Topeka,KS,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
