organization_name_display,agency,grant_id,award_id_string,award_remaining,internal_award_id,subaward_count,total_subaward_amount,recipient_mix,api_error,unique_recipients,higher_ed_recipients,non_higher_ed_recipients,unknown_recipients,higher_ed_subaward_amount,non_higher_ed_subaward_amount
Opportunity Finance Network,epa,84093901,ASST_NON_84093901_068,2290000000,254636848,0,,no_subawards,,,,,,,
Appalachian Community Capital Corporation,epa,84094401,ASST_NON_84094401_068,500000000,254637000,0,,no_subawards,,,,,,,
Research Triangle Institute,epa,84084201,ASST_NON_84084201_068,94536777.6,254633930,0,,no_subawards,,,,,,,
"Social and Environmental Entrepreneurs (See), Inc.",epa,98T97502,ASST_NON_98T97502_068,51895370.08,258855693,0,,no_subawards,,,,,,,
Fordham University,epa,96265602,ASST_NON_96265602_068,51865551.8,258073712,0,,no_subawards,,,,,,,
Jsi Research & Training Institute Inc,epa,00I50002,ASST_NON_00I50002_068,51782375.01,197965189,0,,no_subawards,,,,,,,
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,46825794.26,254633533,5,3206266,non_higher_ed_only,,5,0,5,0,0,3206266
Research Triangle Institute,epa,84084101,ASST_NON_84084101_068,20779398.72,254633900,4,735794,mixed,,4,1,3,0,105756,630038
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,9694946.55,254633261,8,1519278,non_higher_ed_only,,5,0,5,0,0,1519278
Research Triangle Institute,epa,84113601,ASST_NON_84113601_068,6934495.02,254642705,0,,no_subawards,,,,,,,
"Social and Environmental Entrepreneurs (See), Inc.",epa,98T97501,ASST_NON_98T97501_068,6807836.82,258855692,0,,no_subawards,,,,,,,
"Health Resources in Action, Inc.",epa,00A01511,ASST_NON_00A01511_068,6773468.44,197956500,0,,no_subawards,,,,,,,
"Inter American University of Puerto Rico, Inc.",epa,96230523,ASST_NON_96230523_068,6070155.75,258063056,0,,no_subawards,,,,,,,
Fordham University,epa,96265601,ASST_NON_96265601_068,6017455.71,258073711,0,,no_subawards,,,,,,,
Jsi Research & Training Institute Inc,epa,00I50001,ASST_NON_00I50001_068,5426687.26,197965188,0,,no_subawards,,,,,,,
West Harlem Environmental Action Inc,epa,96230923,ASST_NON_96230923_068,5410823.57,258063177,0,,no_subawards,,,,,,,
Texas Southern University,epa,02F5550A,ASST_NON_02F5550A_068,4766201.75,198418667,0,,no_subawards,,,,,,,
Town of Bluff,epa,00I52800,ASST_NON_00I52800_068,976893.8,197965208,0,,no_subawards,,,,,,,
City of Jersey City,epa,96264123,ASST_NON_96264123_068,953987.47,258073252,0,,no_subawards,,,,,,,
Bronx River Alliance Inc,epa,96229424,ASST_NON_96229424_068,413420.1,258062721,0,,no_subawards,,,,,,,
Ironbound Community Corporation,epa,96214224,ASST_NON_96214224_068,296942.01,258058090,0,,no_subawards,,,,,,,
"Health Resources in Action, Inc.",epa,00A01512,ASST_NON_00A01512_068,,197956501,0,,no_subawards,,,,,,,
Texas Southern University,epa,02F5550B,ASST_NON_02F5550B_068,,198418668,0,,no_subawards,,,,,,,
