agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,outlay_signal,proposal_flag
nih,1U19AI171413-01,ASST_NON_U19AI171413_7529,University of Texas Medical Branch at Galveston,Texas,The University of Texas Medical Branch at Galveston,Texas,Galveston,Public,228653,48148375.8,26864264.2,75012640,2025-03-24,,https://www.usaspending.gov/award/ASST_NON_U19AI171413_7529,https://reporter.nih.gov/project-details/10514146,271684991,48148375.8,56163625,2025-03-25,2026-03-05,TRUE,FALSE,TRUE,0,1,9846765.45,6933890.799999999,0,0,0,0,7,34,,unitid:228653,E,FALSE,TRUE,TRUE
cdc,T42OH008416,ASST_NON_T42OH008416_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,6999158.65,20664024.33,27663182.98,2025-05-20,2028-06-30,https://www.usaspending.gov/award/ASST_NON_T42OH008416_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=T42OH008416&arg_ProgOfficeCode=90,271489738,7614028.22,27663182.98,2028-06-30,2026-01-05,TRUE,TRUE,TRUE,614869.5699999994,1.08784906883058,1166726.3,440857.01,725869.29,1800000,1800000,0,41,49,,unitid:166027,E,TRUE,TRUE,TRUE
epa,953A0097,ASST_NON_953A0097_068,University of Virginia,Virginia,University of Virginia,Virginia,Charlottesville,Public,234076,43847.91,19842810.09,19886658,2025-03-25,2028-01-31,https://www.usaspending.gov/award/ASST_NON_953A0097_068/,,257834256,43847.91,19886658,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,43847.91,0,0,0,0,0,2,7,,unitid:234076,E,FALSE,TRUE,TRUE
cdc,U19OH008861,ASST_NON_U19OH008861_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,5865983.71,17807049.88,23673033.59,2025-05-20,2026-08-31,https://www.usaspending.gov/award/ASST_NON_U19OH008861_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U19OH008861&arg_ProgOfficeCode=90,271685407,5906788.36,23673033.59,2026-08-31,2026-03-05,TRUE,TRUE,TRUE,40804.65000000037,1.0069561478546964,905768.34,797315.7799999999,108452.56000000006,1399731,1399731,0,61,96,,unitid:166027,E,TRUE,TRUE,TRUE
epa,03D25424,ASST_NON_03D25424_068,Texas A&M University,Texas,Texas A&M University,Texas,College Station,Public,228723,369030.75,14074275.25,14443306,2025-03-25,2027-12-31,https://www.usaspending.gov/award/ASST_NON_03D25424_068/,,198509713,369030.75,14443306,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,362853.45999999996,291842.85,0,0,0,0,2,8,,unitid:228723,E,FALSE,TRUE,TRUE
cdc,NU2HGH000007,ASST_NON_NU2HGH000007_075,The Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,53825918.24,9425344.76,63251263,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU2HGH000007_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000007&arg_ProgOfficeCode=253,269017405,54559490.17,63251263,2026-09-29,2026-01-28,TRUE,TRUE,TRUE,733571.9299999997,1.0136286003840962,10024057.01,5409595.55,910413.86,8526800,6714300,812500,405,294,,unitid:162928,E,TRUE,TRUE,TRUE
epa,02J28601,ASST_NON_02J28601_068,University of Washington,Washington,University of Washington,Washington,Seattle,Public,236948,2339527.75,6660472.25,9000000,2025-03-25,2028-05-31,https://www.usaspending.gov/award/ASST_NON_02J28601_068/,,198421934,2339527.75,9000000,2025-05-02,2025-06-05,TRUE,FALSE,TRUE,0,1,588886.0799999998,229321.45999999985,0,0,0,0,5,20,,unitid:236948,E,FALSE,TRUE,TRUE
nih,3R01AG075818-04S1,ASST_NON_R01AG075818_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,841555.19,5570174.47,6411729.66,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01AG075818_7529,https://reporter.nih.gov/project-details/11124291,270136979,2049677.16,7060533,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,1208121.97,2.435582578963122,956158.92,502751.82000000007,178349.05000000002,1284306,104841,0,20,48,,unitid:170976,E,TRUE,TRUE,TRUE
epa,02F33801,ASST_NON_02F33801_068,New Mexico State University,New Mexico,New Mexico State University-Main Campus,New Mexico,Las Cruces,Public,188030,2455830.39,5544169.61,8000000,2025-03-25,2028-05-31,https://www.usaspending.gov/award/ASST_NON_02F33801_068/,,198418474,2455830.39,8000000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,933141.4199999999,468834.58999999985,0,0,0,0,4,20,,unitid:188030,E,FALSE,TRUE,TRUE
epa,98T65901,ASST_NON_98T65901_068,University of Arizona,Arizona,University of Arizona,Arizona,Tucson,Public,104179,2563467.42,5536532.58,8100000,2025-03-25,2028-05-30,https://www.usaspending.gov/award/ASST_NON_98T65901_068/,,258855401,2563467.42,8100000,2025-05-01,2025-06-05,TRUE,FALSE,TRUE,0,1,333078.75,121051.28000000003,0,0,0,0,4,25,,unitid:104179,E,FALSE,TRUE,TRUE
