grant_id,status,terminated_award_numbers,event_history,termination_date,termination_indicator,reinstatement_date,reinstatement_indicator,org_name,title,project_start_date,project_original_end_date,award_value,award_outlaid,award_remaining,org_state,org_city,org_type,org_congdist,us_rep,us_rep_phone,program_office_name,activity_type,award_class,funding_office_name,cfda_number,cfda_title,nofo,usaspending_url,taggs_url
NB01PW000067,⚠️ At-risk,NA,"- 2025-09-08: Grant awarded or renewed
- 2025-09-08: Obligation of $11,343,489
- 2025-09-08: Obligation of $705,352
- 2025-09-08: Grant awarded
- 2025-09-08: Obligation of $12,048,841
- 2025-11-30: Outlay of $1,368,292
- 2025-12-31: Outlay of $1,221,144
- 2026-02-11: [Reported at-risk for termination](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)",NA,NA,NA,NA,"Public Health, California Department of",Preventive Health and Health Services Block Grant ? 2025,2024-10-01,2026-09-30,12048841,3374911.76,8673929.24,CA,SACRAMENTO,Other Health Organization,CA-07,NA,NA,Public Health Infrastructure Center,HEALTH SERVICES,DISCRETIONARY,PUBLIC HEALTH INFRASTRUCTURE CENTER (PHIC),93.991,Preventive Health and Health Services Block Grant,CDC-RFA-PW-25-2500,https://www.usaspending.gov/award/ASST_NON_NB01PW000067_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NB01PW000067&arg_ProgOfficeCode=390
NB01PW000088,⚠️ At-risk,NA,"- 2025-09-08: Grant awarded or renewed
- 2025-09-08: Obligation of $4,528,407
- 2025-09-08: Grant awarded
- 2025-11-30: Outlay of $285,387
- 2025-12-31: Outlay of $430,389
- 2026-02-11: [Reported at-risk for termination](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)",NA,NA,NA,NA,MINNESOTA DEPARTMENT OF HEALTH,Preventive Health and Health Services Block Grant ? 2025,2024-10-01,2026-09-30,4528407,1061678.41,3466728.59,MN,SAINT PAUL,Health Department,MN-04,NA,NA,Public Health Infrastructure Center,HEALTH SERVICES,DISCRETIONARY,PUBLIC HEALTH INFRASTRUCTURE CENTER (PHIC),93.991,Preventive Health and Health Services Block Grant,CDC-RFA-PW-25-2500,https://www.usaspending.gov/award/ASST_NON_NB01PW000088_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NB01PW000088&arg_ProgOfficeCode=390
NB01PW000090,⚠️ At-risk,NA,"- 2025-09-08: Grant awarded or renewed
- 2025-09-08: Obligation of $4,100,466
- 2025-09-08: Grant awarded
- 2025-11-30: Outlay of $47,530
- 2026-02-11: [Reported at-risk for termination](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)",NA,NA,NA,NA,DEPARTMENT OF PUBLIC HEALTH ILLINOIS,Preventive Health and Health Services Block Grant ? 2025,2024-10-01,2026-09-30,4100466,406311.92,3694154.08,IL,SPRINGFIELD,Health Department,IL-13,Nikki Budzinski (D),202-225-2371,Public Health Infrastructure Center,HEALTH SERVICES,DISCRETIONARY,PUBLIC HEALTH INFRASTRUCTURE CENTER (PHIC),93.991,Preventive Health and Health Services Block Grant,CDC-RFA-PW-25-2500,https://www.usaspending.gov/award/ASST_NON_NB01PW000090_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NB01PW000090&arg_ProgOfficeCode=390
NB01PW000122,⚠️ At-risk,NA,"- 2025-09-17: Grant awarded or renewed
- 2025-09-17: Obligation of $2,209,062
- 2025-09-17: Grant awarded
- 2026-02-11: [Reported at-risk for termination](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)",NA,NA,NA,NA,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,Preventive Health and Health Services Block Grant ? 2025,2024-10-01,2026-09-30,2209062,276711.74,1932350.26,CO,DENVER,Health Department,CO-01,NA,NA,Public Health Infrastructure Center,HEALTH SERVICES,DISCRETIONARY,PUBLIC HEALTH INFRASTRUCTURE CENTER (PHIC),93.991,Preventive Health and Health Services Block Grant,CDC-RFA-PW-25-2500,https://www.usaspending.gov/award/ASST_NON_NB01PW000122_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NB01PW000122&arg_ProgOfficeCode=390
NE11OE000001,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $5,981,433
- 2022-11-29: Obligation of $140,788,207
- 2023-05-26: Obligation of $22,794,219
- 2023-05-26: Obligation of $2,608,740
- 2023-05-26: Obligation of $15,798,896
- 2023-11-29: Obligation of $10,467,372
- 2024-01-09: Obligation of $4,568,017
- 2024-02-21: Deobligation of -$22,763,717
- 2024-02-21: Deobligation of -$15,787,963
- 2024-02-26: Obligation of $22,763,717
- 2024-02-26: Obligation of $15,787,963
- 2024-03-20: Obligation of $22,763,717
- 2024-03-20: Obligation of $15,787,963
- 2024-03-22: Deobligation of -$15,787,963
- 2024-03-22: Deobligation of -$22,763,717
- 2024-09-10: Obligation of $8,004,071
- 2024-11-08: Obligation of $10,467,372
- 2024-11-30: Outlay of $5,725,929
- 2024-12-31: Outlay of $2,934,862
- 2025-01-31: Outlay of $1,905,183
- 2025-02-28: Outlay of $3,008,030
- 2025-03-31: Outlay of $4,202,422
- 2025-04-30: Outlay of $2,867,596
- 2025-05-31: Outlay of $2,545,689
- 2025-06-30: Outlay of $3,634,843
- 2025-07-31: Outlay of $2,858,891
- 2025-08-31: Outlay of $4,390,272
- 2025-09-30: Outlay of $4,991,035
- 2025-11-30: Outlay of $8,101,852
- 2025-12-02: Obligation of $10,467,372
- 2025-12-31: Outlay of $3,745,359
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)",2026-01-23,Other reporting,2026-01-24,Other reporting,DEPARTMENT OF STATE HEALTH SERVICES,"Texas DSHS Strengthening Public Health Infrastructure, Workforce and Data Systems; Strategy A2 Foundational Capabilities, APR & Non-Competing Continuation Application",2022-12-01,2027-11-30,231945699,72330215.48,159615483.51999998,TX,AUSTIN,Health Department,TX-37,Lloyd Doggett (D),202-225-4865,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,"CDC CENTER FOR SURVEILLANCE, EPIDEMIOLOGY, AND LABORATORY SERVICES",93.283,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000001_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000001&arg_ProgOfficeCode=283
NE11OE000002,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $3,453,193
- 2022-11-29: Obligation of $79,786,752
- 2023-05-29: Obligation of $5,691,747
- 2023-05-29: Obligation of $8,138,763
- 2023-05-29: Obligation of $1,026,752
- 2023-11-24: Obligation of $6,043,016
- 2024-01-10: Obligation of $1,931,369
- 2024-02-22: Deobligation of -$5,691,747
- 2024-02-22: Deobligation of -$8,138,763
- 2024-02-26: Obligation of $8,138,763
- 2024-02-26: Obligation of $5,691,747
- 2024-03-20: Obligation of $5,691,747
- 2024-03-20: Obligation of $8,138,763
- 2024-03-22: Deobligation of -$8,138,763
- 2024-03-22: Deobligation of -$5,691,747
- 2024-09-11: Obligation of $3,101,283
- 2024-11-14: Obligation of $6,043,016
- 2024-11-30: Outlay of $182,025
- 2025-01-31: Outlay of $6,909,894
- 2025-02-28: Outlay of $8,586,561
- 2025-03-31: Outlay of $806,514
- 2025-04-30: Outlay of $5,809,045
- 2025-05-31: Outlay of $111,274
- 2025-07-31: Outlay of $823,759
- 2025-08-31: Outlay of $54,529
- 2025-11-30: Outlay of $11,171,750
- 2025-12-02: Obligation of $6,043,016
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-02-09: [Reported at-risk for termination](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)
- 2026-02-11: [Grant terminated](https://grant-witness.us/posts/2026-02-10-cdc-terminations/)
- 2026-02-13: [Court-ordered reinstatement (IL v. Vought)](https://www.courtlistener.com/docket/72265112/state-of-illinois-v-vought/)",2026-01-23,Other reporting,2026-02-13,Other reporting,COUNTY OF LOS ANGELES,Transforming Public Health Through a Community Collaborative Model,2022-12-01,2027-11-30,121258907,38366958,82891949,CA,COMMERCE,Health Department,CA-42,Robert Garcia (D),202-225-7924,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,"CDC CENTER FOR SURVEILLANCE, EPIDEMIOLOGY, AND LABORATORY SERVICES",93.967,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000002_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000002&arg_ProgOfficeCode=283
NE11OE000003,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $13,171,903
- 2022-11-29: Obligation of $692,303
- 2023-05-29: Obligation of $1,289,446
- 2023-05-29: Obligation of $967,109
- 2023-05-29: Obligation of $287,243
- 2023-11-27: Obligation of $1,211,521
- 2024-01-09: Obligation of $698,855
- 2024-02-22: Deobligation of -$967,109
- 2024-02-22: Deobligation of -$1,289,446
- 2024-02-26: Obligation of $967,109
- 2024-02-26: Obligation of $1,289,446
- 2024-04-08: Obligation of $1,289,446
- 2024-04-08: Obligation of $967,109
- 2024-04-09: Deobligation of -$1,289,446
- 2024-04-09: Deobligation of -$967,109
- 2024-09-11: Obligation of $2,276,905
- 2024-11-08: Obligation of $1,211,521
- 2024-11-30: Outlay of $233,588
- 2024-12-31: Outlay of $57,314
- 2025-01-31: Outlay of $111,287
- 2025-02-28: Outlay of $231,214
- 2025-03-31: Outlay of $286,773
- 2025-04-30: Outlay of $274,318
- 2025-05-31: Outlay of $273,735
- 2025-06-30: Outlay of $389,402
- 2025-07-31: Outlay of $711,694
- 2025-08-31: Outlay of $229,166
- 2025-09-30: Outlay of $313,080
- 2025-11-30: Outlay of $646,721
- 2025-12-02: Obligation of $1,211,521
- 2025-12-31: Outlay of $365,367
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)",2026-01-23,Other reporting,2026-01-24,Other reporting,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF","Strengthening Maine's Public Health Infrastructure, Workforce, and Data Systems",2022-12-01,2027-11-30,23018327,5038033.19,17980293.81,ME,AUGUSTA,Welfare Department,ME-02,Jared F. Golden (D),202-225-6306,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,"CDC CENTER FOR SURVEILLANCE, EPIDEMIOLOGY, AND LABORATORY SERVICES",93.967,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000003_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000003&arg_ProgOfficeCode=283
NE11OE000004,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $9,030,595
- 2022-11-29: Obligation of $520,664
- 2023-11-27: Obligation of $911,156
- 2024-11-08: Obligation of $911,156
- 2025-02-28: Outlay of $3,371,695
- 2025-03-31: Outlay of $272,975
- 2025-09-30: Outlay of $1,241,956
- 2025-12-02: Obligation of $911,156
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)",2026-01-23,Other reporting,2026-01-24,Other reporting,LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,"Strengthening Public Health Infrastructure, Workforce, and Data Systems in Louisville-Jefferson County",2022-12-01,2027-11-30,12284727,5603907.62,6680819.38,KY,LOUISVILLE,Health Department,KY-03,Morgan McGarvey (D),202-225-5401,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,"CDC CENTER FOR SURVEILLANCE, EPIDEMIOLOGY, AND LABORATORY SERVICES",93.283,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000004_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000004&arg_ProgOfficeCode=283
NE11OE000005,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $43,761,301
- 2022-11-29: Obligation of $1,960,098
- 2023-05-26: Obligation of $3,021,860
- 2023-05-26: Obligation of $4,269,303
- 2023-05-26: Obligation of $608,856
- 2023-11-27: Obligation of $3,430,130
- 2024-01-09: Obligation of $1,234,877
- 2024-02-22: Deobligation of -$3,021,860
- 2024-02-22: Deobligation of -$4,269,303
- 2024-02-26: Obligation of $4,269,303
- 2024-02-26: Obligation of $3,021,860
- 2024-03-20: Obligation of $3,021,860
- 2024-03-20: Obligation of $4,269,303
- 2024-03-22: Deobligation of -$4,269,303
- 2024-03-22: Deobligation of -$3,021,860
- 2024-09-10: Obligation of $3,070,330
- 2024-11-12: Obligation of $3,430,130
- 2024-11-30: Outlay of $821,815
- 2024-12-31: Outlay of $265,124
- 2025-01-31: Outlay of $743,396
- 2025-02-28: Outlay of $1,252,290
- 2025-03-31: Outlay of $477,186
- 2025-04-30: Outlay of $1,432,754
- 2025-06-30: Outlay of $1,300,336
- 2025-07-31: Outlay of $2,549,493
- 2025-08-31: Outlay of $901,574
- 2025-09-30: Outlay of $969,053
- 2025-11-30: Outlay of $2,269,266
- 2025-12-02: Obligation of $3,430,130
- 2025-12-31: Outlay of $1,199,537
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)",2026-01-23,Other reporting,2026-01-24,Other reporting,"HEALTH, LOUISIANA DEPARTMENT OF","Strengthening Louisiana?s Public Health Infrastructure, Workforce, and Data Systems",2022-12-01,2027-11-30,68217015,20096995.45,48120019.55,LA,NEW ORLEANS,Health Department,LA-02,Troy A. Carter (D),202-225-6636,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,CDC NATIONAL CENTER FOR IMMUNIZATION AND RESPIRATORY DISEASES,93.317,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000005_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000005&arg_ProgOfficeCode=283
NE11OE000006,🔄 Possibly Reinstated,NA,"- 2022-11-29: Grant awarded
- 2022-11-29: Obligation of $46,980,185
- 2022-11-29: Obligation of $2,093,506
- 2023-05-25: Obligation of $642,703
- 2023-05-25: Obligation of $3,238,103
- 2023-05-25: Obligation of $4,582,855
- 2023-11-08: Obligation of $3,663,591
- 2024-01-09: Obligation of $1,291,288
- 2024-02-27: Deobligation of -$3,238,103
- 2024-02-27: Deobligation of -$4,582,855
- 2024-02-29: Obligation of $4,582,855
- 2024-02-29: Obligation of $3,238,103
- 2024-03-19: Obligation of $3,238,103
- 2024-03-19: Obligation of $4,582,855
- 2024-03-22: Deobligation of -$3,238,103
- 2024-03-22: Deobligation of -$4,582,855
- 2024-09-10: Obligation of $3,153,830
- 2024-11-08: Obligation of $3,663,591
- 2025-01-31: Outlay of $1,861,356
- 2025-06-30: Outlay of $4,664,680
- 2025-07-31: Outlay of $1,972,149
- 2025-08-31: Outlay of $1,342,650
- 2025-09-30: Outlay of $673,448
- 2025-12-02: Obligation of $3,663,591
- 2025-12-31: Outlay of $4,118,399
- 2026-01-23: [Reports of all PHIC paused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)
- 2026-01-24: [Reports of all PHIC unpaused](https://www.statnews.com/2026/01/24/public-health-infrastructure-grants-cdc-paused-states/)",2026-01-23,Other reporting,2026-01-24,Other reporting,ALABAMA DEPARTMENT OF HEALTH,"Strengthening the Alabama Department of Public Health infrastructure, workforce, and data systems.",2022-12-01,2027-11-30,72973243,18808431.01,54164811.989999995,AL,MONTGOMERY,Health Department,AL-02,Shomari Figures (D),202-225-4931,Epidemiology and Analysis Program Office,HEALTH SERVICES,DISCRETIONARY,"CDC CENTER FOR SURVEILLANCE, EPIDEMIOLOGY, AND LABORATORY SERVICES",93.283,Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health,CDC-RFA-OE22-2203,https://www.usaspending.gov/award/ASST_NON_NE11OE000006_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NE11OE000006&arg_ProgOfficeCode=283
