agency,source_file,grant_id,grant_id_core,status,status_bucket,currently_disrupted,organization_name,organization_name_display,organization_state,organization_city,organization_type,project_title,project_abstract,is_pass_through_or_grantmaker,pass_through_keyword_match,start_date,original_end_date,termination_date,reinstatement_date,award_value,award_outlaid,award_remaining,remaining_field,award_id_string,source_url,detail_url,likely_higher_ed,matched_unitid,tracker_institution_name,tracker_city,tracker_state,tracker_control_label,tracker_category,match_method,in_financial_tracker
cdc,cdc_terminations.csv,T42OH008416,T42OH008416,❌ Terminated,currently_disrupted,TRUE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,President and Fellows of Harvard College,Massachusetts,Cambridge,"Junior College, College & University",Harvard TH Chan Education and Research Center for Occupational Safety and Health,,FALSE,,2018-07-01,2028-06-30,2025-05-20,,27663182.98,6999158.65,20664024.33,award_remaining,ASST_NON_T42OH008416_075,https://www.usaspending.gov/award/ASST_NON_T42OH008416_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=T42OH008416&arg_ProgOfficeCode=90,TRUE,166027,Harvard University,Cambridge,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
cdc,cdc_terminations.csv,U19OH008861,U19OH008861,❌ Terminated,currently_disrupted,TRUE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,President and Fellows of Harvard College,Massachusetts,Cambridge,"Junior College, College & University","The Harvard TH Chan School of Public Health Center for Work, Health and Wellbeing",,FALSE,,2016-09-01,2026-08-31,2025-05-20,,23673033.59,5865983.71,17807049.88,award_remaining,ASST_NON_U19OH008861_075,https://www.usaspending.gov/award/ASST_NON_U19OH008861_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U19OH008861&arg_ProgOfficeCode=90,TRUE,166027,Harvard University,Cambridge,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
cdc,cdc_terminations.csv,NU2HGH000007,NU2HGH000007,❌ Terminated,currently_disrupted,TRUE,THE JOHNS HOPKINS UNIVERSITY,The Johns Hopkins University,Maryland,Baltimore,"Junior College, College & University",Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally,,FALSE,,2020-09-30,2026-09-29,2025-03-24,,63251263,53825918.24,9425344.76,award_remaining,ASST_NON_NU2HGH000007_075,https://www.usaspending.gov/award/ASST_NON_NU2HGH000007_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000007&arg_ProgOfficeCode=253,TRUE,162928,Johns Hopkins University,Baltimore,Maryland,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3R01AG075818-04S1,R01AG075818,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF MICHIGAN AT ANN ARBOR,University of Michigan at Ann Arbor,Michigan,Ann Arbor,SCHOOLS OF MEDICINE,Cell Type-Specific Proteins that Promote Resilience to Cognitive Aging and Alzheimer's Disease,"Resilience to brain aging and Alzheimer’s disease (AD) is a phenomenon whereby cognitive functioning is better than predicted based on chronological age, genetic risk and/or advanced neuropathology, likely because of the presence of as yet unidentified protective factors. These factors, once identified, are expected to provide key targets for treatment and prevention of AD. However, significant barriers limit discovery of the genetic mechanisms of resilience using human genetic methods alone, including: difficulties in identifying large numbers of individuals with asymptomatic AD, extracting age and interacting genetic effects from complex human genomes, controlling environmental factors, and obtaining brain tissue from asymptomatic AD cases. Moreover, it is well known that transcript abundance is not sufficient to infer protein abundance, as they differ spatially, temporally, and in response to learning tasks. Yet, our ability to discern how proteomes change across aging and AD progression is limited by the impossibility of longitudinal molecular analyses on human brain tissues, as well as the technology needed to profile cell type-specific proteomes associated with susceptibility versus resilience to AD. To fill these significant technological and knowledge gaps, here we will develop a robust pipeline using the most translationally relevant mouse models of human brain aging and AD (i.e., the AD-BXDs and their non-transgenic Ntg-BXDs controls) to obtain a longitudinal knowledge base of proteomes in specific cell types that we have found to exhibit robust changes in gene expression associated with highly susceptible and highly resilient phenotypes. We will focus on the hippocampus as it is required for spatial memory formation and recall in mice and humans, and hippocampus-dependent memory deficits are common in AD. Indeed, our work and preliminary data suggest that mouse strain differences in the age at onset and progression of cognitive deficits in the AD-BXDs (from extremely susceptible to resilient) result from cell type-specific differences in gene expression in the hippocampus. We will integrate these mouse data with clinical and omics data from NIA-sponsored AMP-AD and Resilience-AD Consortia to identify molecular drivers of cognitive resilience. In Aim 1, we will identify cell type-specific changes in neuron and microglia protein expression associated with resilience to AD using bioorthogonal non-canonical amino acid tagging (BONCAT) in AD-BXDs. In Aim 2, we will translate drivers and molecular networks underlying cognitive resilience to human AD cohorts. In Aim 3, we will leverage the unmatched genetic engineering resources at The Jackson Laboratory to functionally validate ‘in-hand’ resilience candidates by determining their effects on memory, hippocampal neuronal excitability, and synaptic plasticity in CRISPRed AD-BXDs. Using this pipeline, we will thereby discover novel and translationally relevant proteins and complexes for consideration under AMP-AD/TREAT-AD drug discovery pipelines to delay or prevent cognitive symptoms in susceptible AD mice, and ultimately AD patients.",FALSE,,,,2025-04-29,,6411729.66,841555.19,5570174.47,total_estimated_remaining,ASST_NON_R01AG075818_7529,https://www.usaspending.gov/award/ASST_NON_R01AG075818_7529,https://reporter.nih.gov/project-details/11124291,TRUE,170976,University of Michigan-Ann Arbor,Ann Arbor,Michigan,Public,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,3P50MD017348-04S1,P50MD017348,❌ Terminated,currently_disrupted,TRUE,JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,Maryland,Baltimore,SCHOOLS OF MEDICINE,The Mid-Atlantic Center for Cardiometabolic Health Equity (MACCHE),"OVERALL PROJECT SUMMARY The overarching goal of the Mid-Atlantic Center for Cardiometabolic Health Equity (MACCHE) is to test the effectiveness of comprehensive, integrated, and multi-level evidence-based strategies for improving cardiometabolic health outcomes among socially disadvantaged populations in Maryland, using community- based participatory research and patient-centered outcomes research principles, and translate them into clinical and public health practice and policy. We will leverage the existing infrastructure of the Johns Hopkins Center for Health Equity, which has applied a comprehensive approach to health equity for over 10 years, a partnership with the University of Maryland Baltimore, and collaborations with Morgan State University and other institutions in the region. MACCHE will include 3 separate, but related intervention studies addressing disparities in cardiometabolic disease; 3 integrated cores (Administrative, Investigator Development, and Community Engagement); an Executive Committee; and a Community Advisory Board. Study 1 is a randomized trial comparing the effectiveness of an evidence-based pregnancy/postpartum health coaching/home visiting intervention to usual home visiting services in reducing postpartum weight retention among Black and Latinx women at high risk for cardiometabolic health disparities; Study 2 is a randomized trial examining the effectiveness of a multi-level intervention of problem-solving training, community health worker (CHW) support and partnership with community facilities for enhancing cardiorespiratory fitness in adults with low socioeconomic status, diabetes, obesity and asymptomatic cardiac dysfunction; and Study 3 is a cluster- randomized trial testing the effectiveness of a multi-level intervention linking self-monitored blood pressure (BP) with telemonitoring, team-based care with pharmacists and CHWs, and provider-level interventions compared to enhanced usual care, for improving BP control among socially disadvantaged adults with uncontrolled hypertension plus diabetes or chronic kidney disease. The Administrative Core will carry out the overall administration of the grant, providing infrastructure and support for data harmonization, management and analysis, patient recruitment and retention, and intervention adaptation and implementation. The Investigator Development Core will establish a pilot project program for early-stage investigators and create a mentoring network and community for pilot project awardees, to support innovative research related to chronic disease disparities. The Community Engagement Core will implement a shared governance structure to reinforce stakeholder leadership and ownership; advance, facilitate, and evaluate MACCHE’s community- engaged research and investigator development initiatives; and employ community-centered strategies to translate, disseminate, and sustain MACCHE initiatives. The MACCHE will advance the science of cardiometabolic disease disparities and facilitate its translation into clinical and public health practice and policy.",FALSE,,,,2025-03-28,,18927557,13821522,5106035,total_estimated_remaining,ASST_NON_P50MD017348_7529,https://www.usaspending.gov/award/ASST_NON_P50MD017348_7529,https://reporter.nih.gov/project-details/10939514,TRUE,162928,Johns Hopkins University,Baltimore,Maryland,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,5R25MD007607-23,R25MD007607,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF PUERTO RICO MED SCIENCES,University of Puerto Rico Medical Sciences,Puerto Rico,San Juan,SCH ALLIED HEALTH PROFESSIONS,Clinical and Translational Research Education and Career Development at the University of Puerto Rico (CRECD-UPR),"The Clinical and Translational Research Education and Career Development at the University of Puerto Rico (CRECD-UPR) program at the University of Puerto Rico Medical Sciences Campus (UPR-MSC) has a documented track record of increasing the workforce in clinical and translational research on health disparities since 2002. Our program consists of formal didactic research training (Component I) through an established institutionally supported post -doctoral Master of Science in Clinical and Translational Research (MSc). We have already enrolled 112 health professionals from multiple disciplines, including medicine, occupational therapy, audiology, dental medicine, nursing, pharmacy and psychology, among others. During this last cycle of funding, the program supported 46 peer reviewed articles on topics relevant to health disparities such as cancer, HIV/AIDS, diabetes, infant/maternal health, and mental health. The most qualified graduates from Component I compete to receive additional support for pilot projects through Component II. Our graduates have been able to submit and obtain competitive grants from NIH such as K99/R00, R21 and SCORE awards. We also have scholars who have obtained funding from the Department of Justice and Department of Education in addition to the pilot projects awards available from other UPR programs. We will continue our successful Component I program of training scholars through our established MSc as well as our Component II program to provide advanced research skills to those scholars who excel in Component I or who have already had formal clinical and translational research training. Our renewal is innovative as it will focus on the needs identified through ongoing evaluation of the program: improving methodological knowledge and skills and addressing barriers to obtaining K awards. In addition, we will enhance our program with improvements derived from our continuous program evaluation. The main enhancements of this renewal period will be additional trainings in novel methodologies, strengthening our mentoring components, and the establishment of a K club.",FALSE,,,,2025-05-29,,7321444,2881047.68,4440396.32,total_estimated_remaining,ASST_NON_R25MD007607_7529,https://www.usaspending.gov/award/ASST_NON_R25MD007607_7529,https://reporter.nih.gov/project-details/10831854,TRUE,,,,,,,manual_include_unmatched,FALSE
nih,nih_terminations.csv,3U19AI089992-13S1,U19AI089992,❌ Terminated,currently_disrupted,TRUE,YALE UNIVERSITY,Yale University,Connecticut,New Haven,SCHOOLS OF MEDICINE,Immune signatures of vaccine responses in vulnerable populations,"ABSTRACT OF PARENT AWARD: We molecular with These responsiveness. longstanding understudied responsiveness. different deeply mathematical determine effectiveness. shared characterizes development therapeutic propose a deep interrogation and a systems approach that will identify signatures to vaccination across three cohorts of vulnerable patient populations: autoimmune patients B cell depletion, aged and frail individuals, and patients with sickle cell disease who are f unctionally asplenic.  distinct populations share a dysregulated inflammatory milieu that is linked to poor vaccination  We have assembled an interdisciplinary team of investigators with a track record of  and productive ollaborations. We use a systems approach t hat combines well-defined and  cohorts with unbiased large-scale profiling to elucidate signatures defining vaccine This goal wil l be accomplished by 1) examining three vulnerable patient cohorts challenged with  vaccines, i ncluding novel mRNA vaccines nd ne shared vaccine; 2) using shared platforms that  interrogate immune responses f rom blood and limited-access compartments, and 3) refining new  tools for multidimensional analysis of data to identify active pathways and modules and to specific connections among components in the immune network that contribute to differential vaccine This effort capitalizes on recent advances in single-cell and spatial immune profiling methods and immunologic and proteomic platforms to create a novel public resource for vulnerable populations that  diverse states of the human immune system. Integration across our cohorts will support the of molecular signatures of vaccination responses and identify critical pathways relevant to potential strategies.",FALSE,,,,2025-05-16,,10844489.14,6871585.78,3972903.36,total_estimated_remaining,ASST_NON_U19AI089992_7529,https://www.usaspending.gov/award/ASST_NON_U19AI089992_7529,https://reporter.nih.gov/project-details/11163641,TRUE,130794,Yale University,New Haven,Connecticut,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
cdc,cdc_terminations.csv,NU2HGH000069,NU2HGH000069,❌ Terminated,currently_disrupted,TRUE,"OHIO STATE UNIVERSITY, THE","The Ohio State University, the",Ohio,Columbus,"Junior College, College & University","Advancing Ethiopia's Capacity for Laboratory, Workforce Development, Surveillance, and Emergency Management to meet International Health Regulations requirements",,FALSE,,2020-09-30,2026-09-29,2025-03-24,,12758911,9103233.55,3655677.45,award_remaining,ASST_NON_NU2HGH000069_075,https://www.usaspending.gov/award/ASST_NON_NU2HGH000069_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2HGH000069&arg_ProgOfficeCode=253,TRUE,204796,Ohio State University-Main Campus,Columbus,Ohio,Public,"Degree-granting, primarily baccalaureate or above",alias_name_state_fallback,TRUE
nih,nih_terminations.csv,5R25GM064120-20,R25GM064120,❌ Terminated,currently_disrupted,TRUE,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri-Columbia,Missouri,Columbia,SCHOOLS OF ARTS AND SCIENCES,MU PREP Scholars,"PROJECT SUMMARY / ABSTRACT The University of Missouri-Columbia (MU) proposes to identify, provide financial support, and train a total of 35 students from groups dramatically underrepresented in the biomedical sciences in order to prepare them to successfully enter and complete a PhD program in a biomedical or biomedical-related discipline at MU or any other highly competitive research-intensive institution. This proposal presents a coordinated plan to strengthen the research, academic, and personal interaction skills of promising and talented baccalaureate graduates by immersing each Scholar in an independent research project with a faculty mentor and providing a coordinated academic and personal support system. Specific MU PREP components include design and completion of an independent research project; strong research mentoring by committed faculty, aided by prior training of faculty mentors; training in responsible conduct of research and scientific expression; training in critical thinking and analysis; peer and group mentoring; and presentation of their research results at national/international meetings in the discipline. PREP Scholars should thus begin their PhD programs with advanced research skills, with a faculty and peer mentoring system in place, with connections to a broader discipline beyond MU, and with lasting friendships with other graduate students in the life sciences. The MU PREP program will be carefully coordinated with MU's other undergraduate and PhD programs for underrepresented students thereby advancing MU's comprehensive effort to increase the number of scholars from underrepresented populations in the biomedical sciences. Successful parts of this program will be institutionalized and disseminated as a model for other institutions.",FALSE,,,,2025-04-14,,4717386,1273983.18,3443402.82,total_estimated_remaining,ASST_NON_R25GM064120_7529,https://www.usaspending.gov/award/ASST_NON_R25GM064120_7529,https://reporter.nih.gov/project-details/10782468,TRUE,178396,University of Missouri-Columbia,Columbia,Missouri,Public,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
nih,nih_terminations.csv,3UM1TR004360-02S2,UM1TR004360,❌ Terminated,currently_disrupted,TRUE,VIRGINIA COMMONWEALTH UNIVERSITY,Virginia Commonwealth University,Virginia,Richmond,SCHOOLS OF MEDICINE,Wright Regional Center for Clinical and Translational Science,"Summary Project Summary of NCATS Parent Award. Building on the VCU C. Kenneth and Dianne Wright Center for Clinical and Translational Research and its research endowment, the Wright Regional Center for Clinical and Translational Science (Wright Regional CCTS) is a collaboration of partner institutions that serves regions of Virginia and North Carolina, including Eastern Virginia Medical School, a community focused medical school in Norfolk, Virginia with a strong community engaged research program in low income housing; Old Dominion University, a diverse public university in Norfolk Virginia with strengths in machine learning and AI techniques for biomedical data; Virginia Commonwealth University, a public university in Richmond, Virginia which has been a CTSA hub since 2010, with strengths in community engaged research; and Virginia State University, a Historically Black College and University with expertise to advance workforce diversity. The Overall Objective of the Wright Regional CCTS is to advance health equity through actively engaging diverse communities, training a diverse research workforce, and supporting the rapid implementation of innovative clinical and translational science (CTS) with our partners and collaborators and throughout the CTSA program. This will be carried out though the following Specific Aims: Aim 1: Enhance translational research workforce development with a focus on diversity to ultimately enhance recruitment of diverse patient populations into clinical research. Aim 2: Use health outcomes data to develop tools and methods to document differences in health outcomes within the community to support the goal of achieving health equity. Aim 3: Promote protocol review and oversight to enhance the quality of clinical research and reduce the timeline for regulatory approval. Aim 4: Work together across partner and collaborator institutions to use informatics data and tools to promote interoperability of data for high impact clinical research. Aim 5: Build on our existing community engagement and telehealth infrastructure to enhance recruitment of hard-to-reach low income and rural patient populations into clinical research. Impact: The Wright Regional CCTS will build on our strengths in community engaged research to support innovative translational science tools to address health equity in collaboration with our partners and community. We will enhance the diversity and rural impact of our translational research workforce, extend protocol review and oversight processes to improve the quality and efficiency of clinical research, develop innovative methods to engaged hard to reach low-income and rural patient populations in clinical research, and disseminate and implement successful CTS programs in our community and across the CTSA network. This supplement award will advance the objectives of the parent award UM1TR004360 by training a candidate from an underrepresented minority to perform translational research. Dr. Friedman will benefit from a robust career development plan and hands on training in clinical and translational science. He will be integrated into the CCTS SKolar CommuniTy that provides career development training for early career investigators. His research will use genetically diverse mice to study musculoskeletal health and identify common mechanisms of musculoskeletal injury that occur in a diverse population. He will also be trained on how to access clinical data and will use clinical data to help validate this novel pre-clinical model. His research will lead to more equitable health solutions that are applicable to a diverse human population. The research plan, along with the mentoring and training plan will prepare the candidate, Dr. Friedman, for an independent research career. Dr. Friedman’s research program will be the first to use this novel pre-clinical model that accounts for genetic diversity while investigating interventions for preventing musculoskeletal injury. The training program will prepare him to perform community-engaged research and translate results from his research into clinical solutions.",FALSE,,,,2025-05-15,,8370998,5861628,2509370,total_estimated_remaining,ASST_NON_UM1TR004360_7529,https://www.usaspending.gov/award/ASST_NON_UM1TR004360_7529,https://reporter.nih.gov/project-details/10929735,TRUE,234030,Virginia Commonwealth University,Richmond,Virginia,Public,"Degree-granting, primarily baccalaureate or above",normalized_name_city_state,TRUE
