agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
nih,Peking University,,Beijing,Unavailable,TRUE,manual_include_unmatched,10677598.75
nih,Baylor College of Medicine,Texas,Houston,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6781715.96
nih,Icahn School of Medicine at Mount Sinai,New York,New York,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6082372.07966161
nih,Spelman College,Georgia,Atlanta,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,4854705.39
nsf,University of Kansas Center for Research Inc,Kansas,Lawrence,Continuing Grant,TRUE,manual_include_unmatched,4140642.61
nih,University of Texas Health Sciences Center,Texas,San Antonio,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,3968902.83
epa,University of Wisconsin System,Wisconsin,Madison,,TRUE,manual_include_unmatched,3206525.37
nsf,University of Hawaii,Hawaii,Honolulu,Continuing Grant,TRUE,manual_include_unmatched,3111207.2800000003
nsf,University of North Carolina Greensboro,North Carolina,Greensboro,Continuing Grant,TRUE,manual_include_unmatched,3089660.03
nsf,University of Alabama,Alabama,Tuscaloosa,Continuing Grant,TRUE,manual_include_unmatched,2919855.73
nsf,University of Puerto Rico Medical Sciences Campus,Puerto Rico,San Juan,Continuing Grant,TRUE,manual_include_unmatched,2814957.49
cdc,"University of California, San Francisco",California,San Francisco,"Junior College, College & University",TRUE,manual_include_unmatched,2805475.81
nsf,University of The Virgin Islands,Virgin Islands,Charlotte Amalie,Continuing Grant,TRUE,manual_include_unmatched,2178532.08
nsf,CUNY Borough of Manhattan Community College,New York,New York,Continuing Grant,TRUE,manual_include_unmatched,2095291.61
nsf,California Polytechnic State University Foundation,California,San Luis Obispo,Continuing Grant,TRUE,manual_include_unmatched,1884422.9
nsf,University of Alaska Anchorage Campus,Alaska,Anchorage,Continuing Grant,TRUE,manual_include_unmatched,1853520.18
nsf,Hinds Community College-Utica,Mississippi,Raymond,Continuing Grant,TRUE,manual_include_unmatched,1852802.44
epa,University of Wisconsin System,Wisconsin,Milwaukee,State Institution of Higher Learning,TRUE,manual_include_unmatched,1791741.24
nsf,Fielding Graduate University,California,Santa Barbara,Continuing Grant,TRUE,manual_include_unmatched,1680111.29
epa,Texas Tech University System,Texas,Lubbock,State Institution of Higher Learning,TRUE,manual_include_unmatched,1662466.05
nih,Mahidol University,,Nakhon Pathom,Unavailable,TRUE,manual_include_unmatched,1514736
nih,Medical College of Wisconsin,Wisconsin,Milwaukee,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,1492207.94
nsf,University of Puerto Rico,Puerto Rico,San Juan,Continuing Grant,TRUE,manual_include_unmatched,1480771.16
nsf,St. Petersburg College,Florida,Clearwater,Continuing Grant,TRUE,manual_include_unmatched,1418739.09
nsf,Claremont Graduate University,California,Claremont,Continuing Grant,TRUE,manual_include_unmatched,1397175.83
epa,University of Illinois,Illinois,Urbana,State Institution of Higher Learning,TRUE,manual_include_unmatched,1338145.12
nsf,Dona Ana Branch Community College,New Mexico,Las Cruces,Continuing Grant,TRUE,manual_include_unmatched,1327873.46
epa,University of Wisconsin System,Wisconsin,Madison,State Institution of Higher Learning,TRUE,manual_include_unmatched,1323428.39
nih,Wake Forest University Health Sciences,North Carolina,Winston-Salem,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,1279665.11
nsf,"Teachers College, Columbia University",New York,New York,Standard Grant,TRUE,manual_include_unmatched,1267366.4
nsf,University of Central Florida,Florida,Orlando,Continuing Grant,TRUE,manual_include_unmatched,1177951.13
nsf,University of Colorado at Denver-Downtown Campus,Colorado,Denver,Continuing Grant,TRUE,manual_include_unmatched,1159696.34
nsf,Bank Street College of Education,New York,New York,Continuing Grant,TRUE,manual_include_unmatched,1139972.12
nsf,Galveston College,Texas,Galveston,Continuing Grant,TRUE,manual_include_unmatched,1099454.45
nsf,University of Puerto Rico-Rio Piedras,Puerto Rico,San Juan,Standard Grant,TRUE,manual_include_unmatched,1062750.94
nsf,University of Central Florida,Florida,Orlando,Standard Grant,TRUE,manual_include_unmatched,989790.34
nsf,University of Puerto Rico-Arecibo Campus,Puerto Rico,Arecibo,Continuing Grant,TRUE,manual_include_unmatched,982868.16
nih,Utah State Higher Education System--University of Utah,Utah,Salt Lake City,SCH ALLIED HEALTH PROFESSIONS,TRUE,manual_include_unmatched,887977.05
