agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
epa,Climate United Fund,Maryland,Bethesda,Not for Profit,FALSE,unmatched,6970000000
epa,Coalition for Green Capital,District Of Columbia,Washington,Not for Profit,FALSE,unmatched,5122496059.87
epa,"Power Forward Communities, Inc",Maryland,Columbia,Not for Profit,FALSE,unmatched,2000000000
epa,"Inclusiv, Inc",New York,New York,Not for Profit,FALSE,unmatched,1870000000
cdc,Department of State Health Services,Texas,Austin,Health Department,FALSE,unmatched,1148326916.0900002
epa,"Justice Climate Fund, Inc.",District Of Columbia,Washington,Not for Profit,FALSE,unmatched,940000000
cdc,Florida Department of Health,Florida,Tallahassee,Health Department,FALSE,unmatched,841237108.95
cdc,State of Georgia Department of Public Health,Georgia,Atlanta,Health Department,FALSE,unmatched,405142239.90999997
epa,Native Cdfi Network Inc,Nebraska,Grand Island,Not for Profit,FALSE,unmatched,400000000
cdc,Ohio Department of Health,Ohio,Columbus,Health Department,FALSE,unmatched,386873534.22999996
cdc,Indiana Department of Health,Indiana,Indianapolis,Health Department,FALSE,unmatched,372421679.99
epa,Grid Alternatives,California,Emeryville,Not for Profit,FALSE,unmatched,307755523.21000004
cdc,Oklahoma State Department of Health,Oklahoma,Oklahoma City,Health Department,FALSE,unmatched,299398256.72
cdc,Commonwealth of Virginia State Board of Health,Virginia,Richmond,Health Department,FALSE,unmatched,295263252.48
cdc,Missouri Department of Health & Senior Services,Missouri,Jefferson City,Health Department,FALSE,unmatched,289684102.02000004
cdc,Mississippi State Department of Health,Mississippi,Jackson,Health Department,FALSE,unmatched,261311195.8
epa,California Public Utilities Commission,California,San Francisco,State,FALSE,unmatched,249445222.95
epa,New York State Energy Research & Development Authority,New York,Albany,State,FALSE,unmatched,248958707.09
epa,Harris County,Texas,Houston,County,FALSE,unmatched,247780940.06
epa,Inclusive Prosperity Capital Inc,Connecticut,Hartford,Not for Profit,FALSE,unmatched,229657032.66
cdc,Alabama Department of Health,Alabama,Montgomery,Health Department,FALSE,unmatched,222027612.55999997
cdc,Arkansas Department of Health,Arkansas,Little Rock,Health Department,FALSE,unmatched,194838118.49
cdc,Iowa Department of Public Health,Iowa,Des Moines,Health Department,FALSE,unmatched,184409321.54999998
epa,Executive Office of State of Arizona,Arizona,Phoenix,State,FALSE,unmatched,156078188.41
epa,Oficina De Gerencia y Presupuesto,Puerto Rico,San Juan,State,FALSE,unmatched,156021621.92
epa,New Jersey Department of Treasury,New Jersey,Trenton,State,FALSE,unmatched,156014389
epa,Energy Minerals & Natural Resources Department,New Mexico,Santa Fe,State,FALSE,unmatched,155866255.13
epa,Department of Environment & Conservation Tennessee,Tennessee,Nashville,State,FALSE,unmatched,155836699.65
epa,"Commerce, Washington State Department of",Washington,Olympia,State,FALSE,unmatched,155586263.03
epa,Colorado Energy Office,Colorado,Denver,State,FALSE,unmatched,155515450.62
epa,The Virginia Department of Energy,Virginia,Big Stone Gap,State,FALSE,unmatched,155346587.86
epa,"Growth Opportunity Partners, Inc",Ohio,Cleveland,Not for Profit,FALSE,unmatched,155242376.1
epa,Massachusetts Department of Energy Resources,Massachusetts,Boston,State,FALSE,unmatched,155220760.74
epa,Groundswell Inc,District Of Columbia,Washington,Not for Profit,FALSE,unmatched,155057007.41
epa,"Michigan Department of Environment, Great Lakes, and Energy",Michigan,Lansing,State,FALSE,unmatched,154950359.93
epa,North Carolina Department of Environmental Quality,North Carolina,Raleigh,State,FALSE,unmatched,154760079.09
epa,State Environmental Improvement & Energy Resources Authority,Missouri,Jefferson City,State,FALSE,unmatched,154368689.92
epa,Hope Enterprise Corporation,Mississippi,Jackson,Not for Profit,FALSE,unmatched,154163164.7
epa,"Clean Energy Fund of Texas, Inc.",Texas,Missouri City,Not for Profit,FALSE,unmatched,154082357.52
epa,"Solar and Energy Loan Fund of St. Lucie County, Inc.",Florida,Fort Pierce,Not for Profit,FALSE,unmatched,153628952.29
epa,Ohio Air Quality Development Authority,Ohio,Columbus,State,FALSE,unmatched,153438057.87
epa,Oweesta Corp,Colorado,Longmont,Not for Profit,FALSE,unmatched,152557995.03
epa,Nevada Clean Energy Fund,Nevada,Reno,Not for Profit,FALSE,unmatched,152508777.17
epa,State of Louisiana Department of Natural Resources,Louisiana,Baton Rouge,State,FALSE,unmatched,152424005.64
cdc,Utah Department of Health and Human Services,Utah,Salt Lake City,Health Department,FALSE,unmatched,148289581.5
cdc,"Association of Public Health Laboratories, Inc. (the)",Maryland,Bethesda,Planning & Administrative Organizations,FALSE,unmatched,147698915.16
cdc,South Carolina Department of Public Health,South Carolina,Cayce,Health Department,FALSE,unmatched,146243763.44
epa,Illinois Finance Authority,Illinois,Chicago,State,FALSE,unmatched,144353649.51
cdc,Idaho Department of Health & Welfare,Idaho,Boise,Health Department,FALSE,unmatched,134967142.79
epa,The Capital Good Fund Inc,Rhode Island,Providence,Not for Profit,FALSE,unmatched,134328174.29
epa,Three Affiliated Tribes,North Dakota,New Town,Indian Tribe,FALSE,unmatched,133127455.24
epa,Bonneville Environmental Foundation,Oregon,Portland,Not for Profit,FALSE,unmatched,129512303.97999999
epa,"State Treasurer, South Carolina",South Carolina,Columbia,State,FALSE,unmatched,124243000.3
cdc,,,,,,unmatched,118279853.07000001
epa,Indiana Community Action Association Inc,Indiana,Indianapolis,Not for Profit,FALSE,unmatched,116510422.87
epa,West Virginia Office of Energy,West Virginia,Charleston,State,FALSE,unmatched,106138076.17
cdc,South Dakota Department of Health,South Dakota,Pierre,Health Department,FALSE,unmatched,88540198.27
cdc,"Health, Louisiana Department of",Louisiana,New Orleans,Health Department,FALSE,unmatched,86245035.5
epa,Oregon Department of Energy,Oregon,Salem,State,FALSE,unmatched,86074091.75
cdc,Nebraska Department of Health & Human Services,Nebraska,Lincoln,Welfare Department,FALSE,unmatched,84499909.54
cdc,North Dakota Department of Health and Human Services,North Dakota,Bismarck,Health Department,FALSE,unmatched,83556204.96000001
cdc,City of Houston,Texas,Houston,Health Department,FALSE,unmatched,82292260.57
cdc,New Hampshire Department of Health & Human Services,New Hampshire,Concord,Welfare Department,FALSE,unmatched,73038895.13
cdc,Tennessee Department of Health,Tennessee,Nashville,Health Department,FALSE,unmatched,71099992.95
cdc,Department of Health Wyoming,Wyoming,Cheyenne,Health Department,FALSE,unmatched,63704947.49
epa,Department of Commerce Minnesota,Minnesota,Saint Paul,State,FALSE,unmatched,63342570.89
epa,Dept of Energy & Environmental Protection,Connecticut,Hartford,State,FALSE,unmatched,63291805.38
epa,Office of the Governor,Virgin Islands,Frederiksted,State,FALSE,unmatched,62433920.2
epa,Energy & Environment Cabinet,Kentucky,Frankfort,State,FALSE,unmatched,62409293.78
epa,State of Vermont Public Service Department,Vermont,Montpelier,State,FALSE,unmatched,62296890.68
epa,Utah Office of Energy Development,Utah,Salt Lake City,State,FALSE,unmatched,62265014.35
epa,Wisconsin Economic Development Corporation,Wisconsin,Madison,State,FALSE,unmatched,62155094.37
epa,Dena Nena Henash,Alaska,Fairbanks,Indian Tribe,FALSE,unmatched,62092002.02
epa,Hawaii Green Infrastructure Authority,Hawaii,Honolulu,State,FALSE,unmatched,61986182.54
epa,Department of Energy Resources,Maine,Augusta,State,FALSE,unmatched,61916726.92
epa,Alaska Energy Authority,Alaska,Anchorage,State,FALSE,unmatched,61890380.67
epa,Center for Rural Affairs,Nebraska,Lyons,Not for Profit,FALSE,unmatched,61722664.36
epa,Department of Energy and Environment,District Of Columbia,Washington,State,FALSE,unmatched,61658470.81
epa,Midwest Tribal Energy Resources Association Inc,Wisconsin,Milwaukee,Indian Tribe,FALSE,unmatched,61595767.77
epa,Maryland Clean Energy Center,Maryland,College Park,State,FALSE,unmatched,61461101.35
cdc,"Public Health, California Department of",California,Sacramento,Other Health Organization,FALSE,unmatched,59865083.11
cdc,Kansas Department of Health & Environment,Kansas,Topeka,Health Department,FALSE,unmatched,57225530.9
cdc,State of Alaska Department of Health,Alaska,Juneau,Health Department,FALSE,unmatched,51967228.85
cdc,Puerto Rico Department of Health,Puerto Rico,San Juan,Health Department,FALSE,unmatched,49859174.82
epa,State of Rhode Island Office of Energy Resources,Rhode Island,Providence,State,FALSE,unmatched,49241181.5
cdc,State of Mt Dept Health and Human Services,Montana,Helena,Health Department,FALSE,unmatched,48034543.06
samhsa,Texas Health and Human Services Commission,Texas,Austin,Welfare Department,FALSE,unmatched,44361605.27
epa,Executive Office of the State of New Hampshire,New Hampshire,Concord,State,FALSE,unmatched,43272304.77
cdc,"The Task Force for Global Health, Inc.",Georgia,Decatur,Other Special Interest Organization,FALSE,unmatched,35324490.53
cdc,Puerto Rico Department of Health,Puerto Rico,San Juan,Other Health Organization,FALSE,unmatched,32647958.88
samhsa,Georgia Department of Behavioral Health and Developmental Disabilities (Dbhdd),Georgia,Atlanta,Health Department,FALSE,unmatched,31823464.21
samhsa,Department of Behavioral Health and Developmental Services,Virginia,Richmond,Health Department,FALSE,unmatched,30836736.680000003
cdc,World Health Organization,Geneve,Geneve,Other Health Organization,FALSE,unmatched,29905583
cdc,New Hampshire Department of Health & Human Services,New Hampshire,Concord,Health Department,FALSE,unmatched,26803098.71
cdc,"Health and Human Resources, West Virginia Department of",West Virginia,Charleston,Health Department,FALSE,unmatched,26341215.71
samhsa,Ohio State Department of Mental Health and Addiction Services,Ohio,Columbus,Rehabilitation Organization ( Other Than Criminal ),FALSE,unmatched,25452698.56
samhsa,Texas State Dept of Health Services,Texas,Austin,Welfare Department,FALSE,unmatched,24761777.28
epa,Hopi Utilities Corporation,Arizona,Flagstaff,Indian Tribe,FALSE,unmatched,24699100.03
cdc,"Health And Human Resources, West Virginia Department Of",West Virginia,Charleston,Health Department,FALSE,unmatched,24564949.64
cdc,Department of Public Health and Social Services,Guam,Mangilao,Other Health Organization,FALSE,unmatched,23906360.5
samhsa,Indiana Family & Social Services Admin,Indiana,Indianapolis,Other Health Organization,FALSE,unmatched,23723579
nih,"Wits Health Consortium (Pty), Ltd",,Parktown,Unavailable,FALSE,unmatched,22971607.76
epa,Inter-Tribal Council of Michigan Inc,Michigan,Sault Sainte Marie,,FALSE,unmatched,22962051.46
epa,The Trust for Public Land,California,San Francisco,,FALSE,unmatched,22891771.54
samhsa,Ohio State Department of Mental Health and Addiction Services,Ohio,Columbus,Health Department,FALSE,unmatched,22638239.41
epa,Midwest Tribal Energy Resources Association Inc,Wisconsin,Milwaukee,,FALSE,unmatched,21578760.93
epa,City of Houston,Texas,Houston,,FALSE,unmatched,20963454.830000002
epa,City of New Haven,Connecticut,New Haven,,FALSE,unmatched,20920446.53
samhsa,Florida State Department of Children and Families,Florida,Tallahassee,Health Department,FALSE,unmatched,20895135.990000002
cdc,Chicago Department of Public Health,Illinois,Chicago,Planning & Administrative Organizations,FALSE,unmatched,20845262.509999998
epa,National Housing Trust,District Of Columbia,Washington,,FALSE,unmatched,20493452.02
epa,"2cmississippi: Towards Sustainable, Educated and Empowered Mississippi",Mississippi,Ridgeland,,FALSE,unmatched,20081232.96
epa,City of Bakersfield,California,Bakersfield,,FALSE,unmatched,20015714.84
epa,Leech Lake Band of Ojibwe,Minnesota,Cass Lake,,FALSE,unmatched,19998768
epa,Confederated Tribes of Grand Ronde,Oregon,Grand Ronde,,FALSE,unmatched,19986917.35
epa,"Young, Gifted & Green",District Of Columbia,Washington,,FALSE,unmatched,19980143.92
epa,Confederated Tribes and Bands of the Yakama Nation,Washington,Toppenish,,FALSE,unmatched,19980002.23
epa,"Springfield, City of",Massachusetts,Springfield,,FALSE,unmatched,19970950.62
epa,Alaska Native Tribal Health Consortium,Alaska,Anchorage,,FALSE,unmatched,19965596.81
epa,"The Working Lands Trust, Inc.",North Carolina,Gold Hill,,FALSE,unmatched,19963810.65
