UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
100654,72,72,71,33,40,29,31,39,27,2,2,2
100663,89,85,91,23,24,22,22,23,22,1,1,0
100706,74,81,67,28,34,22,28,34,21,0,0,0
100724,98,97,98,15,18,14,14,15,13,2,3,1
100751,79,79,79,23,26,21,23,26,21,0,0,0
100830,97,96,97,16,18,16,16,17,15,1,1,1
100858,71,69,73,27,30,25,27,30,25,0,0,0
100937,66,66,66,15,17,13,15,17,13,0,0,0
101189,65,62,66,20,27,15,19,25,14,1,1,1
101365,94,94,94,69,69,69,19,12,23,50,57,46
101435,69,69,70,15,16,14,15,16,14,0,0,0
101480,76,76,77,23,25,21,22,25,21,0,0,0
101587,74,75,74,31,35,28,31,35,28,0,0,0
101648,45,61,28,44,46,40,44,46,40,0,0,0
101693,64,66,64,22,28,20,22,28,20,0,0,0
101709,90,88,91,14,17,12,13,16,12,0,0,0
101879,90,91,89,33,37,31,32,36,30,1,1,1
101912,72,83,67,45,50,41,44,50,41,1,1,1
102049,84,81,85,26,28,25,26,28,25,0,0,0
102094,71,69,72,21,23,20,21,23,20,0,0,0
102234,72,70,72,14,19,12,14,19,12,0,0,0
102270,76,78,75,15,18,13,12,15,10,3,3,3
102368,95,94,96,25,26,24,21,23,20,4,4,4
102377,34,36,34,19,22,17,19,22,17,0,0,0
102395,100,100,100,100,100,100,15,11,25,85,89,75
102553,69,68,70,42,44,40,28,32,25,14,13,15
102614,65,67,63,75,74,76,59,65,54,15,9,21
102632,56,59,55,57,64,53,43,47,40,15,16,13
102669,96,94,97,8,5,9,7,5,8,1,0,1
104151,88,86,90,26,28,25,26,27,25,0,0,0
104179,87,85,89,20,19,21,14,13,14,6,6,7
104586,74,75,72,28,29,26,28,28,26,0,0,0
104717,83,86,85,25,27,24,22,24,21,3,3,3
105330,78,77,79,16,18,15,14,15,14,2,2,1
105589,99,100,99,25,27,25,25,27,24,1,0,1
105899,76,72,83,34,35,32,33,34,30,1,0,2
106245,58,60,57,22,28,19,20,26,18,2,2,1
106342,27,26,29,21,21,21,21,21,21,0,0,0
106397,83,81,84,34,37,32,34,36,32,0,0,0
106412,68,65,69,21,25,19,19,21,17,3,4,2
106458,63,60,66,35,38,34,33,36,32,2,2,2
106467,94,94,95,24,29,21,23,28,20,1,1,1
106546,0,0,.,.,.,.,.,.,.,.,.,.
106704,92,91,93,33,34,33,33,34,33,0,0,0
106713,62,59,65,64,67,60,63,66,59,1,1,1
107044,54,55,54,63,65,62,62,64,61,0,0,0
107071,75,73,76,23,34,18,23,34,18,0,0,0
107080,68,67,70,19,19,20,19,19,20,0,0,0
107141,53,55,51,39,45,35,39,45,35,0,0,1
107512,74,71,76,25,33,21,25,33,21,0,0,0
107558,55,56,55,19,21,18,19,21,18,0,0,0
107585,100,100,100,54,58,51,44,49,41,10,10,10
107877,64,58,67,25,35,20,25,34,20,0,0,0
107983,63,64,61,36,41,32,36,41,32,0,0,0
108852,90,89,91,37,45,33,37,45,33,0,0,0
109651,76,73,77,36,37,36,36,37,36,0,0,0
109785,94,93,94,17,18,17,17,17,16,0,0,0
110097,61,55,64,25,29,22,24,29,22,0,1,0
110361,64,64,64,23,25,21,22,24,21,1,1,1
110370,78,74,79,9,11,9,9,11,9,0,0,0
110404,4,3,6,53,57,48,53,57,48,0,0,0
110413,82,79,84,15,15,15,15,15,15,0,0,0
110422,33,28,38,27,31,24,27,31,24,0,0,0
110468,100,100,.,0,0,.,0,0,.,0,0,.
110486,85,81,88,11,10,12,11,10,12,0,0,0
110495,95,92,96,17,17,18,16,16,16,1,2,1
110510,91,88,93,17,17,16,16,17,16,1,1,1
110529,61,54,68,14,17,11,14,16,11,0,0,0
110538,85,81,88,11,13,10,11,12,10,0,0,0
110547,90,86,92,14,15,13,13,14,12,1,1,1
110556,97,96,98,23,23,23,21,21,22,2,2,2
110565,59,55,63,16,16,15,15,16,15,1,1,1
110574,82,81,83,8,8,8,8,8,8,0,0,0
110583,47,44,49,15,16,15,15,16,15,0,0,0
110592,91,88,92,15,17,15,15,16,14,1,1,1
110608,88,85,91,23,24,21,22,24,21,0,1,0
110617,94,92,95,17,17,16,16,17,16,0,1,0
110635,14,12,17,43,47,40,42,46,40,0,0,0
110644,49,45,52,18,17,18,17,17,18,0,0,0
110653,29,26,31,21,19,22,21,19,22,0,0,0
110662,11,10,12,44,39,47,44,39,47,0,0,0
110671,65,62,68,15,16,14,15,16,14,0,0,0
110680,34,32,36,19,19,19,19,19,19,0,0,0
110705,29,26,32,16,16,16,16,16,16,0,0,0
110714,59,54,62,12,12,11,11,12,11,0,0,0
110918,100,.,100,0,.,0,0,.,0,0,.,0
111081,29,29,29,30,29,30,30,29,30,0,0,0
111188,82,82,82,24,25,19,24,25,19,0,0,0
111638,100,100,100,100,100,100,100,100,100,0,0,0
111948,60,57,62,18,19,18,18,19,18,0,0,0
111966,63,76,58,2,1,3,2,1,2,0,0,0
112075,81,74,86,13,15,11,13,15,11,0,0,0
112084,53,47,55,10,13,10,10,12,9,0,0,0
112260,11,11,11,57,63,52,57,63,52,0,0,0
112394,51,53,45,29,31,24,21,21,18,9,10,6
113582,100,100,100,100,100,100,75,100,67,25,0,33
113698,93,90,94,13,18,12,13,18,12,0,0,0
114354,36,39,35,54,57,54,53,55,52,2,3,1
114813,78,77,78,28,33,26,27,31,25,1,1,0
115409,10,7,16,48,53,43,48,53,43,0,0,0
115728,95,93,96,15,19,13,14,18,13,0,1,0
115755,91,90,92,10,10,10,9,10,9,0,0,0
117104,94,96,92,70,81,60,66,75,58,4,6,2
117140,72,69,74,19,20,18,19,20,18,0,0,0
117168,83,78,85,25,27,25,25,27,25,0,0,0
117283,36,29,41,24,13,29,24,13,29,0,0,0
117627,66,64,67,16,22,13,14,21,12,1,1,2
117751,67,67,67,48,48,48,32,32,33,16,16,16
117946,46,46,46,18,21,16,18,21,16,0,0,0
118198,96,95,96,85,83,86,85,83,86,0,0,0
118693,70,69,71,10,13,7,10,13,7,0,0,0
118888,80,5,84,6,0,6,6,0,6,0,0,0
119173,90,84,90,24,29,24,24,29,24,0,0,0
119270,79,82,72,42,49,27,35,42,21,7,8,6
119605,55,43,72,45,50,41,13,13,14,32,38,27
119775,61,63,59,13,13,13,12,13,11,1,0,2
120166,45,43,50,11,17,0,11,17,0,0,0,0
120254,38,34,41,22,25,20,22,25,20,0,0,0
120403,80,72,83,14,16,14,14,15,14,0,0,0
120537,40,40,40,36,36,36,36,36,36,0,0,0
120661,99,98,99,68,68,68,68,68,68,0,0,0
120768,13,0,14,33,.,33,0,.,0,33,.,33
120865,58,56,59,19,23,16,18,23,15,0,0,0
120883,79,76,81,9,10,8,9,10,8,0,0,0
121150,53,52,53,16,18,15,16,18,15,0,0,0
121257,18,21,17,53,51,54,53,51,54,0,0,0
121309,84,91,80,26,26,26,26,26,26,0,0,0
121345,7,7,6,58,58,59,58,58,59,0,0,0
121691,83,80,86,16,17,16,16,17,16,0,0,0
122409,38,35,40,21,22,20,20,21,20,0,0,0
122436,53,50,54,15,17,15,15,17,15,0,0,0
122506,46,50,43,25,27,22,25,27,22,0,0,0
122597,93,91,94,12,13,12,11,12,11,1,1,1
122612,71,67,73,9,9,9,9,9,9,0,0,0
122728,78,78,78,36,39,34,33,35,31,3,3,3
122755,84,80,88,16,19,14,16,18,14,1,1,1
122931,54,50,57,17,20,15,17,20,15,0,0,0
123165,30,.,30,38,.,38,38,.,38,0,.,0
123280,100,100,100,60,50,100,60,50,100,0,0,0
123457,67,66,68,21,23,19,17,18,16,4,6,3
