UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
100654,68,66,70,28,36,25,28,35,24,1,1,1
100663,87,83,89,26,26,25,25,26,25,1,1,0
100706,78,82,74,27,32,21,26,32,20,0,0,0
100724,97,95,97,15,18,13,14,18,13,0,0,0
100751,80,79,80,19,20,17,18,20,17,0,0,0
100830,92,92,92,19,21,19,18,19,18,1,2,1
100858,44,44,43,26,30,24,26,30,24,0,0,0
100937,57,58,57,14,18,11,14,18,11,0,0,0
101189,82,83,82,17,21,13,15,20,11,2,1,2
101365,94,94,94,69,69,69,10,2,15,58,67,54
101435,66,67,65,15,18,12,15,18,12,0,0,0
101453,100,100,100,75,67,100,75,67,100,0,0,0
101480,78,78,79,20,23,18,19,22,18,0,0,0
101587,69,67,69,14,19,13,14,18,12,1,1,0
101648,63,66,56,50,50,50,50,50,50,0,0,0
101693,84,83,85,19,26,16,19,26,16,0,0,0
101709,60,59,63,14,19,12,14,19,12,0,0,0
101879,96,96,96,30,31,29,29,30,28,1,1,1
101912,68,66,69,38,48,33,38,47,33,0,1,0
102049,83,79,85,27,25,28,27,25,28,0,0,0
102094,65,65,66,20,20,19,19,20,19,0,0,0
102234,73,75,71,15,18,14,15,18,13,0,0,0
102270,65,62,66,13,17,11,11,14,10,2,3,1
102368,95,94,95,25,27,24,21,22,21,4,5,3
102377,30,30,30,15,20,13,15,20,13,0,0,0
102395,100,100,100,100,100,100,33,0,100,67,100,0
102553,65,65,66,41,44,39,27,31,24,14,13,15
102632,63,70,59,57,62,53,38,46,33,18,16,20
102669,99,98,100,7,6,7,6,6,6,1,1,2
104151,90,88,91,25,26,23,24,25,23,0,0,0
104179,87,85,88,20,19,21,13,13,14,7,7,7
104586,68,68,67,31,32,31,31,32,31,0,0,0
104717,78,83,80,37,38,36,32,34,31,5,4,5
105330,80,79,81,16,17,15,15,17,14,0,0,0
105589,98,100,98,18,26,14,18,26,14,0,0,0
105899,70,67,76,33,30,38,32,30,35,1,0,3
106245,61,63,61,25,30,22,24,29,21,1,2,1
106342,60,58,64,18,17,19,17,17,19,0,0,0
106397,79,77,81,34,38,32,34,38,32,0,0,0
106412,69,67,71,20,26,16,17,22,15,2,4,2
106458,70,66,72,32,30,33,30,28,31,2,2,2
106467,94,94,95,27,31,24,25,30,23,1,1,1
106546,86,50,92,33,0,36,33,0,36,0,0,0
106704,91,90,92,30,32,29,30,32,29,0,0,0
106713,64,67,61,60,64,54,60,64,54,0,0,0
107044,45,46,45,79,80,78,79,80,77,0,0,0
107071,71,68,72,25,31,21,24,30,21,1,1,0
107080,60,57,64,22,24,21,22,24,21,0,0,0
107141,57,62,54,36,40,34,36,39,34,0,0,0
107512,72,67,76,30,32,29,30,32,29,0,0,0
107558,60,57,62,18,20,16,18,20,16,0,0,0
107585,100,100,100,48,53,45,41,44,39,7,8,6
107877,59,56,61,26,26,25,26,26,25,0,0,0
107983,64,64,63,38,44,34,38,44,34,0,0,0
108852,90,89,90,34,35,34,34,35,34,0,0,0
108861,67,73,57,100,100,100,25,38,0,75,63,100
109651,71,61,76,32,44,27,32,44,27,0,0,0
109785,87,86,87,17,16,18,17,15,18,0,0,0
110097,57,54,59,30,33,27,29,32,27,1,1,0
110361,80,78,81,21,23,21,21,22,20,1,0,1
110370,76,71,78,8,10,8,8,10,8,0,0,0
110404,3,2,4,50,55,46,50,55,46,0,0,0
110413,87,86,88,13,14,13,13,14,13,0,0,0
110422,30,25,36,29,32,26,29,32,26,0,0,0
110468,0,0,.,.,.,.,.,.,.,.,.,.
110486,87,85,88,9,8,10,9,8,10,0,0,0
110495,97,96,97,18,17,18,16,15,17,1,1,1
110510,91,89,92,16,17,16,16,16,16,1,1,1
110529,55,48,63,13,17,11,13,16,11,0,0,0
110538,95,94,96,10,11,9,10,11,9,0,0,0
110547,89,87,91,12,13,11,11,12,11,1,1,1
110556,95,95,96,20,19,20,18,18,18,1,1,1
110565,67,64,69,16,17,16,15,16,15,1,1,1
110574,96,96,96,7,8,7,7,8,7,0,0,0
