unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
100654,66,65,67,19,23,17,19,23,17,0,0,0
100663,88,84,91,22,21,22,21,20,22,0,0,0
100706,74,80,69,26,32,19,26,32,19,0,0,0
100724,96,94,96,19,21,18,18,20,17,1,1,1
100751,76,75,77,19,20,18,19,20,18,0,0,0
100830,93,93,92,20,25,18,20,24,18,0,0,0
100858,50,52,49,24,28,22,24,28,22,0,0,0
100937,52,51,53,7,10,5,7,10,5,0,0,0
101189,66,67,65,20,25,16,19,24,14,1,1,2
101365,94,93,95,69,69,69,16,8,17,53,62,52
101435,71,72,69,17,20,14,17,20,14,0,0,0
101453,100,100,100,100,100,100,83,100,67,17,0,33
101480,76,74,77,20,23,18,20,23,18,0,0,0
101587,87,80,92,18,20,17,17,19,16,0,0,0
101648,59,61,55,48,51,42,48,51,42,0,0,0
101693,73,72,74,23,28,20,23,28,20,0,0,0
101709,54,54,56,15,21,12,15,21,12,0,0,0
101879,96,97,96,26,28,25,26,27,25,1,1,1
101912,51,49,52,24,27,22,24,27,22,0,0,0
102049,82,80,83,29,29,29,29,29,29,0,0,0
102094,65,65,66,23,23,23,23,23,23,0,0,0
102234,59,38,73,18,35,13,18,35,12,1,0,1
102270,74,77,73,11,16,8,9,13,8,2,3,1
102298,99,99,99,2,4,2,2,4,2,0,0,0
102368,93,92,93,23,25,22,20,21,19,4,4,4
102377,31,30,32,23,26,22,23,26,22,0,0,0
102395,35,40,17,69,74,25,19,21,0,50,53,25
102553,67,65,67,46,48,44,30,33,28,16,15,16
102632,63,66,61,74,73,74,45,43,46,30,31,29
102669,86,86,86,4,4,4,3,2,3,1,1,0
104151,90,89,91,23,23,22,23,23,22,0,0,0
104179,86,83,88,19,18,20,18,17,19,1,1,1
104586,75,76,74,29,30,25,28,30,25,0,0,1
104717,60,63,59,29,30,29,24,26,24,5,4,5
105330,91,90,92,16,17,15,16,17,15,0,0,0
105589,99,98,99,17,21,15,17,21,15,0,0,0
105899,74,72,78,40,39,42,40,39,42,0,0,0
106245,58,59,57,23,28,19,21,27,18,1,1,1
106342,66,100,100,14,100,100,14,100,100,0,0,0
106397,72,68,74,31,33,30,31,33,30,0,0,0
106412,58,57,58,19,22,17,18,21,16,1,1,1
106458,70,67,73,30,24,35,27,22,32,3,2,3
106467,96,96,97,31,35,28,29,33,26,2,2,2
106546,100,100,100,60,100,50,60,100,50,0,0,0
106704,90,89,91,29,31,28,29,31,28,0,0,0
106713,46,39,56,74,93,57,73,91,56,1,1,1
107044,100,100,100,39,44,36,39,43,36,0,0,0
107071,82,79,84,21,28,16,19,26,15,1,2,1
107080,53,50,56,20,21,19,20,21,19,0,0,0
107141,68,68,68,37,40,35,36,39,34,1,1,1
107512,69,65,71,32,35,30,32,34,30,0,0,0
107558,58,57,59,17,17,17,17,17,17,0,0,0
107585,100,100,100,52,54,51,42,42,43,10,12,8
107877,59,55,61,21,32,16,21,32,16,0,0,0
107983,67,68,66,41,44,38,40,42,38,1,2,0
108092,81,81,82,41,48,37,37,41,35,4,7,2
108852,90,82,92,40,59,34,40,59,34,0,0,0
108861,63,62,64,59,50,67,0,0,0,59,50,67
109651,75,69,78,32,39,29,32,39,29,0,0,0
109785,79,80,79,14,13,14,13,12,14,0,0,0
110097,60,57,62,31,34,29,31,34,29,0,1,0
110361,74,75,73,22,24,21,22,23,20,0,0,0
110370,73,67,76,7,8,7,7,8,6,0,0,0
110404,3,3,4,65,67,62,65,67,62,0,0,0
110413,89,88,90,12,13,11,12,13,11,0,0,0
110422,30,24,35,28,31,26,28,31,26,0,0,0
110468,0,,0,,,,,,,,,
110486,88,87,89,10,9,10,9,9,10,0,0,0
110495,97,97,98,20,20,20,19,19,19,1,1,1
110510,98,98,98,18,18,18,17,17,17,1,1,1
110529,74,68,80,13,15,11,12,15,10,0,0,0
110538,94,93,94,10,11,10,10,11,10,0,0,0
110547,91,89,93,10,10,10,9,9,9,1,1,1
110556,96,96,97,19,19,19,18,17,18,1,1,1
110565,87,86,88,17,18,16,16,16,15,1,1,1
110574,97,97,97,8,8,7,8,8,7,0,0,0
110583,47,42,50,15,16,15,15,16,14,0,0,0
110592,92,91,93,12,14,11,11,13,10,1,1,0
110608,93,92,94,20,21,19,20,21,19,0,0,0
110617,94,93,94,16,17,15,16,16,15,0,1,0
110635,12,9,14,45,49,43,45,49,43,0,0,0
110644,42,36,46,17,16,17,16,16,17,0,0,0
