UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
100654,5289,6628,5529,1632,244,3641,12,1099,4910,1563,190,3157,0,619,69,54,484,12,0,0,85,1,0,2,1,9,1,61,0,0,90,1,0,2,1,5,1,60,0,1,62,0,0,3,0,29,5,69,25,71,4,21,76,3,48,44,8
100663,20850,26322,15674,2223,1896,10955,600,10648,10981,2143,1132,7631,75,4693,80,764,3324,525,0,6,21,4,0,58,4,2,5,63,0,7,24,6,0,55,5,1,3,62,0,6,17,2,0,62,2,3,8,66,30,50,20,20,68,12,45,24,31
100690,550,1087,373,1,320,52,0,714,230,0,202,28,0,143,1,118,24,0,1,1,56,3,0,37,0,2,0,59,0,0,68,3,0,27,0,3,0,67,1,2,49,3,1,42,0,2,0,54,100,0,0,100,0,0,100,0,0
100706,8645,11318,8886,1380,1017,6099,390,2432,7001,1356,731,4902,12,1885,24,286,1197,378,1,4,10,5,0,68,4,5,4,44,1,4,10,6,0,70,4,3,2,42,0,3,9,3,0,60,1,14,8,53,35,61,4,29,68,3,55,34,10
100724,3911,4478,3914,1055,148,2710,1,564,3411,966,140,2304,1,503,89,8,406,0,0,0,90,1,0,4,1,1,1,64,0,0,92,1,0,2,1,1,1,63,0,1,70,1,0,24,1,1,1,68,30,65,5,26,69,5,57,36,7
100751,35095,41992,34611,6625,1695,24644,1647,7381,28652,6569,1040,21000,43,5959,56,655,3644,1604,0,1,11,5,0,74,3,1,3,57,0,1,11,5,0,76,4,1,2,56,0,2,14,5,0,66,2,1,9,63,22,73,5,18,80,2,43,37,20
100760,993,2108,2108,378,136,776,818,0,626,261,47,312,6,1482,117,89,464,812,0,1,17,2,0,73,3,4,1,61,0,1,17,2,0,73,3,4,1,61,.,.,.,.,.,.,.,.,.,.,65,21,14,65,21,14,.,.,.
100812,2253,3792,3521,0,986,2334,201,271,1474,0,542,927,5,2047,0,444,1407,196,1,1,15,4,0,74,3,2,0,68,1,1,14,4,0,75,3,2,0,69,1,0,35,4,0,56,3,1,0,58,58,37,5,55,39,5,100,0,0
100830,4743,6141,5054,735,573,3386,360,1087,3625,679,409,2535,2,1429,56,164,851,358,0,3,43,1,0,43,3,1,6,66,0,3,44,1,0,43,3,1,4,66,0,2,37,1,0,41,1,3,14,63,18,61,21,13,66,22,44,41,15
100858,29525,33175,26057,4459,865,20503,230,7118,23131,4317,779,17939,96,2926,142,86,2564,134,0,2,6,4,0,77,2,0,8,49,0,2,5,4,0,80,3,0,6,48,0,3,8,4,0,65,2,1,18,54,8,26,66,3,31,66,29,8,64
