UNITID,FTE12MN,UNDUP,E12FT,E12PT,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
100654,4944,6681,5460,1221,5663,1680,361,3580,42,1018,4862,1551,300,3011,0,598,801,129,61,569,42,420,0,0,85,1,0,2,1,9,2,60,0,0,89,1,0,2,1,5,1,59,0,1,60,0,0,2,0,32,5,68,6,71,23,4,74,22,17,56,27
100663,20676,25963,16451,9512,15360,2494,1726,10560,580,10603,11061,2422,1118,7462,59,5390,4299,72,608,3098,521,5213,0,6,21,5,0,54,4,4,6,64,0,7,25,7,0,53,5,1,3,62,0,5,16,2,0,55,2,10,10,66,30,49,21,21,66,13,44,24,32
100690,425,916,422,494,351,0,257,94,0,565,206,0,159,47,0,216,145,0,98,47,0,349,1,1,57,3,0,36,0,2,0,58,0,1,68,3,0,26,0,1,0,67,1,2,51,3,0,41,0,2,0,52,100,0,0,100,0,0,100,0,0
100706,8200,11142,7299,3843,8536,1232,875,5978,451,2606,6509,1215,595,4688,11,790,2027,17,280,1290,440,1816,1,4,10,5,0,68,4,5,4,44,1,4,9,6,0,70,4,3,2,42,0,3,11,3,0,62,1,11,9,51,15,65,20,11,73,16,30,36,34
100724,3879,4425,3668,757,3899,1060,186,2652,1,526,3318,922,166,2230,0,350,581,138,20,422,1,176,0,0,90,1,0,4,1,1,2,64,0,0,93,1,0,2,1,1,2,64,0,1,73,1,0,21,1,1,2,70,13,75,12,7,81,12,55,33,12
100751,34949,42327,33049,9278,34616,7702,1948,23428,1538,7711,29005,7639,1269,20012,85,4044,5611,63,679,3416,1453,3667,0,2,12,5,0,73,3,1,3,58,0,1,11,5,0,75,4,1,2,56,0,2,13,5,0,65,2,2,11,64,19,40,41,14,44,42,43,20,36
100760,984,2218,571,1647,2218,382,151,714,971,0,571,244,52,271,4,0,1647,138,99,443,967,0,0,0,19,3,0,73,3,1,0,60,0,0,19,3,0,73,3,1,0,60,.,.,.,.,.,.,.,.,.,.,31,43,26,31,43,26,.,.,.
100812,2188,3844,1466,2378,3466,0,1203,2085,178,378,1425,0,689,732,4,41,2041,0,514,1353,174,337,1,1,15,4,0,73,3,2,0,68,1,1,13,4,0,75,3,2,0,69,2,2,35,5,0,53,2,1,0,60,60,34,6,55,38,7,100,0,0
100830,4707,6309,3900,2409,4796,601,601,2982,612,1513,3257,555,418,2150,134,643,1539,46,183,832,478,870,0,3,41,1,0,39,3,1,12,64,0,3,45,1,0,42,4,1,4,67,0,1,28,1,0,29,1,2,38,54,20,56,24,15,61,25,35,42,23
100858,29585,34568,27412,7156,26978,5374,1466,19501,637,7590,23607,5313,1251,16970,73,3805,3371,61,215,2531,564,3785,0,3,6,4,0,77,3,0,8,50,0,2,5,4,0,81,3,0,5,49,0,3,8,4,0,64,2,1,18,53,10,37,53,4,43,53,31,15,54
100937,1095,1105,1081,24,1105,250,32,808,15,0,1081,250,32,786,13,0,24,0,0,22,2,0,0,3,16,6,0,73,1,0,2,50,0,3,16,6,0,73,1,0,2,50,.,.,.,.,.,.,.,.,.,.,0,15,85,0,15,85,.,.,.
101028,910,1867,596,1271,1867,356,325,763,423,0,596,204,104,260,28,0,1271,152,221,503,395,0,0,1,46,3,0,38,8,4,0,66,0,1,46,3,0,38,8,4,0,66,.,.,.,.,.,.,.,.,.,.,16,48,36,16,48,36,.,.,.
101116,344,655,375,280,568,42,197,307,22,87,329,23,97,208,1,46,239,19,100,99,21,41,0,1,69,2,0,22,0,4,0,81,0,1,70,2,0,21,1,4,1,80,0,1,67,5,0,24,0,3,0,82,44,28,28,40,30,30,71,15,14
101143,1433,2539,1062,1477,2539,601,185,958,795,0,1062,409,101,515,37,0,1477,192,84,443,758,0,1,1,18,6,0,63,5,5,1,51,1,1,18,6,0,63,5,5,1,51,.,.,.,.,.,.,.,.,.,.,29,36,35,29,36,35,.,.,.
101161,5028,9388,3315,6073,9388,1893,751,4036,2708,0,3315,1203,346,1715,51,0,6073,690,405,2321,2657,0,1,1,24,4,0,64,4,2,0,59,1,1,24,4,0,64,4,2,0,59,.,.,.,.,.,.,.,.,.,.,29,37,34,29,37,34,.,.,.
101189,2947,3507,2600,907,2289,268,391,1398,232,1218,1566,204,287,1072,3,1034,723,64,104,326,229,184,1,2,38,3,0,51,2,2,2,59,0,1,40,3,0,49,2,2,3,58,1,2,35,3,0,54,1,3,0,62,47,22,30,39,30,31,63,8,29
101240,3194,5780,2304,3476,5780,1177,531,2925,1147,0,2304,784,262,1224,34,0,3476,393,269,1701,1113,0,0,1,19,6,0,69,3,0,1,60,0,1,19,6,0,69,3,0,1,60,.,.,.,.,.,.,.,.,.,.,30,45,25,30,45,25,.,.,.
101277,74,114,114,0,114,49,0,65,0,0,114,49,0,65,0,0,0,0,0,0,0,0,0,0,0,17,0,82,0,2,0,98,0,0,0,17,0,82,0,2,0,98,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
