UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
100654,5168,6627,5664,5608,1019,1756,300,3604,4,963,5088,1698,255,3134,1,520,576,58,45,470,3,443,0,0,85,1,0,2,1,8,2,60,0,0,90,1,0,2,1,4,1,59,0,1,58,1,0,2,0,32,6,67,6,67,27,4,70,26,18,50,33
100663,20367,25357,14713,16643,8714,2295,1607,10210,601,10644,10878,2236,1069,7527,46,5765,3835,59,538,2683,555,4879,0,7,21,5,0,51,4,4,8,63,0,8,26,7,0,51,5,1,3,62,0,6,15,3,0,51,2,9,15,64,29,51,20,20,68,11,42,26,32
100690,481,870,329,396,474,0,257,71,1,541,198,0,169,29,0,198,131,0,88,42,1,343,1,1,55,3,1,37,0,2,0,55,0,0,67,3,0,26,0,2,0,62,1,1,47,3,1,44,0,2,0,51,100,0,0,100,0,0,100,0,0
100706,7672,10515,8021,6951,3564,1221,863,5564,373,2494,6143,1199,617,4323,4,808,1878,22,246,1241,369,1686,1,4,10,6,0,68,4,4,4,43,1,4,9,7,0,69,5,3,2,41,0,3,10,3,0,63,1,7,13,49,14,61,25,8,71,21,34,31,35
100724,3881,4255,3641,3674,581,1014,158,2466,3,614,3267,1002,153,2112,0,407,374,12,5,354,3,207,0,0,90,1,0,4,1,1,2,65,0,0,92,1,0,2,1,1,2,64,0,1,72,1,0,20,1,1,3,69,6,67,27,4,66,30,18,75,7
100751,35272,42869,35413,33724,9145,8163,1600,23719,1931,7456,29797,8090,1092,20500,115,3927,5616,73,508,3219,1816,3529,0,2,12,6,0,71,3,3,3,58,0,1,12,6,0,72,3,4,1,57,0,2,13,5,0,63,2,2,12,63,19,43,38,14,48,38,43,19,38
100760,1045,2464,2464,609,1855,467,179,673,1145,0,609,305,58,235,11,0,1855,162,121,438,1134,0,0,1,21,4,0,69,4,0,0,60,0,1,21,4,0,69,4,0,0,60,,,,,,,,,,,31,44,25,31,44,25,,,
100812,2233,3945,3394,1452,2493,0,1166,2025,203,551,1389,0,649,732,8,63,2005,0,517,1293,195,488,1,1,16,5,0,72,3,2,0,68,1,0,13,5,0,74,3,2,0,69,1,2,32,4,0,58,2,1,0,62,67,29,5,61,33,6,98,1,0
100830,4563,6464,4496,3684,2780,487,497,2505,1007,1968,2776,432,319,1708,317,908,1720,55,178,797,690,1060,0,2,37,1,0,35,3,1,19,61,0,3,44,2,0,41,4,1,4,68,0,1,22,0,0,21,1,1,54,47,23,53,24,20,56,24,28,47,25
100858,29907,35381,27999,27671,7710,5391,1394,19671,1543,7382,23855,5362,1185,17243,65,3816,4144,29,209,2428,1478,3566,0,3,5,4,0,78,3,0,6,51,0,3,4,4,0,82,3,0,3,50,0,3,8,4,0,63,2,1,19,53,14,31,55,8,36,55,34,11,56
100937,1019,1000,1000,983,17,246,108,637,9,0,983,246,104,626,7,0,17,0,4,11,2,0,0,2,15,6,0,73,1,0,2,48,0,2,15,6,0,73,1,0,2,48,,,,,,,,,,,0,16,84,0,16,84,,,
101028,1031,2283,2283,647,1636,389,298,849,747,0,647,237,109,272,29,0,1636,152,189,577,718,0,0,1,47,1,1,39,9,2,0,66,0,1,47,1,1,39,9,2,0,66,,,,,,,,,,,19,40,41,19,40,41,,,
101116,357,609,539,415,194,38,166,332,3,70,377,28,127,221,1,38,162,10,39,111,2,32,0,0,73,2,0,20,1,3,1,84,0,1,73,2,1,20,1,2,1,84,0,0,74,1,0,20,0,4,0,81,46,32,22,42,34,24,79,19,3
101143,1556,2840,2840,1109,1731,737,250,845,1008,0,1109,472,109,473,55,0,1731,265,141,372,953,0,1,2,19,7,0,62,6,2,1,53,1,2,19,7,0,62,6,2,1,53,,,,,,,,,,,29,37,34,29,37,34,,,
101161,4891,9213,9213,3120,6093,2011,664,3524,3014,0,3120,1378,249,1461,32,0,6093,633,415,2063,2982,0,1,1,23,4,0,64,5,0,0,59,1,1,23,4,0,64,5,0,0,59,,,,,,,,,,,30,35,35,30,35,35,,,
101189,2742,3456,2195,2246,1210,266,393,1323,213,1261,1306,232,255,819,0,940,889,34,138,504,213,321,1,1,35,4,0,51,2,3,3,59,0,1,39,4,0,47,3,3,3,56,1,2,29,3,0,59,2,2,2,63,47,24,29,43,28,29,55,18,27
101240,3217,5878,5878,2458,3420,1351,545,2700,1282,0,2458,978,271,1172,37,0,3420,373,274,1528,1245,0,0,1,18,6,0,68,4,0,1,62,0,1,18,6,0,68,4,0,1,62,,,,,,,,,,,28,47,25,28,47,25,,,
101277,98,79,79,79,0,61,0,18,0,0,79,61,0,18,0,0,0,0,0,0,0,0,0,0,1,18,0,78,0,3,0,99,0,0,1,18,0,78,0,3,0,99,,,,,,,,,,,0,0,100,0,0,100,,,
101286,2648,5259,5259,1509,3750,1077,451,2548,1183,0,1509,587,154,763,5,0,3750,490,297,1785,1178,0,0,1,30,6,0,57,4,1,0,68,0,1,30,6,0,57,4,1,0,68,,,,,,,,,,,19,38,43,19,38,43,,,
101295,4067,8169,8169,2706,5463,1857,772,2969,2571,0,2706,1144,275,1188,99,0,5463,713,497,1781,2472,0,1,1,7,9,0,78,4,0,1,64,1,1,7,9,0,78,4,0,1,64,,,,,,,,,,,22,38,40,22,38,40,,,
101301,1353,2738,2738,661,2077,453,97,683,1505,0,661,321,43,270,27,0,2077,132,54,413,1478,0,0,1,70,2,0,24,3,0,1,60,0,1,70,2,0,24,3,0,1,60,,,,,,,,,,,51,26,24,51,26,24,,,
101365,545,1049,1037,533,516,322,224,490,1,12,522,108,104,310,0,11,515,214,120,180,1,1,0,1,63,2,0,28,2,2,0,78,0,1,63,3,0,29,2,2,0,78,0,0,83,0,0,8,0,8,0,92,32,26,42,31,26,43,100,0,0
101435,788,847,839,819,28,259,148,427,5,8,811,257,131,422,1,8,28,2,17,5,4,0,0,0,19,6,0,66,5,4,0,44,0,0,19,6,0,66,5,3,0,44,0,0,25,0,0,38,0,38,0,50,0,43,57,0,43,57,0,0,100
101453,90,190,95,62,128,4,19,62,10,95,40,4,10,22,4,22,55,0,9,40,6,73,1,2,8,3,0,85,1,0,1,15,1,0,9,5,0,82,1,0,1,15,0,3,7,0,0,88,0,0,1,15,78,16,6,65,24,11,91,8,1
