UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
100654,5586,7120,6197,5914,1206,2103,362,3578,154,923,5406,2047,297,3060,2,508,791,56,65,518,152,415,0,0,85,2,0,2,2,7,3,59,0,0,88,2,0,2,2,4,2,58,0,0,61,0,0,4,0,26,8,66,6,62,33,4,64,32,15,48,37
100663,19920,24893,14093,16358,8535,2168,1508,9754,663,10800,10456,2114,1000,7257,85,5902,3637,54,508,2497,578,4898,0,7,22,6,0,49,4,3,9,62,0,8,27,7,0,48,5,1,3,62,0,6,15,4,0,50,3,5,17,62,30,50,20,21,69,10,41,26,33
100690,529,861,337,389,472,0,287,47,3,524,216,0,185,28,3,173,121,0,102,19,0,351,1,1,56,4,1,36,0,1,0,56,0,1,71,3,0,23,0,1,0,63,2,2,46,4,1,44,0,1,0,52,100,0,0,100,0,0,100,0,0
100706,7294,9916,7625,6609,3307,1207,861,5210,347,2291,5924,1192,611,4116,5,685,1701,15,250,1094,342,1606,1,4,10,6,0,67,4,4,4,42,1,4,10,7,0,68,5,3,1,40,1,3,9,4,0,64,2,5,13,46,13,62,25,8,71,21,30,31,39
100724,3990,4308,3641,3580,728,928,172,2503,38,667,3152,859,144,2149,0,428,489,69,28,354,38,239,0,0,87,1,0,4,1,4,2,64,0,0,88,1,0,2,1,5,2,63,0,1,78,1,0,14,1,1,3,68,12,58,30,5,65,30,50,23,27
100751,36494,43627,36359,34746,8881,8397,1555,24440,1967,7268,30838,8317,1000,21423,98,3908,5521,80,555,3017,1869,3360,0,2,12,7,0,70,3,3,3,58,0,1,12,7,0,71,4,3,1,56,0,2,13,5,0,62,3,1,13,63,19,45,36,14,51,35,44,18,38
100760,1208,2737,2737,642,2095,495,223,787,1232,0,642,307,67,256,12,0,2095,188,156,531,1220,0,0,1,24,5,0,67,3,0,0,62,0,1,24,5,0,67,3,0,0,62,,,,,,,,,,,30,46,24,30,46,24,,,
100812,2270,3925,3361,1448,2477,0,1104,1982,275,564,1364,0,606,745,13,84,1997,0,498,1237,262,480,1,1,16,5,0,70,3,3,0,69,1,1,14,5,0,72,3,3,0,70,1,2,30,4,0,59,2,1,0,64,67,27,5,63,31,6,95,3,2
100830,4575,6526,4200,3595,2931,477,436,2352,935,2326,2594,443,301,1712,138,1001,1606,34,135,640,797,1325,0,3,34,1,0,33,3,2,24,59,0,4,43,2,0,42,5,2,4,66,0,1,19,0,0,16,1,2,60,47,19,53,28,17,56,27,23,47,30
100858,31001,37008,29801,28728,8280,5048,1250,21058,2445,7207,24936,4963,1063,18864,46,3792,4865,85,187,2194,2399,3415,0,3,5,4,0,79,3,0,6,51,0,3,4,4,0,83,3,0,2,50,0,3,8,4,0,62,2,1,20,52,15,32,53,11,37,53,33,14,53
