UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR
100654,198548028,22,38,0,34,0,1,5,7729,13498,0,11935,138,525,1719,215686924,7254,3320,2732,1737,4303,3555,15711,19,9,7,4,11,9,41,71,44,43,57,28,44,3,31,,40,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100663,2175839336,11,17,0,27,7,27,11,12322,18835,0,29743,7155,29561,11612,1799175467,17855,20761,9562,12729,2734,16466,10212,20,23,11,14,3,18,11,64,45,48,71,44,26,0,44,43122,46,35,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840002,94,0,1,2,3,14005,26,147,266,375,7453320,4918,0,0,1350,2153,5668,0,35,0,0,10,15,40,0,74,,,69,76,35,,58,330,66,58,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100706,345708310,20,21,0,39,1,8,11,9420,9779,0,18345,699,3874,5279,294828058,9877,16469,545,2560,2806,3542,4622,24,41,1,6,7,9,11,63,53,37,52,44,47,0,48,15593,68,47,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100724,178489734,22,40,0,26,3,4,5,9820,18000,0,11484,1394,1829,2208,169904929,10723,1446,1979,5045,6843,11177,5370,25,3,5,12,16,26,13,82,45,45,56,53,21,0,45,33884,53,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100733,162374208,0,82,0,0,0,1,16,,,,,,,,160859854,,,,,,,,0,0,0,0,0,15,85,,,,,,70,0,10,,14,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100751,1612311257,32,14,0,14,3,22,14,14144,6300,0,6054,1485,9841,6356,1194456940,9728,6213,2073,3676,2275,3939,4826,30,19,6,11,7,12,15,54,44,50,43,41,44,0,40,42908,54,38,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100760,28590861,11,38,0,35,1,0,15,2577,9023,0,8183,322,21,3543,24905583,8630,0,0,757,2672,4551,4007,42,0,0,4,13,22,19,56,,,74,57,35,0,41,126,55,41,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100812,64273052,25,52,0,19,0,3,1,7102,14855,0,5270,0,906,182,48067215,9527,0,0,2015,1733,4313,3588,45,0,0,10,8,20,17,68,,,58,65,41,0,50,3095,61,50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100830,117846119,35,36,0,12,1,7,8,8932,9299,0,3203,338,1883,2103,97913366,7192,183,1052,1719,2603,3509,5144,34,1,5,8,12,16,24,72,38,60,62,50,44,14,49,14971,64,48,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
