UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,BAGR100,BAGR150,BAGR200,L4GR100,L4GR150,L4GR200        
100654,28,23,32,0,0,0,0,28,22,30,32,0,25,34,11,24,28,23,32,0,0,0,0,28,22,30,32,0,25,34,28,28,32,32,27,27,8,30,33,.,.,.
100663,62,58,65,60,84,84,.,56,58,63,50,100,60,18,42,58,62,58,65,60,84,84,.,56,57,63,50,100,60,18,51,51,56,57,72,72,40,63,66,.,.,.
100690,44,40,50,.,.,.,.,29,.,100,.,.,.,56,67,67,67,67,67,.,.,.,.,50,.,100,.,.,.,33,38,60,.,.,100,100,50,50,50,.,.,.
100706,61,56,68,67,81,81,.,48,64,61,60,44,81,24,35,57,61,56,68,67,81,81,.,48,64,61,60,44,81,24,48,48,49,49,68,68,27,58,61,.,.,.
100724,28,23,32,0,33,33,.,28,43,36,6,38,29,36,10,23,28,23,32,0,33,33,.,28,43,36,6,38,29,36,26,26,40,40,32,32,16,33,34,.,.,.
100751,72,70,74,62,78,79,63,57,66,75,66,67,74,19,53,69,72,70,74,62,78,79,63,57,66,75,66,67,74,19,55,55,67,67,78,78,50,71,72,.,.,.
100760,22,24,20,.,0,0,.,25,50,20,67,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,17,.,31,.,.,.,.,15,19,21
100830,36,33,37,40,18,22,0,33,25,39,23,.,45,34,13,30,36,33,37,40,18,22,0,33,25,39,23,.,45,34,31,31,32,32,43,43,9,34,37,.,.,.
100858,81,77,84,79,83,83,100,69,76,82,68,71,75,13,55,77,81,77,84,79,83,83,100,69,76,82,68,71,75,13,66,66,78,78,84,84,51,79,81,.,.,.
100937,70,64,76,50,80,80,.,58,60,71,71,.,.,25,65,69,70,64,76,50,80,80,.,58,60,71,71,.,.,25,57,57,66,66,76,76,61,69,69,.,.,.
101028,16,14,17,.,100,100,.,14,12,17,40,0,.,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,21,.,.,.,.,13,22,25
101116,11,0,14,.,.,.,.,6,0,22,.,.,.,.,9,14,14,0,16,.,.,.,.,7,0,33,.,.,.,.,10,12,0,0,25,50,0,0,0,.,.,.
101143,30,29,31,0,30,30,.,28,32,30,36,.,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,32,.,.,.,.,21,26,29
101161,25,26,25,47,15,18,0,22,25,26,32,10,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,.,50,.,28,.,.,.,.,14,19,20
101189,19,17,21,.,29,25,33,13,0,21,33,25,57,12,12,17,17,15,19,.,29,25,33,12,0,18,33,25,57,12,12,10,36,34,23,22,14,32,34,.,.,.
101240,27,31,24,29,50,50,.,19,34,29,13,0,43,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,.,.,.,16,.,.,.,.,12,27,34
101277,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,.,100,.,33,.,.,.,.,46,83,83
101286,26,30,23,40,25,25,.,26,19,27,18,33,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,49,.,.,.,.,16,29,41
101295,45,47,42,38,67,67,.,30,60,45,0,38,0,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,.,30,.,58,.,.,.,.,31,45,48
101301,35,34,36,0,.,.,.,38,.,25,0,0,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,.,.,.,28,.,.,.,.,26,34,42
101365,39,39,40,.,.,.,.,40,0,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,60,.,75,.,0,0,0,.,.,.
101435,44,39,52,100,0,0,.,45,31,47,35,20,.,.,33,41,44,39,52,100,0,0,.,45,31,47,35,20,.,.,44,44,48,48,41,41,41,49,49,.,.,.
101453,0,0,.,.,.,.,.,.,.,0,.,.,.,.,0,0,0,0,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0,0,0,0,33,33,.,.,.
101462,14,11,19,.,0,0,.,16,25,5,33,0,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,13,.,.,.,.,4,7,11
101471,22,23,19,0,.,.,.,22,50,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,17,.,.,.,.,11,21,40
101480,50,42,56,60,44,50,0,38,56,53,.,58,31,27,26,44,50,42,56,60,44,50,0,38,56,53,.,58,31,27,41,41,51,51,58,58,20,41,45,.,.,.
101505,21,18,24,0,25,25,.,15,7,26,16,.,0,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,12,.,23,.,.,.,.,7,16,21
101514,32,34,31,44,36,36,.,23,29,34,28,50,33,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,.,25,.,42,.,.,.,.,17,29,37
101569,25,29,22,0,100,100,.,22,28,44,22,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,41,.,.,.,.,11,21,27
101587,39,31,48,0,50,100,0,34,25,44,11,57,38,36,26,35,37,30,45,0,50,100,0,31,27,43,11,50,38,37,35,32,44,42,43,44,21,35,36,.,.,.
101602,41,49,37,67,8,8,.,11,17,61,33,33,.,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,60,.,.,.,.,25,33,52
101648,35,35,35,0,0,0,.,54,24,35,24,.,.,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,.,29,.,35,.,.,.,.,41,41,41
101675,24,17,32,.,0,0,.,24,14,38,0,.,.,.,14,22,24,17,32,.,0,0,.,24,14,38,0,.,.,.,23,23,29,29,30,30,13,25,27,.,.,.
101693,51,44,56,80,33,33,.,24,100,59,40,83,36,.,36,49,51,43,56,80,33,33,.,24,100,58,40,100,36,.,43,43,60,60,56,55,38,55,57,.,.,.
101709,52,46,54,50,67,67,.,59,57,49,73,67,40,28,34,49,52,46,54,50,67,67,.,59,57,49,73,67,40,28,51,51,44,44,55,55,33,55,56,.,.,.
101736,26,31,23,38,0,0,.,18,19,28,50,13,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,30,.,34,.,.,.,.,12,25,31
