unitid,GRRTTOT,GRRTM,GRRTW,GRRTWH,GRRTBK,GRRTHS,GRRTAP,GRRTAS,GRRTNH,GRRTAN,GRRTUN,GRRTNR,GRRT2M,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTWH,GBA6RTBK,GBA6RTHS,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTAN,GBA6RTUN,GBA6RTNR,GBA6RT2M,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
100654,29,22,33,21,28,38,67,50,100,50,43,56,21,31,15,25,29,22,33,21,28,38,67,50,100,50,43,56,21,31,29,29,30,30,27,27
100663,63,57,66,63,55,47,87,87,,67,56,82,55,20,43,59,62,57,66,63,55,47,87,87,,67,56,82,55,20,54,53,55,55,72,72
100690,40,33,50,,40,,,,,,,,,20,40,40,40,33,50,,40,,,,,,,,,20,40,40,,,,
100706,62,58,68,63,43,62,72,74,0,64,,85,53,20,41,57,62,58,68,63,43,62,72,74,0,64,,85,53,20,49,49,55,55,70,70
100724,30,24,34,38,29,60,67,100,0,0,29,71,25,33,13,25,30,24,34,38,29,60,67,100,0,0,29,71,25,33,28,28,39,39,0,0
100751,74,71,76,76,62,64,67,66,83,74,79,73,72,18,56,71,74,71,76,76,62,64,67,66,83,74,79,73,72,18,59,59,72,72,78,78
100760,24,22,25,25,25,33,0,0,,,0,,17,24,,,,,,,,,,,,,,,,,23,,,,25,
100830,36,27,41,37,34,20,31,33,0,50,67,47,30,29,14,29,36,27,41,37,34,20,31,33,0,50,67,47,30,29,31,31,45,45,40,40
100858,79,76,82,81,68,72,77,77,50,81,75,69,76,13,57,76,79,76,82,81,68,72,77,77,50,81,75,69,76,13,67,67,79,79,82,82
100937,64,53,77,71,31,80,50,50,,100,0,,20,26,56,63,64,53,77,71,31,80,50,50,,100,0,,20,26,48,48,67,67,71,71
101028,36,46,30,42,29,58,100,100,,,34,,11,20,,,,,,,,,,,,,,,,,28,,50,,47,
101116,15,50,0,33,13,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,0,,,,0,0,50,0,50,0
101143,29,33,26,30,27,31,,,,0,32,,23,26,,,,,,,,,,,,,,,,,25,,50,,34,
101161,26,26,27,29,22,26,20,20,,29,18,0,26,24,,,,,,,,,,,,,,,,,24,,,,29,
101189,38,34,41,45,24,40,50,100,0,,0,38,38,36,20,33,37,33,40,43,24,40,0,,0,,0,38,38,36,30,30,44,40,51,50
101240,32,40,26,33,25,45,100,100,,0,100,20,32,11,,,,,,,,,,,,,,,,,30,,,,36,
101277,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,100,,0,
101286,27,30,24,30,18,35,,,,,30,0,13,24,,,,,,,,,,,,,,,,,24,,,,30,
101295,48,53,46,49,32,52,33,33,,29,33,67,52,14,,,,,,,,,,,,,,,,,42,,53,,55,
101301,39,45,35,21,44,100,,,,,,,50,8,,,,,,,,,,,,,,,,,42,,,,29,
101365,25,100,14,,29,0,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,29,0,0,,,
101435,47,39,55,53,41,33,0,0,0,,25,0,32,,39,46,47,39,55,53,41,33,0,0,0,,25,0,32,,41,41,51,51,52,52
