UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
100654,24,20,27,33,33,50,0,23,64,29,29,26,33,33,12,20,24,20,27,33,33,50,0,23,64,29,29,26,33,33,23,23,36,36,23,23
100663,64,59,67,43,82,82,,56,57,65,57,86,74,19,44,60,64,59,67,43,82,82,,56,57,65,57,86,74,19,55,55,63,63,72,72
100690,100,,100,,,,,100,,,,,,,100,100,100,,100,,,,,100,,,,,,,100,100,,,,
100706,64,63,66,80,85,85,,40,57,66,63,68,74,19,42,58,64,63,66,80,85,85,,40,57,66,63,68,74,19,53,53,56,56,70,70
100724,30,23,34,0,0,0,,31,36,27,21,12,63,35,15,26,30,23,34,0,0,0,,31,36,27,21,12,63,35,28,28,39,39,36,36
100751,73,70,76,72,81,83,50,60,63,76,69,79,52,17,57,70,73,70,76,72,81,83,50,60,63,76,69,79,52,17,63,63,70,70,77,77
100760,33,31,35,,0,0,,45,20,32,0,,,37,,,,,,,,,,,,,,,,,24,,,,42,
100830,33,31,33,20,36,36,,30,0,36,13,9,51,32,22,31,33,31,33,20,36,36,,30,0,36,13,9,51,32,30,30,37,37,36,36
100858,82,79,85,94,82,82,100,67,77,83,73,100,63,12,61,79,82,79,85,94,82,82,100,67,77,83,73,100,63,12,70,70,79,79,85,85
101028,36,33,39,,100,100,100,32,33,38,40,25,,25,,,,,,,,,,,,,,,,,34,,33,,41,
101116,9,,9,,,,,10,,0,,,,,14,14,14,,14,,,,,17,,0,,,,,11,17,0,,0,0
101143,42,47,36,67,40,40,,22,46,45,53,44,0,19,,,,,,,,,,,,,,,,,36,,50,,50,
101161,31,29,33,29,20,20,,28,29,33,31,25,0,25,,,,,,,,,,,,,,,,,29,,,,34,
101189,37,28,49,,20,25,0,13,0,50,33,0,33,37,26,37,38,29,50,,20,25,0,14,0,51,36,0,33,36,29,30,46,47,49,49
101240,38,45,32,33,100,100,,40,42,36,48,100,43,10,,,,,,,,,,,,,,,,,23,,,,66,
101277,31,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,32,,33,,25,
101286,35,39,32,50,0,0,,20,47,38,41,50,,16,,,,,,,,,,,,,,,,,17,,,,57,
