UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
100654,79026,105789,90585,80647,44626,.,.,689,243,240,3,0,12,6,6,74,25,27,104,2,202,48,1,132,10,11
100663,104003,148552,98432,81175,70632,.,.,9216,2749,2749,0,0,275,27,248,455,1153,1786,340,544,1914,677,0,863,306,68
100690,41578,51191,34304,38629,35025,.,.,69,37,37,0,0,8,2,6,0,7,5,0,0,12,0,0,10,2,0
100706,88375,130351,94722,79270,68481,54688,.,1525,417,417,0,0,12,9,3,109,96,524,98,4,265,92,0,163,9,1
100724,69310,85327,71951,62816,50973,.,31374,800,258,252,6,0,105,22,83,49,39,38,80,4,227,91,6,91,36,3
100733,.,.,.,.,.,.,.,86,0,0,0,0,0,0,0,18,19,1,23,0,25,2,0,23,0,0
100751,94993,151945,98157,79271,56815,141956,.,6399,1785,1713,72,0,224,58,166,584,581,461,608,249,1907,693,23,845,229,117
100760,59599,.,.,.,.,.,59599,149,62,62,0,0,13,3,10,17,6,1,3,0,47,18,0,29,0,0
100812,79051,92439,80334,67012,74001,.,.,290,114,114,0,0,34,4,30,41,12,14,21,0,54,7,0,37,9,1
100830,71193,91250,72288,67762,44570,48250,89828,642,268,258,0,10,41,18,23,83,28,42,54,5,121,33,3,83,0,2
100858,99349,138814,100242,85134,50825,62308,38036,5902,1807,1529,63,215,198,60,138,555,506,677,669,31,1459,373,4,624,396,62
100937,68762,77260,73275,63271,30000,50658,.,286,108,108,0,0,20,6,14,34,7,8,47,5,57,16,0,30,10,1
101028,58069,.,.,.,.,.,58069,140,70,70,0,0,8,3,5,10,1,1,3,0,47,9,0,36,2,0
101116,45547,.,.,.,45547,.,.,42,19,19,0,0,11,1,10,6,1,0,0,0,5,2,0,3,0,0
