UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
100654,77824,102214,88296,76444,55595,.,70646,817,300,295,5,0,12,6,6,76,24,31,114,5,255,57,1,161,17,19
100663,106434,151890,101924,82764,72618,.,.,9452,2823,2823,0,0,296,33,263,468,1208,1910,348,525,1874,689,0,820,294,71
100690,36637,44739,32547,30773,29520,.,.,63,32,32,0,0,8,2,6,0,7,5,0,0,11,0,0,9,2,0
100706,92561,137427,98415,84810,71344,55836,.,1547,426,426,0,0,25,10,15,106,102,502,106,4,276,108,0,162,6,0
100724,72635,89485,77748,66413,49059,.,33257,818,248,245,3,0,119,25,94,45,38,43,95,10,220,89,6,86,34,5
100733,.,.,.,.,.,.,.,89,0,0,0,0,0,0,0,19,19,1,22,0,28,2,0,26,0,0
100751,97394,157049,101401,81339,60238,.,.,6489,1805,1740,65,0,220,49,171,598,617,489,600,251,1909,686,27,848,229,119
100760,63494,.,.,.,.,.,63494,153,65,65,0,0,12,3,9,20,6,2,3,0,45,17,0,28,0,0
100812,81402,95618,84539,69609,67122,.,.,293,120,120,0,0,39,5,34,40,16,13,19,0,46,5,0,29,12,0
100830,75664,94465,76636,71206,46840,51864,100278,638,273,265,0,8,28,14,14,94,24,40,56,4,119,29,1,86,0,3
100858,104085,144633,105564,89411,57191,66093,38991,5968,1795,1522,65,208,210,63,147,592,515,672,697,38,1449,393,2,606,395,53
100937,63170,69201,63627,66536,.,48073,.,278,103,103,0,0,18,6,12,31,4,7,54,4,57,17,0,31,8,1
101028,61090,.,.,.,.,.,61090,137,61,61,0,0,9,3,6,11,1,1,2,0,52,10,0,41,1,0
101116,49688,.,.,.,49688,.,.,43,21,21,0,0,11,0,11,5,1,0,0,0,5,2,0,3,0,0
101143,83100,.,.,.,83100,.,.,168,82,82,0,0,7,0,7,8,6,3,6,0,56,13,0,40,1,2
101161,68532,.,.,.,.,.,68532,489,268,268,0,0,62,4,58,35,15,6,16,0,87,32,0,52,2,1
101189,58093,73829,76812,56414,41322,17744,.,366,180,180,0,0,41,10,31,25,4,2,62,0,52,12,0,40,0,0
101240,64165,.,.,.,.,.,64165,406,162,162,0,0,27,4,23,40,9,15,25,1,127,32,0,77,18,0
101277,.,.,.,.,.,.,.,7,4,4,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
101286,62688,.,.,.,.,.,62688,295,142,142,0,0,46,6,40,19,4,7,5,0,72,13,0,53,2,4
101295,63207,.,.,.,.,.,63207,363,184,184,0,0,15,4,11,26,6,7,8,0,117,19,0,83,15,0
101301,57789,.,.,.,.,.,57789,152,56,56,0,0,8,0,8,27,2,1,10,0,48,11,0,35,1,1
101365,59623,108425,.,58654,53619,.,.,39,20,20,0,0,13,0,13,2,0,1,0,0,3,0,0,3,0,0
101435,67281,85219,68540,64124,49215,.,.,177,55,55,0,0,18,4,14,18,1,1,56,1,27,10,2,9,6,0
101453,46812,46516,49673,.,44840,.,.,38,9,9,0,0,1,1,0,12,1,1,5,0,9,2,0,7,0,0
101462,57652,.,.,.,.,.,57652,86,37,37,0,0,9,2,7,12,7,4,1,0,16,3,0,13,0,0
101471,43404,.,.,.,.,.,43404,167,82,82,0,0,27,0,27,17,7,2,5,0,27,0,0,24,3,0
101480,67734,84394,72972,62664,53035,.,.,1079,409,409,0,0,44,0,44,98,34,43,131,0,320,145,0,129,40,6
101505,67264,.,.,.,.,.,67264,459,204,204,0,0,52,6,46,14,17,7,16,0,149,37,0,106,6,0
101514,65293,.,.,.,.,.,65293,512,229,229,0,0,36,3,33,36,7,25,35,0,144,27,0,110,7,0
