UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,77455,103687,88843,75558,53503,,82797,852,309,304,5,0,17,6,11,91,23,35,114,3,260,56,0,165,18,21
100663,109835,155681,105925,86014,73354,,,9817,2906,2906,0,0,310,40,270,475,1286,2028,375,573,1864,712,0,783,288,81
100690,45241,57466,41892,31486,28945,,,62,31,31,0,0,8,2,6,0,7,5,0,0,11,0,0,11,0,0
100706,93961,139340,95968,87245,72121,56057,,1492,433,433,0,0,29,10,19,106,93,457,111,3,260,102,0,151,7,0
100724,72136,88406,75223,66538,49646,,35356,814,251,243,8,0,118,21,97,45,38,38,95,8,221,86,6,91,38,0
100733,,,,,,,,96,0,0,0,0,0,0,0,19,21,4,24,0,28,2,0,26,0,0
100751,100270,163211,106073,81634,62307,,,6746,1883,1804,79,0,233,47,186,601,661,511,641,256,1960,707,31,864,234,124
100760,61724,,,,,,61724,154,69,69,0,0,7,1,6,18,6,2,2,0,50,16,0,34,0,0
100812,84538,102123,83179,73189,62319,,,295,121,121,0,0,43,6,37,36,19,13,18,0,45,6,0,29,10,0
100830,79442,102080,81873,74514,,51493,59258,647,270,263,0,7,33,12,21,78,25,39,60,2,140,43,0,94,0,3
100858,106806,147345,108785,91431,60685,68065,42161,6328,1840,1553,80,207,222,64,158,647,587,740,753,38,1501,442,2,587,412,58
100937,59270,71001,64415,65713,,40856,,244,80,80,0,0,14,5,9,30,6,7,55,4,48,15,0,24,8,1
101028,56414,,,,,,56414,138,60,60,0,0,8,2,6,13,1,1,2,0,53,11,0,41,1,0
101116,55379,,,,55379,,,41,18,18,0,0,13,1,12,5,1,0,0,0,4,2,0,2,0,0
101143,85116,,,,85116,,,180,89,89,0,0,12,1,11,8,6,3,6,0,56,11,0,42,1,2
101161,70561,,,,,,70561,504,265,265,0,0,61,2,59,37,8,7,21,0,105,35,0,66,2,2
101189,58925,76300,75138,58725,45509,18023,24064,382,182,182,0,0,42,11,31,29,5,9,62,1,52,13,0,39,0,0
101240,65247,,,,,,65247,419,172,172,0,0,28,4,24,39,11,17,25,1,126,31,0,73,22,0
101277,,,,,,,,11,6,6,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0
101286,63453,,,,,,63453,310,141,141,0,0,42,6,36,22,4,8,5,0,88,16,0,67,2,3
101295,64349,,,,,,64349,374,186,186,0,0,13,4,9,29,5,7,9,0,125,20,0,85,20,0
101301,61010,,,,,,61010,171,61,61,0,0,13,0,13,31,1,1,11,0,53,12,0,40,1,0
101365,60696,111678,,60643,54357,,,34,18,18,0,0,10,0,10,2,0,1,0,0,3,0,0,3,0,0
101435,69508,87760,54468,65555,49368,,,180,54,54,0,0,12,4,8,18,5,3,62,6,20,8,2,5,5,0
101453,49400,50259,49673,,47975,,,37,9,9,0,0,1,1,0,12,1,1,5,0,8,2,0,6,0,0
101462,58591,,,,,,58591,93,38,38,0,0,8,2,6,14,7,4,1,0,21,3,0,18,0,0
101471,,,,,,,,171,76,76,0,0,32,0,32,17,5,3,4,0,34,0,0,30,4,0
101480,69713,86487,74640,64035,54579,,,1091,406,406,0,0,49,0,49,99,32,45,140,0,320,144,0,127,40,9
101505,68001,,,,,,68001,452,206,206,0,0,55,6,49,15,15,7,15,0,139,35,0,100,4,0
101514,66765,,,,,,66765,528,240,240,0,0,40,3,37,38,6,25,30,0,149,29,0,110,10,0
101569,66496,,,,,,66496,241,110,110,0,0,14,2,12,23,5,4,10,0,75,18,4,50,3,0
101587,68871,86668,71556,63685,53487,35882,64071,501,194,194,0,0,6,6,0,65,4,10,43,9,170,58,0,91,20,1
101602,60025,,,,,,60025,138,72,72,0,0,9,4,5,11,6,2,8,0,30,6,0,24,0,0
101648,64467,,,,,,64467,106,25,25,0,0,2,0,2,7,36,0,0,0,36,11,0,23,2,0
101675,48800,62904,57262,51264,43393,,,230,88,88,0,0,2,2,0,30,4,2,57,2,45,25,0,18,2,0
101693,52284,55441,54125,51277,43160,,26000,225,103,103,0,0,2,2,0,19,11,2,44,2,42,11,0,31,0,0
101709,76937,91915,76442,71751,54761,,,548,179,179,0,0,32,8,24,50,30,22,84,7,144,71,0,55,18,0
101736,63530,,,,,,63530,292,111,111,0,0,39,3,36,39,9,6,27,0,61,17,0,43,0,1
101879,81492,100860,83231,73258,41927,65041,64480,907,394,394,0,0,84,14,70,66,36,32,76,17,202,73,0,104,19,6
101897,66838,,,,,,66838,202,92,92,0,0,25,1,24,20,2,4,1,0,58,10,0,46,2,0
101912,52221,57326,51307,50749,,,,270,123,120,3,0,33,6,27,34,14,4,10,1,51,23,0,24,3,1
101994,63174,,,,,,63174,63,22,22,0,0,5,0,5,4,5,1,1,0,25,3,0,20,2,0
102030,66489,,,,,,66489,242,102,102,0,0,21,1,20,12,13,3,9,0,82,11,0,64,7,0
102049,88449,106046,85698,76418,62010,,,1053,431,431,0,0,29,29,0,66,70,50,162,38,207,30,0,155,21,1
102058,,,,,,,,18,9,9,0,0,6,0,6,0,1,0,0,0,2,2,0,0,0,0
102067,65398,,,,,,65398,349,147,147,0,0,3,0,3,65,1,10,4,0,119,14,0,88,17,0
102076,68839,,,,,,68839,147,68,68,0,0,2,2,0,19,5,5,7,0,41,14,0,26,1,0
102094,70416,91132,74827,65751,51885,,,2222,937,914,23,0,234,32,202,172,147,112,95,28,497,150,3,231,105,8
102234,50776,71123,49030,43848,50000,,34333,218,89,89,0,0,5,2,3,20,5,5,34,0,60,24,0,35,1,0
102270,48735,41400,50652,57853,34134,,,168,60,60,0,0,4,4,0,21,2,4,23,0,54,39,1,14,0,0
102298,53557,,57433,53986,44778,,,240,51,51,0,0,4,4,0,77,3,3,33,1,68,25,0,26,17,0
102313,64068,,,,,,64068,158,73,73,0,0,9,2,7,14,6,2,0,0,54,5,0,45,4,0
102368,67221,82157,72696,68703,,53446,62075,1649,608,608,0,0,216,12,204,144,56,65,204,8,348,53,26,261,3,5
102377,65209,83159,66928,51376,45887,,,641,269,238,20,11,32,17,15,67,55,25,26,27,140,50,0,64,21,5
102395,67064,81051,63750,61022,40500,,,63,18,18,0,0,13,1,12,8,2,7,6,0,9,0,0,7,1,1
102429,68451,,,,,,68451,350,126,126,0,0,73,8,65,36,5,7,31,0,72,21,0,38,12,1
102553,89567,108497,90746,78267,68286,,47828,1714,722,548,50,124,34,10,24,120,138,85,167,7,441,67,4,295,64,11
102580,,,,,,,,10,2,2,0,0,2,1,1,1,2,0,1,0,2,1,0,0,1,0
102614,91224,108530,94309,79136,82072,,79068,2117,899,360,430,109,66,29,37,126,139,142,133,5,607,68,2,377,115,45
102632,81931,93397,82230,74643,55115,,,292,124,114,9,1,7,3,4,19,23,20,24,0,75,23,0,43,9,0
102669,65795,79189,68083,59714,53713,,,152,79,72,5,2,25,0,25,15,4,5,16,0,8,0,0,8,0,0
102711,,,,,,,,72,25,25,0,0,10,0,10,2,1,4,4,0,26,16,0,6,4,0
102845,47682,,,,47682,,,208,121,121,0,0,0,0,0,15,7,2,8,0,55,1,23,31,0,0
103501,46841,,,,46841,,,27,8,8,0,0,0,0,0,5,2,1,0,0,11,0,0,11,0,0
103529,,,,,,,,190,2,0,0,2,0,0,0,47,46,43,7,0,45,0,0,45,0,0
103741,,,,,,,,13,8,8,0,0,2,0,2,2,0,0,0,0,1,0,0,1,0,0
103893,57118,,,,57118,,,90,51,51,0,0,7,0,7,28,0,0,0,0,4,0,0,4,0,0
103909,61035,,,,61035,,,63,37,37,0,0,4,0,4,18,0,0,0,0,4,0,0,4,0,0
103927,58462,,,,58462,,,49,27,27,0,0,4,0,4,14,0,0,0,0,4,0,0,4,0,0
103954,,,,,,,,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
103963,41555,,,,41555,,,57,31,31,0,0,5,0,5,3,4,0,0,0,14,3,8,3,0,0
104090,65071,,63751,65311,,,,54,27,27,0,0,11,1,10,10,0,0,0,1,5,0,0,5,0,0
104151,111072,164653,117904,95102,62438,73985,102661,13084,3961,3800,149,12,434,91,343,2403,1730,1740,1069,62,1685,251,32,1115,215,72
104160,72115,,,,,,72115,647,206,206,0,0,59,7,52,70,18,9,55,3,227,81,0,125,16,5
104179,109879,150457,104320,89662,51478,69184,326040,12616,3322,2485,754,83,969,202,767,922,1173,2281,1531,174,2244,865,21,923,272,163
104346,65974,65974,,,,,,472,135,135,0,0,87,5,82,56,5,38,22,2,127,68,0,59,0,0
104391,,,,,,,,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104425,64117,,,,,,64117,435,148,148,0,0,45,6,39,48,17,25,46,3,103,27,0,60,16,0
104443,,,,,,,,5,3,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
104568,,,,,,,,28,13,13,0,0,1,0,1,3,2,0,0,0,9,0,4,4,1,0
104577,74461,88441,67586,,,,,427,139,139,0,0,7,6,1,33,15,11,67,6,149,92,0,57,0,0
104586,86968,113830,97893,76657,65255,,,565,182,182,0,0,173,8,165,42,14,10,19,6,119,32,0,44,40,3
104665,37500,,,,37500,,,7,4,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
104708,92418,,,,,,92418,871,407,405,2,0,46,17,29,73,125,32,16,6,166,48,0,108,6,4
104717,68259,87334,76127,70146,65237,57204,38410,3822,2526,2526,0,0,79,20,59,345,50,36,126,48,612,403,10,91,86,22
105136,,,,,,,,574,13,0,7,6,14,2,12,147,233,94,9,0,64,13,0,45,5,1
105145,85134,,,,,,85134,458,189,187,2,0,56,6,50,69,65,11,5,1,62,13,0,47,2,0
105154,92448,,,,,,92448,1071,511,509,2,0,63,14,49,97,132,32,28,3,205,30,0,159,12,4
105206,60580,,,,60580,,,387,183,183,0,0,13,3,10,72,6,18,5,0,90,22,0,64,4,0
105215,51908,,,,,,51908,43,21,21,0,0,1,0,1,7,12,0,0,0,2,0,0,1,1,0
105297,58530,67754,61581,59711,49481,,,268,57,57,0,0,76,9,67,22,10,9,4,0,90,48,0,42,0,0
105330,86276,113771,82168,72631,60317,63332,,3511,1304,1279,25,0,128,36,92,158,666,433,320,29,473,199,0,181,59,34
105349,65423,,,,65423,,,325,124,121,3,0,59,16,43,26,18,26,5,0,67,11,0,44,12,0
105428,88499,,,,,,88499,711,355,353,2,0,51,11,40,66,80,13,19,4,123,24,0,95,2,2
105525,75490,,,,,,75490,1611,433,433,0,0,609,24,585,101,112,119,36,1,200,91,0,106,0,3
105534,52085,,,,52085,,,205,125,125,0,0,39,0,39,10,0,2,0,0,29,0,0,28,1,0
105543,53962,,,,53962,,,65,44,44,0,0,10,0,10,3,0,0,0,0,8,0,0,8,0,0
105589,52317,,53687,50298,,,,165,76,76,0,0,4,3,1,22,3,2,3,0,55,3,6,41,5,0
105659,42682,,,,42682,,,56,31,31,0,0,0,0,0,6,0,0,0,0,19,0,8,10,1,0
105668,68592,,,,,,68592,799,269,265,4,0,52,6,46,129,154,49,28,2,116,25,0,84,3,4
105677,,,,,,,,9,7,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
105747,92941,,,,,,92941,476,218,217,1,0,28,10,18,61,58,16,16,2,77,12,0,59,4,2
105792,92592,,,,,,92592,276,122,121,1,0,23,10,13,36,47,10,7,1,30,11,0,16,1,2
105899,48888,71269,47266,41207,37500,10800,,192,53,53,0,0,7,3,4,12,3,3,64,1,49,22,12,15,0,0
106041,53694,,,,,,53694,92,47,47,0,0,0,0,0,12,29,0,0,0,4,0,0,2,2,0
106148,75881,,,,75881,,,556,178,178,0,0,46,7,39,89,34,33,57,5,114,38,0,57,18,1
106245,71468,91359,73095,64809,48660,,,1030,405,405,0,0,64,11,53,171,39,172,35,1,143,46,0,69,26,2
106263,85147,144881,111875,67993,54084,,90503,4730,450,292,146,12,1059,1,1058,957,401,627,244,117,875,453,62,275,83,2
106306,43968,50000,49650,42991,,,,112,23,23,0,0,17,1,16,12,3,1,14,0,42,29,0,12,1,0
106315,,,,,,,,9,3,3,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0
106324,,,,,,,,5,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
106342,54151,55992,58102,51159,38250,,,176,54,54,0,0,50,1,49,10,8,8,45,0,1,0,0,0,0,1
106351,,,,,,,,10,4,4,0,0,2,0,2,1,1,0,0,0,2,0,0,2,0,0
106397,94297,139871,98188,84305,50662,49439,,5497,1565,1460,28,77,343,50,293,496,754,898,177,55,1209,338,5,599,218,49
106412,54828,65818,62013,56065,46457,,,618,205,155,21,29,38,9,29,50,40,39,61,1,184,64,0,96,22,2
106449,47987,67721,55706,50910,43196,,,300,114,114,0,0,24,1,23,45,16,19,33,0,49,10,0,31,8,0
106458,68483,92455,77857,63951,45686,,109760,1688,577,577,0,0,90,25,65,246,295,67,97,6,310,114,1,111,80,4
106467,61896,80370,66469,62755,50204,,42224,800,371,371,0,0,46,7,39,59,34,34,73,7,176,53,1,103,19,0
106485,53126,69940,57402,54820,44605,,,399,173,173,0,0,8,8,0,12,7,18,27,2,152,36,5,82,25,4
106494,,,,,,,,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106546,70817,,,,,,70817,90,65,65,0,0,1,1,0,5,0,2,1,0,16,1,2,13,0,0
106625,45338,,,,,,45338,161,68,68,0,0,20,2,18,6,7,7,19,0,34,17,0,17,0,0
106704,66432,83389,70554,68018,56040,52018,46953,1397,574,574,0,0,91,26,65,130,62,74,113,14,339,116,0,147,68,8
106713,48271,50047,53195,44008,,,,90,38,38,0,0,6,2,4,15,2,2,12,0,15,7,0,7,0,1
