UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
100654,"R",109417,"A",,"R",18537,"G",3647,"G",772,"G",3647,"G",772,"A",,2
100663,"R",303064,"A",,"R",115557,"G",10102,"G",4815,"G",10102,"G",4815,"R",1421,2
100690,"R",8656,"A",,"R",4546,"G",289,"G",189,"G",289,"G",189,"R",65,2
100706,"R",146835,"A",,"R",23754,"G",4895,"G",990,"G",4895,"R",1038,"R",37,2
100724,"R",151550,"A",,"R",10629,"G",5052,"G",443,"G",5052,"G",443,"R",314,2
100751,"R",849936,"A",,"R",89349,"G",28331,"G",3723,"G",28331,"G",3723,"R",741,2
100760,"R",41455,"A",,"A",,"G",1382,"A",,"G",1382,"A",,"A",,2
100812,"R",76758,"A",,"A",,"G",2559,"A",,"G",2559,"A",,"A",,2
100830,"R",108484,"A",,"R",11549,"G",3616,"G",481,"G",3616,"G",481,"A",,2
100858,"R",578493,"A",,"R",76018,"G",19283,"G",3167,"G",19283,"G",3167,"R",1100,2
100937,"R",39423,"A",,"A",,"G",1314,"A",,"G",1314,"A",,"A",,2
101028,"R",44921,"A",,"A",,"G",1497,"A",,"G",1497,"A",,"A",,2
101073,"R",14804,"A",,"A",,"G",493,"A",,"G",493,"A",,"A",,2
101116,"R",22122,"A",,"R",1918,"G",492,"G",53,"G",492,"G",53,"Z",0,2
101143,"R",58267,"A",,"A",,"G",1942,"A",,"G",1942,"A",,"A",,2
101161,"R",111417,"A",,"A",,"G",3714,"A",,"G",3714,"A",,"A",,2
101189,"R",73360,"A",,"R",5695,"G",2445,"G",237,"G",2445,"G",237,"R",354,2
101240,"R",137346,"A",,"A",,"G",4578,"A",,"G",4578,"A",,"A",,2
101277,"A",,"R",86728,"A",,"G",96,"A",,"G",96,"A",,"A",,1
101286,"R",109099,"A",,"A",,"G",3637,"A",,"G",3637,"A",,"A",,2
101295,"R",132241,"A",,"A",,"G",4408,"A",,"G",4408,"A",,"A",,2
101301,"R",45035,"A",,"A",,"G",1501,"A",,"G",1501,"A",,"A",,2
101365,"R",10567,"A",,"R",84,"G",352,"G",4,"G",352,"G",4,"A",,2
101435,"R",30148,"A",,"A",,"G",1005,"A",,"G",1005,"A",,"A",,2
101453,"R",1321,"A",,"R",234,"G",44,"G",10,"G",44,"G",10,"A",,2
101462,"R",29102,"A",,"A",,"G",970,"A",,"G",970,"A",,"A",,2
101471,"R",18050,"A",,"A",,"G",602,"A",,"G",602,"A",,"A",,2
101480,"R",196742,"A",,"R",16259,"G",6558,"G",677,"G",6558,"G",677,"A",,2
101499,"R",28578,"A",,"A",,"G",953,"A",,"G",953,"A",,"A",,2
101505,"R",175964,"A",,"A",,"G",5865,"A",,"G",5865,"A",,"A",,2
101514,"R",236876,"A",,"A",,"G",7896,"A",,"G",7896,"A",,"A",,2
101541,"R",8990,"A",,"A",,"G",300,"A",,"G",300,"A",,"A",,2
101569,"R",74225,"A",,"A",,"G",2474,"A",,"G",2474,"A",,"A",,2
101587,"R",52363,"A",,"R",37813,"G",1745,"G",1576,"G",1745,"G",1576,"A",,2
101602,"R",39220,"A",,"A",,"G",1307,"A",,"G",1307,"A",,"A",,2
101648,"R",13148,"A",,"A",,"G",438,"A",,"G",438,"A",,"A",,2
101675,"R",48826,"A",,"A",,"G",1628,"A",,"G",1628,"A",,"A",,2
101693,"R",39713,"A",,"R",2088,"G",1324,"G",87,"G",1324,"G",87,"A",,2
101709,"R",74317,"A",,"R",8004,"G",2477,"G",334,"G",2477,"G",334,"A",,2
101736,"R",81866,"A",,"A",,"G",2729,"A",,"G",2729,"A",,"A",,2
101879,"R",154117,"A",,"R",14368,"G",5137,"G",599,"G",5137,"G",599,"A",,2
101897,"R",64556,"A",,"A",,"G",2152,"A",,"G",2152,"A",,"A",,2
101912,"R",54380,"A",,"R",888,"G",1813,"G",37,"G",1813,"G",37,"A",,2
101949,"R",34655,"A",,"A",,"G",1155,"A",,"G",1155,"A",,"A",,2
101958,"R",2860,"A",,"A",,"G",64,"A",,"G",64,"A",,"A",,2
101994,"R",12593,"A",,"A",,"G",420,"A",,"G",420,"A",,"A",,2
102030,"R",86054,"A",,"A",,"G",2868,"A",,"G",2868,"A",,"A",,2
102049,"R",95611,"A",,"R",17876,"G",3187,"G",745,"G",3187,"G",745,"R",1052,2
102058,"R",10000,"A",,"R",510,"G",333,"G",21,"G",333,"G",21,"A",,2
102067,"R",120031,"A",,"A",,"G",4001,"A",,"G",4001,"A",,"A",,2
102076,"R",60504,"A",,"A",,"G",2017,"A",,"G",2017,"A",,"A",,2
102094,"R",307739,"A",,"R",82313,"G",10258,"G",3430,"G",10258,"R",3768,"R",292,2
102234,"R",38650,"A",,"R",1582,"G",1288,"G",66,"G",1288,"G",66,"A",,2
102261,"R",4310,"A",,"A",,"G",144,"A",,"G",144,"A",,"A",,2
102270,"R",13163,"A",,"A",,"G",439,"A",,"G",439,"A",,"A",,2
102298,"R",12226,"A",,"A",,"G",408,"A",,"G",408,"A",,"A",,2
102313,"R",35995,"A",,"A",,"G",1200,"A",,"G",1200,"A",,"A",,2
102368,"R",370507,"A",,"R",64973,"G",12350,"G",2707,"G",12350,"G",2707,"R",43,2
102377,"R",75210,"A",,"R",4710,"G",2507,"G",196,"G",2507,"G",196,"R",275,2
