UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
100654,R,139299,A,,R,12591,G,4643,G,525,G,4643,G,525,A,,2
100663,R,355565,A,,R,169701,G,11852,G,7071,G,11852,G,7071,R,1444,2
100690,R,6260,A,,R,6524,G,209,G,272,G,209,G,272,A,,2
100706,R,190889,A,,R,29926,G,6363,G,1247,G,6363,G,1247,R,62,2
100724,R,99797,A,,R,11023,G,3327,G,459,R,3345,G,459,R,77,2
100751,R,910764,A,,R,102522,G,30359,G,4272,G,30359,G,4272,R,641,2
100760,R,31345,A,,A,,G,1045,A,,G,1045,A,,A,,2
100812,R,59144,A,,R,6297,G,1971,G,262,G,1971,G,262,A,,2
100830,R,87259,A,,R,25771,G,2909,G,1074,R,3349,R,1211,R,3,2
100858,R,746148,A,,R,95154,G,24872,G,3965,G,24872,G,3965,R,1070,2
100937,R,30577,A,,A,,G,1019,A,,G,1019,A,,A,,2
101028,R,30935,A,,A,,G,1031,A,,G,1031,A,,A,,2
101116,R,14009,A,,R,1062,G,311,G,30,G,311,G,30,R,16,2
101143,R,46681,A,,A,,G,1556,A,,G,1556,A,,A,,2
101161,R,146732,A,,A,,G,4891,A,,G,4891,A,,A,,2
101189,R,48806,A,,R,20300,G,1627,G,846,G,1627,G,846,R,269,2
101240,R,96517,A,,A,,G,3217,A,,G,3217,A,,A,,2
101277,A,,R,88016,A,,G,98,A,,G,98,A,,A,,1
101286,R,79453,A,,A,,G,2648,A,,G,2648,A,,A,,2
101295,R,121996,A,,A,,G,4067,A,,G,4067,A,,A,,2
101301,R,37119,A,,A,,G,1237,A,,R,1353,A,,A,,2
101365,R,16126,A,,R,160,G,538,G,7,G,538,G,7,A,,2
101435,R,23395,A,,R,183,G,780,G,8,G,780,G,8,A,,2
101453,R,1564,A,,R,913,G,52,G,38,G,52,G,38,A,,2
101462,R,18157,A,,A,,G,605,A,,G,605,A,,A,,2
101471,R,29465,A,,A,,G,982,A,,G,982,A,,A,,2
101480,R,218635,A,,R,21625,G,7288,G,901,G,7288,G,901,R,85,2
101505,R,150835,A,,A,,G,5028,A,,G,5028,A,,A,,2
101514,R,168047,A,,A,,G,5602,A,,G,5602,A,,A,,2
101569,R,63709,A,,A,,G,2124,A,,G,2124,A,,A,,2
101587,R,70841,A,,R,64345,G,2361,G,2681,G,2361,G,2681,A,,2
101602,R,39752,A,,A,,G,1325,A,,G,1325,A,,A,,2
101648,R,10237,A,,A,,G,341,A,,G,341,A,,A,,2
101675,R,37356,A,,A,,G,1245,A,,G,1245,A,,A,,2
101693,R,34356,A,,R,3461,G,1145,G,144,R,1176,G,144,A,,2
101709,R,59649,A,,R,8130,G,1988,G,339,G,1988,G,339,A,,2
101736,R,64627,A,,A,,G,2154,A,,G,2154,A,,A,,2
101879,R,166874,A,,R,46265,G,5562,G,1928,G,5562,G,1928,A,,2
101897,R,53349,A,,A,,G,1778,A,,G,1778,A,,A,,2
101912,R,42083,A,,R,608,G,1403,G,25,G,1403,G,25,A,,2
101994,R,11464,A,,A,,G,382,A,,G,382,A,,A,,2
102030,R,55391,A,,A,,G,1846,A,,G,1846,A,,A,,2
102049,R,115090,A,,R,22231,G,3836,G,926,G,3836,G,926,R,1178,2
102058,R,500,A,,R,171,G,17,G,7,G,17,G,7,A,,2
102067,R,93437,A,,A,,G,3115,A,,G,3115,A,,A,,2
102076,R,68944,A,,A,,G,2298,A,,G,2298,A,,A,,2
102094,R,251977,A,,R,110577,G,8399,G,4607,G,8399,G,4607,R,303,2
102234,R,29732,A,,R,1973,G,991,G,82,G,991,G,82,A,,2
102270,R,22620,A,,A,,G,754,A,,G,754,A,,A,,2
102298,R,27087,A,,R,1102,G,903,G,46,G,903,G,46,A,,2
102313,R,43033,A,,A,,G,1434,A,,G,1434,A,,A,,2
102368,R,256958,A,,R,52619,G,8565,G,2192,G,8565,G,2192,R,110,2
102377,R,70393,A,,R,3614,G,2346,G,151,G,2346,G,151,R,258,2
102395,R,2017,A,,R,1548,G,67,G,65,G,67,G,65,A,,2
102429,R,72011,A,,A,,G,2400,A,,G,2400,A,,A,,2
102553,R,178018,A,,R,18970,G,5934,G,790,G,5934,G,790,R,29,2
102580,R,717,A,,A,,G,24,A,,G,24,A,,A,,2
102614,R,110870,A,,R,14049,G,3696,G,585,G,3696,G,585,A,,2
102632,R,27733,A,,R,3824,G,924,G,159,G,924,G,159,A,,2
102669,R,11032,A,,R,2179,G,368,G,91,G,368,G,91,R,18,2
102711,A,,R,117640,A,,G,131,A,,G,131,A,,A,,1
102845,R,170880,A,,A,,G,5696,A,,G,5696,A,,A,,2
103501,R,11592,A,,A,,G,386,A,,G,386,A,,A,,2
103741,A,,R,189988,A,,G,211,A,,G,211,A,,A,,1
103893,R,34664,A,,A,,G,1155,A,,G,1155,A,,A,,2
103909,R,18180,A,,A,,G,606,A,,G,606,A,,A,,2
103927,R,15342,A,,A,,G,511,A,,G,511,A,,A,,2
103954,A,,R,33365,A,,G,37,A,,G,37,A,,A,,1
103963,R,23125,A,,A,,G,771,A,,G,771,A,,A,,2
104090,R,25450,A,,R,1038,G,848,G,43,G,848,G,43,A,,2
