UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E013,F3E013,XF3E014,F3E014,XF3E015,F3E015,XF3E016,F3E016,XF3E017,F3E017,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02A3,F3E02A3,XF3E02A4,F3E02A4,XF3E02A5,F3E02A5,XF3E02A6,F3E02A6,XF3E02A7,F3E02A7,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E02B3,F3E02B3,XF3E02B4,F3E02B4,XF3E02B5,F3E02B5,XF3E02B6,F3E02B6,XF3E02B7,F3E02B7,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03A3,F3E03A3,XF3E03A4,F3E03A4,XF3E03A5,F3E03A5,XF3E03A6,F3E03A6,XF3E03A7,F3E03A7,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03B3,F3E03B3,XF3E03B4,F3E03B4,XF3E03B5,F3E03B5,XF3E03B6,F3E03B6,XF3E03B7,F3E03B7,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E03C3,F3E03C3,XF3E03C4,F3E03C4,XF3E03C5,F3E03C5,XF3E03C6,F3E03C6,XF3E03C7,F3E03C7,XF3E041,F3E041,XF3E042,F3E042,XF3E043,F3E043,XF3E044,F3E044,XF3E045,F3E045,XF3E046,F3E046,XF3E047,F3E047,XF3E051,F3E051,XF3E057,F3E057,XF3E101,F3E101,XF3E102,F3E102,XF3E103,F3E103,XF3E104,F3E104,XF3E105,F3E105,XF3E106,F3E106,XF3E107,F3E107,XF3E111,F3E111,XF3E112,F3E112,XF3E113,F3E113,XF3E114,F3E114,XF3E115,F3E115,XF3E116,F3E116,XF3E117,F3E117,XF3E061,F3E061,XF3E062,F3E062,XF3E063,F3E063,XF3E064,F3E064,XF3E065,F3E065,XF3E066,F3E066,XF3E067,F3E067,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",7603406,"Z",0,"R",1537319,"R",59268,"R",4247351,"Z",0,"R",3356055,"R",7603406,"Z",0,"R",2255303,"R",2653273,"Z",0,"R",9243,"R",4917819,"R",3380500,"R",1537319,"R",11503337,"R",11025416,"R",-553242,"R",-75321,"R",-722921,"R",4154297,"R",0,"R",3356055,"R",1883984,"R",1576628,"R",74774,"R",74774,"Z",0,"R",1001696,"R",4537082,"R",4537082,"Z",0,"R",7517792,"R",3460612,"Z",0,"R",3460612,"R",74774,"Z",0,"R",74774,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",450159,"Z",0,"R",0,"R",11503337,"R",3468102,"R",2064095,"R",276572,"R",466612,"R",147895,"Z",0,"R",512928,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",616719,"R",381395,"R",70465,"R",82976,"R",26300,"Z",0,"R",55583,"R",2554240,"R",1030376,"R",185588,"R",220489,"R",69885,"Z",0,"R",1047902,"R",3979582,"R",413285,"R",216729,"R",535449,"R",169713,"Z",0,"R",2644406,"R",406773,"Z",0,"Z",0,"R",54729,"R",17347,"Z",0,"R",334697,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",67421,"R",12002,"R",-1360255,"R",63817,"Z",0,"R",1217015,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",11025416,"R",3956572,"R",761356,"R",494957,"Z",0,"R",5812531,"R",481013,"R",72229, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",495837,"R",0,"R",0,"R",0,"R",0,"R",0,"R",495837,"R",0,"R",0,"R",708888,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",344,"R",150333,"A",,"A",,"R",0,"R",859565,"R",188360,"R",166228,"R",22132,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44078,"R",40916,"R",3162,"R",0,"R",0,"R",0,"R",0,"R",320304,"R",176592,"R",9485,"R",116608,"R",17275,"R",344,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-116608,"R",0,"R",0,"R",116608,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",552742,"R",383736,"R",34779,"R",17275,"R",344,"R",116608,"A",,"A",,-2
101365,"R",10246219,"R",0,"R",1190304,"R",19154,"R",179562,"R",0,"R",10066657,"R",10246219,"R",1151647,"R",322000,"R",815021,"R",0,"R",0,"R",2288668,"R",1098364,"R",1190304,"R",3924007,"R",4081978,"R",6816,"R",-151155,"R",0,"R",10217815,"R",-3,"R",10066657,"R",948780,"R",24900,"R",8471,"R",8471,"R",0,"R",393310,"R",1375461,"R",393310,"Z",0,"R",3787123,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",136884,"R",3924007,"R",1790955,"R",787610,"R",119091,"R",90027,"R",119625,"Z",0,"R",674602,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",250933,"R",205523,"R",32946,"R",0,"R",0,"Z",0,"R",12464,"R",1541261,"R",527197,"R",86442,"R",0,"R",0,"Z",0,"R",927622,"R",498829,"R",170923,"R",32632,"R",0,"R",0,"Z",0,"R",295274,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",30196,"R",4840,"R",-90027,"Z",0,"Z",0,"R",54991,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",4081978,"R",1721449,"R",275951,"R",119625,"Z",0,"R",1964953,"A",,"A",,-2
101958,"R",5462641,"R",0,"R",1477,"R",0,"R",218329,"R",0,"R",5244312,"R",5462641,"R",0,"R",0,"R",63627,"R",0,"R",0,"R",63627,"R",62150,"R",1477,"R",2319008,"R",2988188,"R",0,"R",-669180,"R",0,"R",5766745,"R",146747,"R",5244312,"R",318908,"R",0,"R",0,"R",0,"R",0,"R",0,"R",318908,"R",0,"R",0,"R",1162678,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"A",,"R",0,"R",1162678,"R",728497,"R",441649,"R",67497,"R",219351,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",84011,"R",0,"R",0,"R",0,"R",0,"R",0,"R",84011,"R",22969,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22969,"R",475070,"R",317703,"R",76021,"R",81346,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-300698,"R",0,"R",0,"R",300698,"R",75493,"R",0,"R",0,"R",1,"R",0,"R",0,"R",75492,"R",1386040,"R",759352,"R",143518,"R",0,"R",0,"R",483170,"A",,"A",,-2
102845,"R",42118552,"R",0,"R",4349235,"R",6251743,"R",4641880,"R",10985,"R",37476672,"R",42118552,"R",0,"R",6595969,"R",7038796,"R",424900,"R",0,"R",14059665,"R",9710430,"R",4349235,"R",54860519,"R",48105162,"R",-12590,"R",6742767,"R",0,"R",30733905,"R",0,"R",37476672,"R",13407268,"R",355788,"R",987401,"R",967773,"R",19628,"R",6262541,"R",21012998,"R",6262541,"Z",0,"R",54673626,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",130007,"R",56886,"R",0,"R",0,"R",0,"R",54860519,"R",16283154,"R",6450946,"R",1122127,"R",4055452,"R",718754,"R",0,"R",3935875,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2133891,"R",1370922,"R",289792,"R",289675,"R",51340,"R",0,"R",132162,"R",16589085,"R",6689792,"R",1414740,"R",869026,"R",154018,"R",0,"R",7461509,"R",7888454,"R",899348,"R",190108,"R",579351,"R",102679,"R",477,"R",6116491,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",168846,"R",35692,"R",-5793504,"R",896086,"R",0,"R",4692880,"R",5210578,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5210578,"R",48105162,"R",15579854,"R",3052459,"R",1922877,"R",477,"R",27549495,"R",0,"R",12590, 3
103501,"R",5671119,"R",2187059,"R",3075761,"Z",0,"R",1999251,"R",1486121,"R",3671868,"R",5671119,"R",450000,"R",2775507,"R",563761,"R",0,"R",921964,"R",4711232,"R",1635471,"R",3075761,"R",6008968,"R",5644679,"R",0,"R",364289,"R",0,"R",3665468,"R",-357889,"R",3671868,"R",1755783,"R",536152,"R",336078,"R",336078,"R",0,"R",31090,"R",2659103,"R",0,"R",0,"R",5770887,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",165322,"R",72759,"R",0,"A",,"R",0,"R",6008968,"R",2365187,"R",1117329,"R",30019,"Z",0,"Z",0,"Z",0,"R",1217839,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2701983,"R",1279369,"R",34373,"Z",0,"Z",0,"Z",0,"R",1388241,"R",346505,"R",237467,"R",6380,"Z",0,"Z",0,"Z",0,"R",102658,"R",231004,"R",38089,"R",1023,"Z",0,"Z",0,"Z",0,"R",191892,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",5644679,"R",2672254,"R",71795,"Z",0,"Z",0,"R",2900630,"A",,"A",,-2
103723,"R",1640622,"Z",0,"R",1209284,"Z",0,"R",10021392,"Z",0,"R",-8380770,"R",1640622,"Z",0,"R",6508741,"R",4416921,"Z",0,"R",31162,"R",10956824,"R",9747540,"R",1209284,"R",2432475,"R",9211985,"R",0,"R",-6779510,"Z",0,"R",-1601260,"R",0,"R",-8380770,"R",402637,"R",98062,"Z",0,"Z",0,"Z",0,"R",31852,"R",532551,"R",227794,"Z",0,"R",2420484,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4917,"Z",0,"R",7074,"R",2432475,"R",1793912,"R",507831,"R",18934,"R",1137729,"R",122523,"Z",0,"R",6895,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1026962,"R",466220,"R",15974,"R",517150,"R",1247,"Z",0,"R",26371,"R",586021,"R",497403,"R",61487,"Z",0,"R",13495,"Z",0,"R",13636,"R",5472806,"R",302582,"R",54728,"R",413720,"R",889170,"R",39604,"R",3773002,"R",331442,"R",10799,"R",335,"Z",0,"Z",0,"Z",0,"R",320308,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-2068599,"Z",0,"Z",0,"R",2068599,"R",842,"R",0,"R",0,"R",0,"R",0,"R",0,"R",842,"R",9211985,"R",1784835,"R",151458,"R",1026435,"R",39604,"R",6209653,"R",0,"R",0, 1
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",509583,"R",4650,"R",55028,"R",55028,"R",0,"R",4900,"R",574161,"R",0,"R",0,"R",1096232,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",108134,"A",,"A",,"R",225303,"R",1429669,"R",1145114,"R",337935,"R",67493,"R",377537,"R",29205,"R",0,"R",332944,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",48604,"R",40513,"R",8091,"R",0,"R",0,"R",0,"R",0,"R",174540,"R",61835,"R",12350,"R",0,"R",0,"R",0,"R",100355,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-377537,"R",0,"R",0,"R",377537,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1368258,"R",440283,"R",87934,"R",29205,"R",0,"R",810836,"A",,"A",,-2
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1763411,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1763411,"R",0,"R",0,"R",7239394,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",62456,"R",0,"A",,"A",,"R",0,"R",7301850,"R",3299977,"R",1596893,"R",327207,"R",381218,"R",14482,"R",0,"R",980177,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2861268,"R",1277212,"R",266298,"R",303241,"R",11520,"R",0,"R",1002997,"R",3256055,"R",803812,"R",113325,"R",181946,"R",6912,"R",0,"R",2150060,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-866405,"R",0,"R",0,"R",866405,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9417300,"R",3677917,"R",706830,"R",32914,"R",0,"R",4999639,"A",,"A",,-2
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2742996,"R",41363,"R",282517,"R",282517,"R",0,"R",49817,"R",3116693,"R",49817,"R",0,"R",8636657,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7356,"Z",0,"R",604552,"A",,"R",0,"R",9248565,"R",1629610,"R",885841,"R",153251,"R",427281,"R",48551,"Z",0,"R",114686,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1529634,"R",355594,"R",180994,"R",379731,"R",43148,"Z",0,"R",570167,"R",2482680,"R",952256,"R",152796,"Z",0,"Z",0,"Z",0,"R",1377628,"R",1558368,"R",367402,"R",37949,"R",432465,"R",49140,"Z",0,"R",671412,"R",317201,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",317201,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-1239477,"Z",0,"Z",0,"R",1239477,"R",4108,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",4108,"R",7521601,"R",2561093,"R",524990,"R",140839,"Z",0,"R",4294679,"A",,"A",,-2
