UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",5957279,"R",0,"R",1081953,"R",29956,"R",3683673,"R",0,"R",2273606,"R",5957279,"R",0,"R",2332507,"R",2679441,"R",130257,"R",9243,"R",5151448,"R",4069495,"R",1081953,"R",9515274,"R",9425075,"R",115342,"R",205541,"R",411027,"R",1657038,"R",0,"R",2273606,"R",1471253,"R",1362575,"R",0,"R",0,"R",0,"R",791079,"R",3624907,"R",3624907,"R",0,"R",3624907,"R",6561978,"R",2833828,"R",0,"R",2833828,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",119468,"R",0,"R",0,"R",9515274,"R",3451959,"R",2066992,"R",0,"R",0,"R",0,"R",0,"R",680059,"R",412634,"R",1520019,"R",782596,"R",3575289,"R",459550,"R",197749,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9425075,"R",3721772,"R",548814,"R",1402952,"R",419187,"R",0,"R",3332350,"R",0,"R",-115342, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",343106,"R",0,"R",0,"R",0,"R",0,"R",0,"R",343106,"R",0,"R",0,"R",0,"R",583775,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",549,"R",80169,"A",,"A",,"R",100620,"R",765113,"R",330284,"R",293500,"R",0,"R",0,"R",0,"R",0,"R",30470,"R",0,"R",40904,"R",30000,"R",283089,"R",78809,"A",,"A",,"R",0,"A",,"A",,"R",501,"R",0,"R",685248,"R",402309,"R",40904,"R",150716,"R",21456,"R",549,"R",69314,"A",,"A",,-2
102845,"R",48565322,"R",0,"R",4852899,"R",4862467,"R",6942785,"R",0,"R",41622537,"R",48565322,"R",0,"R",9651302,"R",7920018,"R",0,"R",0,"R",17571320,"R",12718421,"R",4852899,"R",51789368,"R",51106301,"R",-1663620,"R",-980553,"R",0,"R",42603090,"R",0,"R",41622537,"R",12845217,"R",399082,"R",1045288,"R",819325,"R",225963,"R",93338,"R",14382925,"R",5937805,"R",0,"R",5937805,"R",51574299,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",215069,"R",0,"R",0,"R",0,"R",0,"R",51789368,"R",15632185,"R",6612653,"R",0,"R",0,"R",0,"R",0,"R",1108041,"R",545267,"R",16353780,"R",8329087,"R",14190563,"R",1277855,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3821732,"R",123423,"R",51106301,"R",16888285,"R",1703808,"R",4995153,"R",1514850,"R",21449,"R",25982756,"R",0,"R",0, 1
103501,"R",5270857,"R",2103626,"R",2842138,"R",0,"R",1879038,"R",1208682,"R",3391819,"R",5270857,"R",450000,"R",2775507,"R",590171,"R",0,"R",924853,"R",4740531,"R",1898393,"R",2842138,"R",5466838,"R",5290399,"R",0,"R",176439,"R",0,"R",3364798,"R",-149418,"R",3391819,"R",1502170,"R",138515,"R",468984,"R",468984,"R",0,"R",2479,"R",2112148,"R",0,"R",0,"R",0,"R",5288322,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",118206,"R",60310,"R",0,"A",,"R",0,"R",5466838,"R",2215893,"R",995257,"R",0,"Z",0,"R",0,"Z",0,"R",2569673,"R",1092128,"R",250995,"R",162298,"R",253838,"R",199430,"R",0,"Z",0,"R",0,"A",,"A",,"R",0,"R",0,"R",5290399,"R",2449113,"R",173231,"R",0,"R",0,"R",0,"R",2668055,"A",,"A",,-2
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",466076,"R",13725,"R",44407,"R",44407,"R",0,"R",39560,"R",563768,"R",0,"R",0,"R",0,"R",950622,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96287,"A",,"A",,"R",219888,"R",1266797,"R",974029,"R",256798,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57972,"R",49427,"R",148952,"R",50336,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1180953,"R",356561,"R",61642,"R",359618,"R",25497,"R",0,"R",377635,"A",,"A",,-2
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1550601,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1550601,"R",0,"R",0,"R",0,"R",7956869,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",85572,"R",0,"A",,"A",,"R",0,"R",8042441,"R",2934755,"R",1544819,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2642572,"R",846397,"R",3261142,"R",865158,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",8838469,"R",3256374,"R",176003,"R",505565,"R",41472,"R",0,"R",4859055,"A",,"A",,-2
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2562374,"R",55500,"R",284051,"R",284051,"Z",0,"R",45091,"R",2947016,"R",45091,"Z",0,"R",45091,"R",8229651,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8042,"Z",0,"R",616408,"A",,"R",0,"R",8854101,"R",1002978,"R",771028,"Z",0,"Z",0,"Z",0,"Z",0,"R",2824403,"R",817959,"R",3047956,"R",694384,"R",750247,"R",254022,"R",375300,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",8000884,"R",2537393,"R",385228,"R",1135951,"R",198881,"Z",0,"R",3743431,"A",,"A",,-2
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2074738,"R",47250,"R",340862,"R",340862,"Z",0,"R",39225,"R",2502075,"R",39225,"Z",0,"R",39225,"R",8804461,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21677,"Z",0,"R",876492,"A",,"R",0,"R",9702630,"R",1513197,"R",1342558,"R",0,"R",0,"R",0,"R",0,"R",3183341,"R",1133319,"R",2507606,"R",640514,"R",786483,"R",278366,"R",620458,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",8611085,"R",3394757,"R",540343,"R",1014287,"R",174190,"Z",0,"R",3487508,"A",,"A",,-2
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1221398,"R",22200,"R",63389,"R",63389,"Z",0,"R",13571,"R",1320558,"R",13571,"Z",0,"R",13571,"R",3769038,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5455,"Z",0,"R",313580,"A",,"R",0,"R",4088073,"R",400219,"R",279625,"Z",0,"Z",0,"Z",0,"Z",0,"R",1562109,"R",466429,"R",1276444,"R",379103,"R",374727,"R",117286,"R",196674,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",3810173,"R",1242443,"R",198757,"R",585700,"R",188458,"Z",0,"R",1594815,"A",,"A",,-2
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",237746,"R",28646,"R",0,"R",0,"R",0,"R",2789,"R",269181,"R",0,"R",0,"R",0,"R",589814,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57072,"A",,"A",,"R",0,"R",646886,"R",114728,"R",114728,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24906,"R",24906,"R",248189,"R",29476,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",387823,"R",169110,"R",0,"R",0,"R",0,"R",0,"R",218713,"A",,"A",,-2
