UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07
100690,R,9189852,R,2533200,R,0,R,16559959,R,1052981,R,0,R,15021466,R,485512,R,174864,R,310648,R,15506978,R,1340625,R,1065662,R,3216469,R,0,R,0,R,5622756,R,3089556,R,8572118,R,8056185,R,0,R,515933,R,14991045,R,0,R,15506978,R,1,R,25057,R,0,R,0,R,0,R,783352,R,808410,R,808409,R,0,R,808409,R,0,R,0,R,0,R,25057,R,25057,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,783352,R,783352,R,0,R,6909429,R,6909429,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,25057,R,25057,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,81096,R,81096,R,0,R,0,R,81096,R,81096,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8707,R,18667,R,-9960,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1547829,R,1537869,R,9960,R,0,R,8572118,R,8572118,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,8572118,R,8572118,R,0,R,0,R,2727802,R,2031937,R,0,R,0,R,0,R,0,R,749081,R,530094,R,1226404,R,927226,R,3352898,R,1165558,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8056185,R,4654815,R,576595,R,147762,R,186465,R,0,R,2490548,1,R,174819,R,174864,R,45,R,0,R,0,R,0,R,45,R,525847,R,8582078,R,515933,R,14991045,R,15506978,R,0,R,8056185
100937,R,9601168,R,64789792,R,0,R,90416824,R,35792952,R,26616172,R,-1067738,R,55691610,R,52826730,R,2864880,R,54623872,R,2218392,R,167670476,R,27766544,R,0,R,435413,R,198090825,R,133301033,R,31507440,R,43598720,R,0,R,-12091280,R,66715152,R,0,R,54623872,R,1207355,R,322648,R,0,Z,0,R,3776613,R,5947969,R,11254585,R,9724582,R,0,R,9724582,R,1207355,R,1207355,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,R,5889302,R,5889302,R,0,R,2627925,R,2627925,R,0,R,10135162,R,10135162,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,686054,R,363406,R,322648,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5889302,R,1966073,R,2162564,R,1760665,R,5889302,R,1966073,R,2162564,R,1760665,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-696790,R,22892,R,0,R,-719682,R,0,R,0,R,12008587,R,12008587,R,0,R,0,R,0,R,0,Z,0,Z,0,R,3485125,R,615188,R,2869937,R,0,R,31507440,R,25111308,R,5355149,R,1040983,R,0,R,4683803,R,-4683803,R,0,R,31507440,R,29795111,R,671346,R,1040983,R,11105079,R,7720864,R,0,R,0,R,0,R,0,R,3201754,R,569262,R,9316491,R,3930455,R,11979082,R,4294833,R,7762762,R,155436,R,233552,R,0,R,0,R,0,R,0,R,0,R,0,R,43598720,R,16670850,R,3771937,R,5141743,R,2593353,R,1497635,R,13923202,1,R,51470511,R,52826730,R,1356219,R,1760665,R,465302,R,-3582942,R,2713194,R,-11031913,R,29795111,R,-12091280,R,66715152,R,-36733976,R,28440014,R,43598720
101189,R,21806706,R,61466091,Z,0,R,102360002,R,44680314,R,30467564,R,38876819,R,18802869,R,13959495,R,4843374,R,57679688,R,8096644,R,79017303,R,37564077,R,13290,Z,0,R,124691314,R,63225223,R,51433141,R,52150860,R,0,R,-717719,R,58397407,R,0,R,57679688,R,4706108,R,328409,R,1664302,Z,0,R,697538,R,12944494,R,20340851,R,12934705,R,1106442,R,14041147,R,0,R,0,R,0,R,244612,R,225337,R,19275,R,154773,R,142577,R,12196,R,0,Z,0,Z,0,R,697538,R,642572,R,54966,R,12944224,R,11924219,R,1020005,R,38087618,R,38087618,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2076831,R,0,R,2076831,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6145806,R,2448951,R,3576130,R,120725,R,6145806,R,2448951,R,3576130,R,120725,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,271772,R,356698,R,-218002,R,133076,R,0,R,0,R,3520939,R,3520939,R,0,R,0,R,0,R,0,R,0,R,0,R,1330175,R,1249983,R,80192,R,0,R,51433141,R,45664189,R,5515151,R,253801,R,0,R,9478224,R,-9478224,R,0,R,51433141,R,55142413,R,-3963073,R,253801,R,22786684,R,13331428,R,0,R,0,R,0,R,0,R,3838478,R,1045242,R,10765711,R,4083764,R,9707909,R,2926494,R,4968281,R,271149,R,0,R,0,R,0,R,0,R,0,R,83797,R,0,R,52150860,R,21658077,R,4761072,R,4663615,R,3703252,R,1231799,R,16133045,1,R,20765130,R,20078568,R,-686562,R,121225,R,1095,R,-808882,R,0,R,2991553,R,55142413,R,-717719,R,58397407,R,12648025,R,30467564,R,52150860
101365,R,0,R,3998709,R,0,R,20555741,R,7154601,R,0,R,13401140,R,0,R,0,R,0,R,13401140,R,280000,R,4306454,R,1190853,R,0,Z,0,R,5777307,R,1778598,R,7531451,R,7212273,R,4155,R,323333,R,13077808,R,-1,R,13401140,R,1906596,R,209194,R,71365,R,0,R,0,R,1230819,R,3417974,R,1230819,R,0,R,1230819,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1230819,R,1230819,R,0,R,7185066,R,7185066,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,346385,R,346385,R,0,R,0,R,7531451,R,7531451,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,7531451,R,7531451,R,0,R,0,R,2768050,R,1629029,R,0,R,0,R,0,R,0,R,390246,R,161107,R,2493782,R,754128,R,1034048,R,277508,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,526147,R,10037,R,7212273,R,2831809,R,540666,R,230128,R,172665,Z,0,R,3437005,2,A,,A,,A,,A,,A,,A,,A,,R,323332,R,7531451,R,323333,R,13077808,R,0,R,0,R,7212273
101435,R,53928997,R,30309325,Z,0,R,90689998,R,23654335,R,20318691,R,10699411,R,56336252,R,50546641,R,5789611,R,67035663,R,3049311,R,51295887,R,14343422,R,804173,R,0,R,69492793,R,39183468,R,22393410,R,24424877,R,0,R,-2031467,R,69067131,R,-1,R,67035663,R,1665821,R,216926,R,1113553,R,0,R,2687265,R,7759829,R,13443394,R,11777573,R,0,R,11777573,R,0,R,0,R,0,R,216926,R,216926,R,0,R,1113553,R,1113553,R,0,R,0,Z,0,R,0,R,10447094,R,10447094,R,0,R,0,R,0,R,0,R,11088604,R,11088604,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9700,R,9700,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5174676,R,1447513,R,2772652,R,954511,R,3981537,R,1447513,R,2534024,R,0,R,1193139,R,0,R,238628,R,954511,R,0,R,0,R,0,R,0,R,-3131732,R,1314269,R,-2401614,R,-2044387,R,0,R,0,R,6382325,R,6382325,R,0,R,0,R,229837,R,229837,R,0,R,0,R,2640000,R,2640000,R,0,R,0,R,22393410,R,23112248,R,371038,R,-1089876,R,0,R,242248,R,-242248,R,0,R,22393410,R,23354496,R,128790,R,-1089876,R,6177106,R,3571644,R,0,R,0,R,0,R,0,R,2020065,R,1089135,R,7621314,R,3353749,R,4369174,R,1862441,R,4237218,R,217772,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,24424877,R,10094741,R,2356804,R,1657892,R,2272808,R,590089,R,7452543,1,R,57163022,R,53910160,R,-3252862,R,1193139,R,-1567114,R,-2640000,R,-238887,R,-1070382,R,23354496,R,-2031467,R,69067131,R,6500890,R,20318691,R,24424877
101453,R,17725644,R,3149781,R,0,R,23274296,R,1418191,R,0,R,6121301,R,15734804,R,9522375,R,6212429,R,21856105,R,1019750,R,2841330,R,4109073,R,0,R,0,R,7970153,R,4820372,R,4981267,R,3719298,R,0,R,1261969,R,20594136,R,0,R,21856105,R,123853,R,5544,R,0,R,0,R,537549,R,0,R,666946,R,1141,R,0,R,1141,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1141,R,1141,R,0,R,414176,R,414176,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2342719,R,2181938,R,6890,R,153891,R,2302257,R,2141476,R,6890,R,153891,R,40462,R,40462,R,0,R,0,R,0,R,0,R,0,R,0,R,1449572,R,258014,R,1190029,R,1529,R,0,R,0,R,90251,R,90251,R,0,R,0,R,0,R,0,Z,0,Z,0,R,684549,R,684549,R,0,R,0,R,4981267,R,3628928,R,1196919,R,155420,R,0,R,690498,R,-690498,R,0,R,4981267,R,4319426,R,506421,R,155420,R,694219,R,469662,R,71494,R,56175,R,112154,R,56055,R,316707,R,189551,R,560660,R,347789,R,1834418,R,675352,R,129646,R,12237,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3719298,R,1806821,R,282101,R,372463,R,260030,R,0,R,997883,1,R,14385884,R,15040187,R,654303,R,153891,R,1141741,R,-641329,R,0,R,600128,R,4219426,R,1261969,R,20594136,R,8284380,R,0,R,3719298
101675,R,27539914,R,60018351,R,0,R,97943263,R,19990785,R,14055951,R,74069813,R,3882665,R,2924747,R,957918,R,77952478,R,6705231,R,81157182,R,21804601,R,7586777,R,0,R,117253791,R,57235440,R,32315594,R,29940132,R,-1897699,R,477763,R,78163946,R,-689231,R,77952478,R,5814520,R,623054,R,667675,R,0,R,795143,R,3337513,R,11237905,R,3818948,R,0,R,3818948,R,0,R,0,R,0,R,623054,R,623054,R,0,R,667675,R,667675,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2528219,R,2528219,R,0,R,5814520,R,5814520,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8979859,R,8979859,R,0,R,0,R,667675,R,667675,R,0,R,0,R,0,R,0,R,0,R,0,R,2073692,R,1275467,R,798225,R,0,R,0,R,0,R,0,R,0,R,2073692,R,1275467,R,798225,R,0,R,0,R,0,R,0,R,0,R,1897669,R,1897669,R,0,R,0,R,0,R,0,R,5568216,R,5568216,R,0,R,0,R,0,R,0,R,0,R,0,R,7313963,R,7313963,R,0,R,0,R,32315594,R,31517369,R,798225,R,0,R,0,R,0,R,0,R,0,R,32315594,R,31517369,R,798225,R,0,R,4864239,R,2865654,R,0,R,0,R,286,R,0,R,2271607,R,1119893,R,9315113,R,3118022,R,10018063,R,2232044,R,3470824,R,402940,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,29940132,R,9738553,R,1890124,R,5042852,R,2276828,R,317811,R,10673964,1,R,25642204,R,27539903,R,1897699,R,0,R,1897699,R,0,R,0,R,477763,R,30417895,R,477763,R,78163946,R,77975478,R,14055951,R,29940132
101693,R,23330134,R,34527230,R,0,R,75129001,R,33947214,R,30335791,R,13056627,R,28125160,R,20085712,R,8039448,R,41181787,R,1297996,R,61838871,R,14159073,R,20323,R,1042470,R,78358733,R,43831503,R,34649294,R,30167091,R,0,R,4482203,R,36699584,R,0,R,41181787,R,2507425,R,83618,R,1282054,R,0,R,2444535,R,13160377,R,19478009,R,15688530,R,0,R,15688530,R,0,R,0,R,0,R,83618,R,83618,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2444535,R,2444535,R,0,R,13160377,R,13160377,R,0,R,13537463,R,13537463,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,183273,R,183273,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7265286,R,1801539,R,5022240,R,441507,R,4728726,R,1801539,R,2485680,R,441507,R,2536560,R,0,R,2536560,R,0,R,0,R,0,R,0,R,0,R,2331906,R,690210,R,1601572,R,40124,R,0,R,0,R,6728220,R,6728220,R,0,R,0,R,0,R,0,R,0,R,0,R,4603146,R,4602759,R,387,R,0,R,34649294,R,27543464,R,6624199,R,481631,R,0,R,5252389,R,-5252389,R,0,R,34649294,R,32795853,R,1371810,R,481631,R,11050556,R,5950617,R,0,R,0,R,0,R,0,R,731418,R,159615,R,3103952,R,1460301,R,5645647,R,2121790,R,9635518,R,1123224,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,30167091,R,10815547,R,3530409,R,3773509,R,2234609,R,1837422,R,7975595,1,R,22082866,R,23843738,R,1760872,R,441507,R,2102955,R,-713779,R,-69811,R,2628761,R,32795852,R,4482203,R,36699584,R,17233406,R,30335791,R,30167091
101912,R,19886690,R,59026171,R,0,R,118855484,R,41884390,R,28857833,R,46267814,R,30703280,R,7543777,R,23159503,R,76971094,R,5870415,R,89621839,R,38913300,R,0,R,4988182,R,139393736,R,80367565,R,58953807,R,66619767,R,0,R,-7665960,R,84637054,R,0,R,76971094,R,4048393,R,3512257,R,246583,R,0,R,14089107,R,58164,R,21954504,R,11055742,R,9067118,R,20122860,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,20122860,R,11055742,R,9067118,R,16957375,R,16957375,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9352884,R,1381958,R,7970926,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8165593,R,3676360,R,3734848,R,754385,R,4177913,R,1723323,R,1700205,R,754385,R,3987680,R,1953037,R,2034643,R,0,R,8088403,R,8088403,R,0,R,0,R,2713539,R,840032,R,1204563,R,668944,R,370168,R,370168,R,9781963,R,9781963,R,0,R,0,R,2121010,R,2121010,R,0,R,0,R,1402872,R,1301871,R,101001,R,0,R,58953807,R,44519140,R,13011338,R,1423329,R,0,R,17049516,R,-17049516,Z,0,R,58953807,R,61568656,R,-4038178,R,1423329,R,12366713,R,8039205,R,431527,R,246442,R,627839,R,183485,R,4282413,R,1868382,R,6691210,R,1702532,R,12420993,R,3585675,R,6712890,R,418511,R,0,R,0,R,0,R,3063088,R,539080,R,20023094,R,0,R,66619767,R,16583312,R,7187787,R,5285414,R,4968436,R,702126,R,31892692,1,R,19810091,R,13631785,R,-6178306,R,1195095,R,1655950,R,-9029350,R,-1,R,-5051111,R,61568656,R,-7665960,R,84637054,R,32441624,R,28857833,R,66619767
102049,R,423515046,R,351247759,R,0,R,969787118,R,452214496,R,365810852,R,108327526,R,409245096,R,276894712,R,132350384,R,517572622,R,92271306,R,478221187,R,104519862,R,11933442,R,0,R,686945797,R,335698038,R,207249115,R,188447471,R,-2293807,R,16507837,R,501064785,R,0,R,517572622,R,2054928,R,321315,R,1684073,R,0,R,6360000,R,72957000,R,83377316,R,79317000,R,0,R,79317000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6360000,R,6360000,R,0,R,72957000,R,72957000,R,0,R,118865912,R,118865912,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2482850,R,205736,R,2277114,R,0,R,333320,R,0,R,333320,R,0,R,0,R,0,R,0,R,0,R,19659269,R,5802848,R,5417926,R,8438495,R,17743270,R,5496259,R,3808516,R,8438495,R,1915999,R,306589,R,1609410,R,0,R,0,R,0,R,0,R,0,R,28637732,R,8229260,R,20296658,R,111814,R,0,R,0,R,27466578,R,27466578,R,0,R,0,R,0,R,0,R,0,R,0,R,9803454,R,8985297,R,818157,R,0,R,207249115,R,169555631,R,29143175,R,8550309,R,0,R,16212642,R,-16212642,R,0,R,207249115,R,185768273,R,12930533,R,8550309,R,96205781,R,53593244,R,0,R,0,R,3648683,R,572519,R,12358496,R,4572262,R,32040249,R,11364184,R,21612721,R,11023961,R,22581541,R,1639652,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,188447471,R,82765822,R,25162431,R,13072785,R,16523745,R,8258479,R,42664209,1,R,426345689,R,443471031,R,17125342,R,8536154,R,29122544,R,-21514395,R,981039,R,-5214101,R,186883681,R,16507837,R,501064785,R,159622005,R,365810852,R,188447471
