UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07
101116,R,7370956,R,0,R,661625,R,0,R,5297552,R,0,R,2073404,R,7370956,R,0,R,1286537,R,414363,R,0,R,134740,R,1835640,R,1174015,R,661625,R,6871924,R,6947979,R,0,R,-76055,R,-377678,R,2527137,R,0,R,2073404,R,1570774,R,748663,R,167479,R,167479,R,0,R,912724,R,3399640,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4266624,R,2319437,R,0,R,2319437,R,167479,R,0,R,167479,R,0,R,0,R,0,R,0,R,0,R,101753,R,0,R,16631,R,6871924,R,2659323,R,1416569,R,0,R,0,R,0,R,0,R,316858,R,241211,R,828649,R,714800,R,2944986,R,133604,R,0,R,0,R,0,R,0,R,0,R,198163,R,0,R,6947979,R,2506184,R,165626,R,1400584,R,198162,R,0,R,2677423,R,0,R,0,1,R,-76054,R,6871924,R,2073404,R,7370956,R,1411779,R,0,R,6947979
101277,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,427674,R,0,R,0,R,0,R,0,R,0,R,427674,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,930862,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,96027,A,,A,,R,0,R,1026889,R,286306,R,134804,R,0,R,0,R,0,R,0,R,12593,R,12593,R,19020,R,19020,R,293217,R,76652,A,,A,,R,0,A,,A,,R,0,R,0,R,611136,R,243069,R,6949,R,169464,R,2995,R,0,R,188659,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
102845,R,48684465,R,0,R,655300,R,694639,R,15384392,R,0,R,33300073,R,48684465,R,0,R,9286522,R,7768045,R,0,R,0,R,17054567,R,16399267,R,655300,R,38277966,R,43326744,R,-202966,R,-5251744,R,0,R,38551816,R,1,R,33300073,R,10060371,R,1024547,R,1710476,R,1312503,R,397973,R,3912976,R,16708370,R,3912976,R,0,R,3912976,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3912976,R,3912976,R,0,R,38218216,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,59750,R,0,R,0,R,0,R,0,R,38277966,R,15019559,R,7371931,R,0,R,0,R,0,R,0,R,3351109,R,2313570,R,13688666,R,6386457,R,9633795,R,3172764,R,0,R,0,R,0,R,0,R,0,R,1633615,R,46156,R,43326744,R,19290878,R,3824972,R,5409651,R,476810,R,0,R,14324433,R,0,R,0,1,R,-5251744,R,38277966,R,33300073,R,48684465,R,31950134,R,0,R,43326744
103501,R,5093215,R,2284708,R,2393340,R,0,R,1986333,R,165692,R,3106882,R,5093215,R,450000,R,2775507,R,641902,R,0,R,1107668,R,4975077,R,2581737,R,2393340,R,3463141,R,4076183,R,0,R,-613042,R,0,R,4087400,R,-367476,R,3106882,R,937954,R,273063,R,889371,R,889371,R,0,R,15906,R,2116294,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3059294,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,305494,R,98353,R,0,A,,R,0,R,3463141,R,1651722,R,604733,R,0,R,0,R,0,R,0,R,2242542,R,1064834,R,147900,R,129348,R,34019,R,21606,R,0,R,0,R,0,A,,A,,R,0,R,0,R,4076183,R,1820521,R,36297,R,37504,R,0,R,0,R,2181861,A,,A,,-2,R,0,R,3463141,R,3106882,R,5093215,R,713542,R,165692,R,4076183
103741,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,868215,R,18000,R,129063,R,129063,R,0,R,53881,R,1069159,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,2159901,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,116938,A,,A,,R,321075,R,2597914,R,1335427,R,456416,R,0,R,0,R,0,R,0,R,0,R,0,R,80263,R,68293,R,266790,R,178374,A,,A,,R,0,A,,A,,R,0,R,0,R,1682480,R,703083,R,113233,R,187715,R,225181,R,0,R,453268,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103893,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5087667,R,104861,R,0,R,0,R,0,R,1480,R,5194008,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,16229466,R,5192528,R,0,R,5192528,R,0,R,0,R,0,R,0,R,0,R,1480,R,0,R,0,R,0,A,,R,19381,R,21442855,R,7132966,R,4104726,R,0,R,0,R,0,R,0,R,271852,R,133826,R,2863236,R,1857868,R,7671142,R,1189590,R,0,R,0,R,0,A,,A,,R,0,R,0,R,17939196,R,7286010,R,685776,R,375174,R,398827,R,0,R,9193409,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103909,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2278004,R,112150,R,0,R,0,R,0,R,0,R,2390154,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9316293,R,2390154,R,0,R,2390154,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,17246,R,11723693,R,5361060,R,3310513,R,0,R,0,R,0,R,0,R,78260,R,40830,R,1427913,R,1083744,R,5265008,R,1172350,R,0,R,0,R,0,A,,A,,R,0,R,0,R,12132241,R,5607437,R,429194,R,619606,R,77739,R,0,R,5398265,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103927,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1917481,R,63725,R,0,R,0,R,0,R,0,R,1981206,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6622034,R,1981206,R,0,R,1981206,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,8487,R,8611727,R,3329093,R,1980932,Z,0,Z,0,Z,0,Z,0,R,115353,R,45875,R,1177695,R,819444,R,3523206,R,971797,Z,0,Z,0,Z,0,A,,A,,R,0,R,0,R,8145347,R,3818048,R,275954,R,209625,R,266594,R,0,R,3575126,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103954,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,122507,R,5722,R,0,R,0,R,0,R,500,R,128729,R,500,R,0,R,500,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,500,R,500,R,0,R,375984,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,685,R,70499,A,,A,,R,0,R,447168,R,80996,R,80996,R,0,R,0,R,0,R,0,R,0,R,0,R,53554,R,53554,R,267128,R,134550,A,,A,,R,0,A,,A,,R,0,R,0,R,401678,R,269100,R,0,R,49791,R,0,R,685,R,82102,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103963,R,3204396,R,151500,R,370459,R,0,R,2917471,R,0,R,286925,R,3204396,R,0,R,760510,R,616479,R,0,R,0,R,1376989,R,1006530,R,370459,R,7254392,R,6135148,R,-3,R,1119241,R,-1220526,R,388210,R,0,R,286925,R,2049551,R,47200,Z,0,Z,0,Z,0,Z,0,R,2096751,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7252717,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,1675,R,7254392,R,2918294,R,1349308,Z,0,Z,0,Z,0,Z,0,R,557774,R,369067,R,478881,R,297449,R,640895,R,410307,Z,0,Z,0,Z,0,A,,A,,R,1539304,R,0,R,6135148,R,2426131,R,416603,R,848928,R,115647,Z,0,R,2327839,R,1917000,R,675000,1,R,1119241,R,7254392,R,286925,R,3204396,R,-83534,R,0,R,6135148
