UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07
101116,R,6772738,R,0,R,542391,R,0,R,4303616,R,0,R,2469122,R,6772738,R,0,R,1293557,R,471595,R,0,R,134740,R,1899892,R,1357501,R,542391,R,6448031,R,6477912,R,0,R,-29881,R,425599,R,2073404,R,0,R,2469122,R,1551934,R,78140,R,103506,R,103506,R,0,R,969392,R,2702972,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4569436,R,1630074,R,0,R,1630074,R,103506,R,0,R,103506,R,0,R,0,R,0,R,0,R,0,R,134369,R,0,R,10646,R,6448031,R,2335507,R,1496769,Z,0,Z,0,Z,0,Z,0,R,124416,R,73984,R,869774,R,735322,R,2964729,R,136884,R,0,R,0,Z,0,Z,0,Z,0,R,183486,R,0,R,6477912,R,2442959,R,186792,R,1486764,R,183487,R,0,R,2177910,R,0,R,0,1,R,-29881,R,6448031,R,2469122,R,6772738,R,1926731,R,0,R,6477912
101277,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,408733,R,0,R,0,R,0,R,0,R,0,R,408733,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,861103,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,101154,A,,A,,R,125701,R,1087958,R,257463,R,105541,Z,0,Z,0,Z,0,Z,0,R,18271,R,18271,R,19396,R,19396,R,340359,R,128244,A,,A,,R,0,A,,A,,R,0,R,0,R,635489,R,271452,R,8839,R,179480,R,3422,R,0,R,172296,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
102845,R,49238128,R,0,R,800786,R,0,R,12849742,R,0,R,36388386,R,49238128,R,0,R,9456810,R,7733448,R,210506,R,0,R,17400764,R,16599978,R,800786,R,39558443,R,36030742,R,-439387,R,3088314,R,0,R,33300073,R,-1,R,36388386,R,12403722,R,530561,R,1679382,R,1210553,R,468829,R,1544445,R,16158110,R,1544445,R,0,R,1544445,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1544445,R,1544445,R,0,R,39558429,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,14,R,0,R,0,R,0,R,0,R,39558443,R,12532706,R,5959549,R,0,R,0,R,0,R,0,R,2442036,R,1682616,R,11022390,R,5421089,R,7820043,R,2886448,R,0,R,0,R,0,R,0,R,0,R,2213567,R,47861,R,36030742,R,15997563,R,2533774,R,4267133,R,314337,R,0,R,12917935,R,0,R,0,1,R,3088314,R,39558443,R,36388386,R,49238128,R,35587600,R,0,R,36030742
103501,R,5214219,R,2485103,R,2294109,R,0,R,2680207,R,29913,R,2534012,R,5214219,R,450000,R,2775507,R,642382,R,0,R,1107668,R,4975557,R,2681448,R,2294109,R,3110290,R,3640066,R,0,R,-529776,R,0,R,3106882,R,-43094,R,2534012,R,905373,R,234374,R,474025,R,474025,R,0,R,2000,R,1615772,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2768743,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,239153,R,102394,R,0,A,,R,0,R,3110290,R,1426148,R,623696,R,0,R,0,R,0,R,0,R,2019235,R,1039334,R,149659,R,101554,R,45024,R,23630,R,0,R,0,R,0,A,,A,,R,0,R,0,R,3640066,R,1788214,R,14023,R,45953,R,0,R,0,R,1791876,A,,A,,-2,R,0,R,3110290,R,2534012,R,5214219,R,369230,R,29913,R,3640066
103741,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,978677,R,18300,R,84367,R,84367,R,0,R,64623,R,1145967,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2260246,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,128160,A,,A,,R,307797,R,2696203,R,1483606,R,513421,R,0,R,0,R,0,R,0,R,0,R,0,R,94316,R,76763,R,338517,R,237627,A,,A,,R,0,A,,A,,R,0,R,0,R,1916439,R,827811,R,165823,R,225707,R,233839,R,0,R,463259,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103893,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4401161,R,137478,R,0,R,0,R,0,R,250,R,4538889,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,19515997,R,4538639,Z,0,R,4538639,Z,0,Z,0,Z,0,Z,0,Z,0,R,250,Z,0,Z,0,Z,0,A,,R,49538,R,24104424,R,9777591,R,5513786,Z,0,Z,0,Z,0,Z,0,R,539875,R,399811,R,5415635,R,4063920,R,10734469,R,1604269,Z,0,Z,0,Z,0,A,,A,,R,1,R,0,R,26467571,R,11581786,R,1008533,R,467734,R,418735,R,845,R,12989938,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103909,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2139743,R,60376,R,0,R,0,R,0,R,0,R,2200119,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9766945,R,2200119,R,0,R,2200119,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,36948,R,12004012,R,5746855,R,3655267,Z,0,Z,0,Z,0,Z,0,R,92887,R,57914,R,1617540,R,1237583,R,4843903,R,1156140,Z,0,Z,0,Z,0,A,,A,,R,0,R,0,R,12301185,R,6106904,R,472462,R,500520,R,78441,R,0,R,5142858,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103927,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2586824,R,50025,R,0,Z,0,R,0,R,0,R,2636849,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,R,0,R,6220965,R,2636849,R,0,R,2636849,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,21305,R,8879119,R,3407899,R,2129163,Z,0,Z,0,Z,0,Z,0,R,108826,R,50561,R,1469486,R,1004943,R,4305014,R,973594,Z,0,Z,0,Z,0,A,,A,,R,0,R,0,R,9291225,R,4158261,R,300973,R,448482,R,225782,R,0,R,4157727,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103954,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,187245,R,5610,R,18342,R,18342,R,0,R,5325,R,216522,R,5325,R,0,R,5325,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5325,R,5325,R,0,R,466259,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,251,R,55732,A,,A,,R,0,R,522242,R,62431,R,62431,R,0,R,0,R,0,R,0,R,0,R,0,R,53012,R,53012,R,189250,R,128333,A,,A,,R,0,A,,A,,R,0,R,0,R,304693,R,243776,R,0,R,49644,R,0,R,251,R,11022,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,
103963,R,3387898,R,124900,R,362365,Z,0,R,3195429,Z,0,R,192469,R,3387898,R,0,R,767646,R,684623,Z,0,Z,0,R,1452269,R,1089904,R,362365,R,8441268,R,7116953,R,-2500,R,1321815,R,-1416271,R,286925,R,0,R,192469,R,2753785,R,78857,R,0,R,0,R,0,R,0,R,2832642,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8436655,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,R,4613,R,8441268,R,3346819,R,1482021,Z,0,Z,0,Z,0,Z,0,R,703921,R,452486,R,490464,R,306501,R,629635,R,398558,Z,0,Z,0,Z,0,A,,A,,R,1946114,R,0,R,7116953,R,2639566,R,434394,R,998959,R,83375,Z,0,R,2960659,R,-326000,R,-168000,1,R,1321815,R,8441268,R,192469,R,3387898,R,-169896,R,0,R,7116953
