year,table_alias,table_name,output,resolved_var_name,resolved_var_title,matched_pattern
2014,DRVADM,,admissions_yield,,,
2014,DRVEF12,,fte_12_months,,,
2014,DRVF,,endowment_assets_per_fte_fasb,,,
2014,DRVF,,endowment_assets_per_fte_gasb,,,
2014,DRVF,,gov_grants_fasb,,,
2014,DRVF,,gov_revenue_fte_fasb,,,
2014,DRVF,,state_approps_percent_core_gasb,,,
2014,DRVF,,state_revenue_fte_fasb,,,
2014,DRVGR,,transfer_out_rate_bachelor,,,
2014,DRVHR,,fte_instructional,,,
2014,DRVHR,,fte_total_staff,,,
2014,EFIA,EFIA2014,fte_graduate,FTEGD,"Reported full-time equivalent (FTE) graduate enrollment, 2013-14",^Reported full-time equivalent \(FTE\) graduate enrollment
2014,EFIA,EFIA2014,fte_undergrad,FTEUG,"Reported full-time equivalent (FTE) undergraduate enrollment, 2013-14",^Reported full-time equivalent \(FTE\) undergraduate enrollment
2014,F1A,F1314_F1A,discounts_allowances_applied_tuition_fees_gasb,F1E08,Discounts and allowances applied to tuition and fees,Discounts and allowances applied to tuition and fees
2014,F1A,F1314_F1A,endowment_net_investment_return_gasb,,,
2014,F1A,F1314_F1A,endowment_spending_distribution_current_use_gasb,,,
2014,F1A,F1314_F1A,federal_operating_grants_contracts_gasb,F1B02,Federal operating grants and contracts,^Federal operating grants and contracts$
2014,F1A,F1314_F1A,new_gifts_additions_gasb,,,
2014,F1A,F1314_F1A,state_appropriations_gasb,F1B11,State appropriations,^State appropriations$
2014,F1A,F1314_F1A,total_assets_gasb,F1A06,Total assets,^Total assets
2014,F1A,F1314_F1A,total_expenses_deductions_current_total_gasb,F1D02,Total expenses and other deductions,^Total expenses and other deductions$
2014,F1A,F1314_F1A,total_liabilities_gasb,F1A13,Total liabilities,^Total liabilities
2014,F1A,F1314_F1A,total_operating_nonoperating_revenues_gasb,F1D01,Total revenues and other additions,^Total revenues and other additions$
2014,F1A,F1314_F1A,tuition_fees_after_discounts_allowances_gasb,F1B01,"Tuition and fees, after deducting discounts and allowances","^Tuition and fees, after deducting discounts and allowances$"
2014,F1A,F1314_F1A,unrestricted_public,F1A17,Unrestricted,^Unrestricted$
2014,F1A,F1314_F1A,value_endowment_assets_beginning_gasb,F1H01,Value of endowment assets at the beginning of the fiscal year,Value of endowment assets at the beginning of the fiscal year
2014,F1A,F1314_F1A,value_endowment_assets_end_gasb,F1H02,Value of endowment assets at the end of the fiscal year,Value of endowment assets at the end of the fiscal year
2014,F2,F1314_F2,allowances_applied_to_tuition_fasb,F2C08,Allowances applied to tuition and fees,^Allowances applied to tuition and fees$
2014,F2,F1314_F2,endowment_net_investment_return_fasb,,,
2014,F2,F1314_F2,federal_grants_contracts_fasb,F2D05,Federal grants and contracts - Total,^Federal grants and contracts - Total$
2014,F2,F1314_F2,institutional_grants_funded_fasb,F2C05,Institutional grants (funded),^Institutional grants \(funded\)$
2014,F2,F1314_F2,institutional_grants_unfunded_fasb,F2C06,Institutional grants (unfunded),^Institutional grants \(unfunded\)$
2014,F2,F1314_F2,new_endowment_gifts_fasb,,,
2014,F2,F1314_F2,pell_grants,F2C01,Pell grants,^Pell grants$
2014,F2,F1314_F2,spending_distribution_for_current_use_fasb,,,
2014,F2,F1314_F2,state_approps_fasb,F2D03,State appropriations - Total,^State appropriations - Total$
2014,F2,F1314_F2,total_assets_fasb,F2A02,Total assets,^Total assets$
2014,F2,F1314_F2,total_expenses_fasb,F2B02,Total expenses,^Total expenses$
2014,F2,F1314_F2,total_liabilities_fasb,F2A03,Total liabilities,^Total liabilities$
2014,F2,F1314_F2,total_revenues_investment_return_fasb,F2D16,Total revenues and investment return - Total,^Total revenues and investment return - Total$
2014,F2,F1314_F2,total_unrestricted_net_assets_fasb,F2A04,Total unrestricted net assets,^Total unrestricted net assets$
2014,F2,F1314_F2,tuition_and_fees_fasb,F2D01,Tuition and fees - Total,^Tuition and fees - Total$
2014,F2,F1314_F2,unrestricted_operating_rev_fasb,,,
2014,F2,F1314_F2,value_endowment_beginning_fasb,F2H01,Value of endowment assets at the beginning of the fiscal year,Value of endowment assets at the beginning of the fiscal year
2014,F2,F1314_F2,value_endowment_end_fasb,F2H02,Value of endowment assets at the end of the fiscal year,Value of endowment assets at the end of the fiscal year
2014,F3,F1314_F3,discounts_allowances_applied_tuition_fees_pfp,F3C06,Allowances applied to tuition and fees,Allowances applied to tuition and fees
2014,F3,F1314_F3,federal_grants_contracts_pfp,F3D02B,Federal grants and contracts,^Federal grants and contracts
2014,F3,F1314_F3,institutional_grants_pfp,F3C04,Institutional grants,^Institutional grants$
2014,F3,F1314_F3,state_appropriations_pfp,F3D03A,State appropriations,^State appropriations
2014,F3,F1314_F3,total_assets_pfp,F3A01,Total assets,^Total assets$
2014,F3,F1314_F3,total_expenses_total_amount_pfp,F3B02,Total expenses,^Total expenses$
2014,F3,F1314_F3,total_liabilities_pfp,F3A02,Total liabilities,^Total liabilities$
2014,F3,F1314_F3,total_revenues_investment_return_pfp,F3B01,Total revenues and investment return,^Total revenues and investment return$
2014,F3,F1314_F3,total_revenues_pfp,,,
2014,F3,F1314_F3,tuition_fees_pfp,F3D01,Tuition and fees,^Tuition and fees$
2014,FLAGS,FLAGS2014,pell_accounting_method_fasb,F2PELL,Account for Pell grants as pass through transactions or as federal grant revenues to the institution (FASB  institutions)?,^Account for Pell grants as pass through transactions or as federal grant revenues to the institution \(FASB\s+institutions\)\?$
2014,FLAGS,FLAGS2014,pell_accounting_method_pfp,F3PELL,Account for Pell grants as pass through transactions or as federal grant revenues to the institution (private-for-profit institutions)?,^Account for Pell grants as pass through transactions or as federal grant revenues to the institution \(private-for-profit institutions\)\?$
2014,FLAGS,FLAGS2014,reporting_model,FORM_F,"Identifies reporting standards GASB, FASB, or modified FASB(for-profit institutions) used to report finance data","Identifies reporting standards GASB, FASB, or modified FASB"
2014,HD,HD2014,access_earnings,,,
2014,HD,HD2014,category,INSTCAT,Institutional category,^Institutional category$
2014,HD,HD2014,city,CITY,City location of institution,^City location of institution$
2014,HD,HD2014,control,CONTROL,Control of institution,^Control of institution$
2014,HD,HD2014,county,COUNTYNM,County name,^County name$
2014,HD,HD2014,date_closed,CLOSEDAT,Date institution closed,^Date institution closed$
2014,HD,HD2014,degree_granting_status,DEGGRANT,Degree-granting status,^Degree-granting status$
2014,HD,HD2014,grad_offering,GROFFER,Graduate offering,^Graduate offering$
2014,HD,HD2014,grad_program_mix,,,
2014,HD,HD2014,hbcu,HBCU,Historically Black College or University,Historically Black College or University
2014,HD,HD2014,highest_degree,HDEGOFR1,Highest degree offered,^Highest degree offered$
