unitid,graduation_rate_6yr
100654,24
100663,64
100690,100
100706,64
100724,30
100751,73
100760,
100830,33
100858,82
101028,
101116,14
101143,
101161,
101189,38
101240,
101277,
101286,
101295,
101301,
101365,25
101435,48
101453,67
101462,
101471,
101480,55
101505,
101514,
101569,
101587,28
101602,
101648,
101675,16
101693,57
101709,54
101736,
101879,55
101897,
101912,45
101994,
102030,
102049,77
102058,6
102067,
102076,
102094,52
102234,52
102270,25
102298,31
102313,
102368,49
102377,55
102429,
102553,28
102580,33
102614,39
102632,21
102669,42
102711,
102845,
103501,
103741,
103893,
103909,
103927,
103954,
103963,
104090,38
104151,68
104160,
104179,68
104346,
104391,
104425,
104443,
104568,
104577,
104586,68
104708,
104717,43
105145,
105154,
105206,
105215,
105297,13
105330,61
105349,
105428,
105525,
105534,
105543,
105589,56
105659,
105668,
105677,
105747,
105792,
105899,40
106041,
106148,
106245,37
106306,5
106315,
106324,
106342,47
106351,
106397,71
106412,40
106449,
106458,53
106467,44
106485,38
106494,
106625,
106704,53
106713,35
106795,
106810,32
106883,
106908,
106980,
106999,
107044,69
107071,37
107080,72
107099,
107141,72
107220,
107293,
107318,
107327,
107442,
107460,
107488,
107512,64
107521,
107549,
107558,51
107585,
107600,30
107619,
107637,
107655,
107664,
107725,
107743,
107789,
107831,
107840,
107877,26
107974,
107983,44
107992,
108065,
108092,38
108232,34
108667,
108807,
108852,
108977,
109040,
109208,
109350,
109651,79
109721,
109785,62
109819,50
109907,
109934,
110060,8
110097,68
110194,
110219,
110246,
110334,
110361,62
110370,61
110404,94
110413,70
110422,86
110486,50
110495,53
110510,55
110529,68
110538,63
110547,43
110556,57
110565,70
110574,48
110583,69
110592,53
110608,57
110617,56
110635,93
110644,86
110653,87
110662,93
110671,76
110680,86
110705,83
110714,75
110875,
111054,
111081,67
111188,60
111434,
111461,
111513,
111638,
111708,
111717,
111726,
111744,
111762,
111799,
111887,
111896,
111920,
111939,
111948,82
111966,30
112075,58
112084,20
112172,
112181,
112190,
112260,91
112288,
112367,
112385,
112394,29
112455,
112561,
112570,37
112686,
112826,
113096,
113111,
113193,
113218,
113236,
113333,
113449,
113573,
113582,80
113634,
113698,78
113856,
113980,
114266,
114354,
114433,25
114460,
114637,
114716,
114761,
114789,
114813,50
114859,
114938,
114947,
115001,
115010,
115126,
115296,
115357,
115393,
115409,92
115658,
115755,49
115773,100
115861,
115931,
116439,
116563,
116846,44
117052,
117104,38
117140,63
117168,52
117195,
117238,
117247,
117274,
117283,
117557,100
117575,50
117627,58
117645,
117672,
117690,
117706,
117715,
117724,
117733,
117751,67
117788,
117867,
117894,
117946,79
117955,
118134,
118143,
118161,
118198,
118347,
118684,
118693,54
118718,
118772,
118912,96
118930,
118958,
118976,0
118994,
119067,
119137,
119164,
119173,48
119216,
119270,47
119331,
119553,
119605,50
119775,29
119951,
120069,
120078,
120087,
120184,7
120254,81
120290,
120342,
120403,66
120421,
120537,49
120661,
120838,0
120865,45
120883,68
120953,
120971,
121044,
121150,83
121257,83
121309,77
121345,93
121363,
121433,
121619,
121637,
121691,67
121707,
121859,
121868,
121886,
121901,
122180,
122205,
122339,
122375,92
122384,
122409,76
122436,84
122506,74
122597,50
122612,70
122658,
122685,
122694,
122728,56
122746,
122755,69
122791,
122889,
122931,88
122977,81
123013,
123165,83
123217,
123280,50
123299,
123341,
123350,
123457,49
123484,
123493,
123509,
123527,
123554,70
123563,
123572,58
123642,
123651,57
123679,
123800,
123952,71
123961,92
124113,
124292,84
124487,0
124681,
124706,
124937,
125028,
125082,
125091,
125170,
125310,
125462,
125471,
125499,
125532,
125727,70
125763,60
125897,60
126076,12
126119,
126182,32
126207,
126289,
126359,
126562,46
126580,47
126605,
126614,74
126669,63
126678,88
126687,
126711,14
126748,
126775,82
126784,
126818,67
126827,14
126863,
126915,
126942,
126951,
127060,76
127158,
127185,36
127200,
127316,
127389,
127556,47
127565,31
127617,
127653,37
127732,
127741,51
127778,
127820,
127884,
127909,
127918,62
127945,32
127954,
128106,40
128151,
128179,
128188,
128258,
128328,88
128337,
128391,50
128498,50
128586,0
128744,41
128771,48
128780,100
128896,
128902,82
129002,
129020,83
129154,
129181,
129215,57
129242,84
129349,
129367,
129482,
129525,57
129534,15
129774,41
129923,
129932,
129941,63
130174,
130183,24
130226,76
130253,73
130314,64
130493,50
130590,84
130624,93
130697,93
130776,52
130794,96
130873,
130907,
130934,39
130943,83
130989,57
131061,
131113,22
131159,75
131283,79
131399,44
131450,47
131469,84
131496,95
131520,70
131803,0
131830,
131876,49
132374,
132408,46
132471,37
132602,31
132657,52
132675,
132693,
132709,
132842,40
132851,
132903,78
132976,
133021,
133155,
133386,
133465,17
133492,66
133508,
133526,28
133553,67
133650,53
133669,63
133702,
133711,56
133809,40
133845,
133854,
133863,
133872,37
133881,62
133951,74
133960,
133979,31
134024,
134079,71
134097,86
134130,91
134228,
134237,45
134291,
134307,
134343,
134495,
134510,58
134529,
134574,
134608,
134714,
134945,51
135081,58
135142,
135160,
135179,
135188,
135267,
135276,
135294,
135337,
135391,
135407,
135522,
135559,
135647,
135717,
135726,84
135735,
136109,
136145,
136172,65
136215,63
136233,
136303,
136330,55
136358,
136400,
136473,
136491,
136516,
136659,
136765,
136774,72
136826,
136950,75
137023,
137032,44
137078,
137087,
137096,
137120,
137209,
137245,
137272,83
137281,
137315,
137351,77
137476,48
137546,62
137564,44
137591,
137713,
137759,
137777,63
137847,64
137856,
137865,
137953,28
137962,0
138187,
138275,37
138284,
138293,25
138309,0
138354,59
138372,
138479,
138488,
138497,
138558,38
138600,71
138655,
138664,
138682,
138716,33
138761,0
138822,
138840,
138868,38
138901,18
138947,49
138956,
139144,69
139153,0
139199,35
139205,17
139250,26
139278,
139311,41
139357,
139366,43
139384,
139393,69
139463,24
139506,
139579,17
139621,3
139630,45
139658,91
139700,20
139719,41
139755,94
139764,41
139861,64
139931,55
139940,53
139959,90
139968,15
139986,
139995,
140003,
140012,
140234,45
140243,
140252,38
140331,
140340,18
140447,70
140553,59
140571,25
140678,
140696,54
140720,12
140818,47
140872,44
140942,
140951,69
140960,28
140988,37
141006,
141060,78
141167,7
141185,42
141237,38
141255,
141264,42
141325,45
141334,43
141361,42
141486,65
141565,48
141574,64
141608,
141644,35
141680,
141796,
141802,
141811,
141839,8
141981,50
141990,
142054,
142090,30
142115,59
142179,
142276,35
142285,57
142294,63
142328,32
142407,
142443,
142461,71
142489,
142522,50
142559,
143048,67
143084,73
143118,60
143215,
143279,
143288,57
143358,76
143376,
143464,
143473,
143491,
143552,
143613,
144005,15
144050,96
144157,
144166,
144175,
144184,
144193,
144209,
144218,
144281,52
144351,36
144564,
144573,
144740,68
144795,
144865,
144883,19
144892,47
144944,
144962,70
144971,41
145099,
145239,
145309,
145336,21
145354,
145372,40
145406,
145424,
145433,
145497,50
145521,
145600,62
145619,50
145637,85
145646,75
145682,
145691,64
145707,
145725,75
145813,65
145831,
146205,
146278,
146296,
146339,60
146348,
146366,
146418,
146427,68
146454,
146472,
146481,78
146506,
146603,
146612,67
146685,
146700,
146719,75
146807,
146816,
147004,
147013,53
147129,20
147244,55
147341,65
147369,62
147378,
147396,
147411,
147536,30
147642,
147660,64
147679,58
147703,49
147767,95
147776,22
147800,
147819,
147828,61
147916,
148007,
148016,74
148098,
148131,45
148256,
148292,
148380,
148405,47
148487,46
148496,55
148584,67
148627,57
148654,52
148672,
148821,
148876,20
148937,
148991,
149204,
149222,60
149231,55
149310,
149329,0
149365,
149505,58
149514,46
149532,
149550,
149639,67
149727,
149772,45
149781,85
149842,
150066,53
150136,62
150145,52
150163,79
150172,23
150251,
150303,
150400,75
150428,
150455,69
150534,65
150604,60
150668,65
150677,69
150756,67
150765,
150774,45
150853,
150941,64
150987,
151102,36
151111,54
151263,56
151290,47
151306,48
151324,43
151333,45
151342,40
151351,80
151360,37
151379,39
151388,39
151467,
151564,
151607,
151661,
151777,46
151786,67
151801,66
151810,0
151962,
152044,
152080,95
152099,65
152150,
152275,
152309,
152318,78
152336,54
152381,46
152390,69
152497,
152530,74
152567,64
152600,70
152628,
152637,3
152673,77
152992,48
153001,62
153074,
153083,
153108,66
153126,56
153144,66
153162,62
153214,
153241,100
153250,74
153269,73
153278,40
153296,
153302,56
153311,
153320,65
153366,42
153375,54
153384,88
153427,
153445,
153463,
153472,
153524,
153533,
153597,
153603,75
153630,
153658,75
153737,
153746,
153764,
153773,
153782,
153825,68
153834,71
153861,50
153922,
153977,67
154004,50
154013,58
154022,10
154059,
154095,68
154101,66
154110,
154129,
154208,
154235,61
154262,
154332,
154350,63
154378,
154396,
154448,
154457,
154466,
154493,33
154518,24
154527,64
154545,
154572,
154590,33
154642,
154688,58
154697,
154712,62
154721,36
154749,37
154800,
154855,26
154907,
154925,
154934,
154952,
154998,
155007,
155025,56
155052,
155061,46
155070,3
155089,43
155098,
155104,
155140,
155159,
155177,54
155186,
155195,
155201,
155210,
155283,
155292,
155308,8
155317,69
155335,51
155353,
155399,71
155414,49
155423,
155450,
155487,
155496,46
155511,34
155520,54
155566,
155593,
155618,
155627,28
155681,51
155715,
155812,48
155830,
155858,
155900,36
155937,41
155973,34
156082,44
156107,
156125,51
156134,
156189,39
156213,65
156231,
156286,64
156295,58
156310,
156338,
156356,53
156365,42
156392,
156408,81
156417,38
156426,
156471,23
156541,50
156620,55
156648,
156745,49
156754,
156790,
156842,
156851,
156860,
156921,
156967,
157021,
157030,55
157058,35
157076,46
157085,71
157100,37
157216,43
157289,61
157304,
157331,
157377,44
157386,52
157401,64
157438,
157447,54
157483,
157535,42
157553,
157614,
157650,
157669,
157678,
157711,
157739,
157748,35
157757,51
157793,
157809,40
157818,71
157863,32
157951,58
158088,
158246,
158431,
158477,56
158538,
158617,
158662,
158778,
158787,
158802,43
158884,
159009,36
159027,
159197,
159328,
159382,34
159391,66
159407,
159416,38
159513,
159522,
159531,
159568,45
159601,
159647,62
159656,59
159717,46
159939,38
159948,70
159966,54
159993,53
160010,
160038,45
160065,40
160074,44
160126,
160199,
160320,
160409,48
160472,
160481,
160524,
160579,
160597,
160612,45
160621,27
160630,13
160649,
160658,53
160667,
160755,86
160904,48
160959,68
160977,90
160995,
161004,95
161022,
161077,
161086,89
161138,
161192,
161208,
161217,26
161226,52
161235,34
161253,55
161299,59
161341,24
161457,70
161484,
161493,
161509,52
161518,66
161527,
161545,
161554,40
161563,53
161572,29
161581,
161688,
161767,
161800,
161855,
161864,
161873,38
162007,38
162061,43
162104,
162122,
162168,
162210,28
162283,26
162335,
162371,
162557,
162584,50
162609,
162654,57
162690,
162706,
162760,57
