"institution_name","unitid","state","city","control_label","institution_status","is_active","revenue_total","expenses_total"
"AOMA Graduate School of Integrative Medicine","429094","Texas","Austin","Private for-profit","Active - institution active","Yes","",""
"Arizona College of Nursing - Chesapeake","500290","Virginia","Chesapeake","Private for-profit","New (active) - added during the current year","Yes","","2414038"
"Arizona College of Nursing - Hartford","500306","Connecticut","East Hartford","Private for-profit","New (active) - added during the current year","Yes","","2828118"
"Arizona College of Nursing-St Louis","500333","Missouri","Maryland Heights","Private for-profit","New (active) - added during the current year","Yes","","2099225"
"Bacone College","206817","Oklahoma","Muskogee","Private not-for-profit","Active - institution active","Yes","",""
"California Institute of Arts & Technology-National City","496186","California","National City","Private for-profit","Active - institution active","Yes","",""
"City College-Hollywood","475477","Florida","Hollywood","Private for-profit","Active - institution active","Yes","",""
"Elmezzi Graduate School of Molecular Medicine","486080","New York","Manhasset","Private not-for-profit","Active - institution active","Yes","2983880","1145354"
"Larkin University","498234","Florida","Miami","Private not-for-profit","Active - institution active","Yes","8108035","8037398"
"Learnet Academy Inc","483221","California","Los Angeles","Private for-profit","Active - institution active","Yes","",""
"Northwestern College","260992","Illinois","Oak Lawn","Private for-profit","Active - institution active","Yes","",""
"Oregon College of Oriental Medicine","369659","Oregon","Portland","Private not-for-profit","Closed in current year (active has data)","Yes","",""
"Paier College","130110","Connecticut","Bridgeport","Private for-profit","Active - institution active","Yes","",""
"Pope St John XXIII National Seminary","167464","Massachusetts","Weston","Private not-for-profit","Active - institution active","Yes","4706724","3532292"
"Reformed University","490230","Georgia","Lawrenceville","Private not-for-profit","Active - institution active","Yes","2049065","1117579"
"Ricketts Great Books College","499811","Nebraska","Omaha","Private for-profit","New (active) - added during the current year","Yes","7686120","7686120"
"Southern University Law Center","440916","Louisiana","Baton Rouge","Public","Active - institution active","Yes","34116606","36054387"
"The College of Saint Rose","195234","New York","Albany","Private not-for-profit","Active - institution active","Yes","",""
"The University of America","475237","California","Temecula","Private not-for-profit","Active - institution active","Yes","",""
