"institution_name","unitid","state","city","institution_status","is_active","all_programs_distance_education"
"Antioch University","245892","Ohio","Yellow Springs","Active - institution active","Yes","No"
"Antioch University-Los Angeles","245838","California","Culver City","Active - institution active","Yes","No"
"Antioch University-Santa Barbara","245847","California","Santa Barbara","Active - institution active","Yes","No"
"Antioch University-Seattle","245883","Washington","Seattle","Active - institution active","Yes","No"
"Central Methodist University-College of Graduate and Extended Studies","445267","Missouri","Fayette","Active - institution active","Yes","No"
"Concordia University Ann Arbor","169363","Michigan","Ann Arbor","Active - institution active","Yes","No"
"DHARMA REALM BUDDHIST UNIVERSITY","113616","California","Ukiah","Restore (active) - restored to the current universe","Yes","No"
"Fairleigh Dickinson University-Florham Campus","184694","New Jersey","Madison","Active - institution active","Yes","No"
"Middlebury Institute of International Studies at Monterey","119058","California","Monterey","Active - institution active","Yes","No"
"Montana Bible College","262165","Montana","Billings","Active - institution active","Yes","No"
"Northeastern University Professional Programs","482705","Massachusetts","Boston","Active - institution active","Yes","No"
"Ottawa University-Kansas City","155636","Kansas","Overland Park","Active - institution active","Yes","No"
"Ottawa University-Milwaukee","428259","Wisconsin","Brookfield","Active - institution active","Yes","No"
"Ottawa University-Online","454582","Kansas","Overland Park","Active - institution active","Yes","No"
"Ottawa University-Surprise","464226","Arizona","Surprise","Active - institution active","Yes","No"
"Pacific Northwest College of Art","209603","Oregon","Portland","Active - institution active","Yes","No"
"The Chicago School at Dallas","492607","Texas","Plano","Active - institution active","Yes","No"
"The Chicago School at Los Angeles","455664","California","Los Angeles","Active - institution active","Yes","No"
"The Chicago School at San Diego","491190","California","San Diego","Active - institution active","Yes","No"
"The College of Saint Rose","195234","New York","Albany","Active - institution active","Yes","No"
"Trine University-Regional/Non-Traditional Campuses","414878","Indiana","Angola","Active - institution active","Yes","No"
"Warner Pacific University Professional and Graduate Studies","480198","Oregon","Portland","Active - institution active","Yes","No"
